日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2022/01/10,1,7709,クボテック,東１,275,,+25,845.000,"+3,112.93",－,3.52
2022/01/10,2,3161,アゼアス,東２,688,,+52,777.000,"+2,351.10",14.8,0.64
2022/01/10,3,7980,重松製,ＪＱ,894,,+89,450.900,"+1,997.21",15.9,1.10
2022/01/10,4,2404,鉄人化計画,東２,366,,+12,368.100,"+1,686.89",－,26.35
2022/01/10,5,7608,ＳＫジャパン,東１,453,,+12,"1,177.200","+1,574.54",14.9,1.04
2022/01/10,6,4558,中京医薬,ＪＱ,323,,+47,"15,205.500","+1,525.04",28.6,1.31
2022/01/10,7,6819,伊豆シャボ,ＪＱ,94,,-2,188.300,"+1,482.35",38.2,1.04
2022/01/10,8,3202,ダイトウボウ,東１,101,,+3,"4,670.200","+1,478.30",15.9,0.65
2022/01/10,9,8772,アサックス,東１,699,,-1,299.200,"+1,388.56",9.4,0.57
2022/01/10,10,2836,ＧＸフィ日株,東Ｅ,"2,389",,-32,9.342,"+1,150.60",－,－
2022/01/10,11,2625,ｉＦＥＴＰＸ,東Ｅ,"1,992",,-7,28.119,"+1,001.84",－,－
2022/01/10,12,2620,ｉＳ米債１３,東Ｅ,"2,691",,-4,129.225,+982.56,－,－
2022/01/10,13,9876,コックス,ＪＱ,131,,-4,138.500,+896.40,－,0.57
2022/01/10,14,8200,リンガハット,東１,"2,167",,-94,850.600,+823.56,86.0,5.06
2022/01/10,15,7922,三光産業,ＪＱ,310,,+2,124.000,+811.76,－,0.24
2022/01/10,16,3186,ネクステージ,東１,"2,682",,+493,"6,287.500",+756.49,17.2,4.95
2022/01/10,17,6897,ツインバード,東２,804,,+57,545.200,+753.21,18.1,0.99
2022/01/10,18,3607,クラウディア,東１,241,,0,215.900,+743.36,－,0.80
2022/01/10,19,8842,楽天地,東１,"3,980",,-5,83.500,+687.74,158,0.75
2022/01/10,20,9827,リリカラ,ＪＱ,173,,-5,165.400,+645.05,11.8,0.33
2022/01/10,21,3111,オーミケンシ,東２,308,,+25,102.800,+576.32,－,0.64
2022/01/10,22,1737,三井金エンジ,東２,"1,319",,+2,209.900,+572.76,105,1.26
2022/01/10,23,1690,ＷＴ原油,東Ｅ,879.8,,+29.9,37.110,+562.68,－,－
2022/01/10,24,3482,ロードスター,東Ｍ,"1,099",S,+150,"1,273.100",+546.24,5.2,1.76
2022/01/10,25,1783,アジアＧＨＤ,ＪＱ,82,,+12,"8,859.100",+545.33,16.3,1.74
2022/01/10,26,8163,ＳＲＳＨＤ,東１,759,,-16,568.100,+524.97,－,2.21
2022/01/10,27,7721,東京計器,東１,"1,014",,+16,203.400,+514.50,14.7,0.53
2022/01/10,28,3558,ロコンド,東Ｍ,"1,340",,+87,681.300,+513.23,21.6,3.42
2022/01/10,29,9919,関西スーパ,東１,"1,030",,-8,376.300,+506.94,－,1.81
2022/01/10,30,3546,アレンザＨＤ,東１,"1,108",,+12,154.400,+505.49,8.3,1.27
2022/01/10,31,2753,あみやき,東１,"2,970",,0,85.200,+460.53,81.3,1.01
2022/01/10,32,3604,川本産業,東２,"1,394",S,+300,"3,631.400",+428.28,13.2,1.46
2022/01/10,33,6494,ＮＦＫＨＤ,ＪＱ,99,,-1,128.900,+423.98,－,1.05
2022/01/10,34,2624,ｉＦＥ２２５,東Ｅ,"2,847",,-8,46.546,+394.59,－,－
2022/01/10,35,5821,平河ヒューテ,東１,"1,170",,-37,99.200,+393.53,11.0,0.58
2022/01/10,36,4882,ペルセウス,東Ｍ,398,,+40,262.100,+384.47,－,1.35
2022/01/10,37,7831,ウイルコＨＤ,東２,150,,-3,123.300,+376.06,14.8,0.64
2022/01/10,38,1592,日興ＪＰＸ日,東Ｅ,"1,677",,-39,9.217,+366.68,－,－
2022/01/10,39,1711,ＳＤＳＨＤ,東２,439,,+10,72.200,+354.09,－,54.20
2022/01/10,40,5658,日亜鋼,東１,268,,-5,215.200,+335.63,8.8,0.28
2022/01/10,41,6619,ＷＳＣＯＰＥ,東１,846,,+89,"4,650.000",+319.03,－,1.57
2022/01/10,42,1436,フィット,東Ｍ,931,,+15,71.800,+307.95,12.6,0.83
2022/01/10,43,7811,中本パックス,東１,"1,723",,-32,69.600,+307.02,9.6,1.02
2022/01/10,44,9850,グルメ杵屋,東１,988,,-2,67.400,+301.19,209,2.69
2022/01/10,45,6235,オプトラン,東１,"2,456",,+114,353.100,+298.98,18.9,2.45
2022/01/10,46,1430,１ｓｔコーポ,東１,732,,+14,105.000,+290.33,7.5,1.38
2022/01/10,47,1881,ＮＩＰＰＯ,東１,"3,985",,-5,662.300,+281.51,16.4,1.23
2022/01/10,48,3083,シーズメン,ＪＱ,"1,107",,+48,776.200,+280.30,63.8,2.67
2022/01/10,49,4592,サンバイオ,東Ｍ,"1,179",,+119,"1,072.700",+264.37,－,16.94
2022/01/10,50,6059,ウチヤマＨＤ,東１,307,,-5,207.300,+256.80,－,0.45
2022/01/10,51,6926,ＯＫＡＹＡ,東１,323,,-3,88.600,+236.88,30.1,0.98
2022/01/10,52,1595,農中Ｊリート,東Ｅ,"2,062.0",,-17.0,53.660,+236.85,－,－
2022/01/10,53,3067,東京一番,東１,600,,-1,52.000,+235.48,63.9,4.38
2022/01/10,54,9358,宇徳,東１,724,,0,42.000,+230.71,22.4,0.89
2022/01/10,55,6205,ＯＫＫ,東１,"1,154",,+149,727.000,+227.33,－,1.16
2022/01/10,56,9760,進学会ＨＤ,東１,294,,-1,102.700,+222.96,55.2,0.24
2022/01/10,57,8077,トルク,東１,205,,+1,37.300,+221.55,19.9,0.48
2022/01/10,58,7686,カクヤスＧ,東２,"1,276",,-76,46.900,+221.23,－,3.51
2022/01/10,59,8104,クワザワＨＤ,東１,615,,-2,39.000,+217.07,16.8,0.67
2022/01/10,60,1780,ヤマウラ,東１,963,,0,57.700,+215.30,13.2,1.06
2022/01/10,61,6458,新晃工,東１,"1,968",,-31,56.800,+212.09,13.3,1.00
2022/01/10,62,7135,藤久ＨＤ,東１,805,,+62,127.400,+209.98,11.6,1.19
2022/01/10,63,8008,４℃ホールデ,東１,"1,694",,-63,359.400,+206.66,25.9,0.94
2022/01/10,64,6555,ＭＳコンサル,東１,746,,-16,41.800,+202.90,22.3,1.16
