日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2022/02/08,1,2624,ｉＦＥ２２５,東Ｅ,"2,728",,+6,"90,269","+7,595.57",－,－
2022/02/08,2,2640,ＧＸゲー日株,東Ｅ,"2,397",,-51,"57,599","+3,967.73",－,－
2022/02/08,3,7298,八千代工,ＪＱ,727,,+47,"975,500","+3,567.29",4.4,0.30
2022/02/08,4,4576,ＤＷセラピ研,ＪＧ,224,,+20,"1,482,000","+2,252.38",－,3.21
2022/02/08,5,2645,ＧＸＬＥ日株,東Ｅ,"1,916",,+28,"15,308","+1,870.14",－,－
2022/02/08,6,9827,リリカラ,ＪＱ,170,,+1,"393,300","+1,655.80",11.6,0.33
2022/02/08,7,2556,ＯｎｅＪリト,東Ｅ,"1,912.0",,-33.5,"71,090","+1,515.68",－,－
2022/02/08,8,1597,ＭＸＪリート,東Ｅ,"1,926.0",,-39.0,"41,260","+1,486.92",－,－
2022/02/08,9,8836,ＲＩＳＥ,ＪＱ,21,,+2,"1,084,700","+1,485.82",－,－
2022/02/08,10,1476,ｉＳＪリート,東Ｅ,"1,923",,-55,"1,888,589","+1,383.66",－,－
2022/02/08,11,3082,きちりＨＤ,東１,388,,+33,"235,900","+1,304.17",－,2.88
2022/02/08,12,2569,日興ＮＱヘ有,東Ｅ,"2,619.0",,-24.5,"105,060","+1,300.80",－,－
2022/02/08,13,9685,ＫＹＣＯＭ,ＪＱ,467,S,+80,"141,400","+1,209.26",9.1,0.80
2022/02/08,14,9405,朝日放送ＨＤ,東１,723,,+15,"223,300","+1,056.99",8.7,0.45
2022/02/08,15,1571,日経インバ,東Ｅ,"1,031",,-1,"2,616,358",+956.70,－,－
2022/02/08,16,3777,ＦＨＴＨＤ,ＪＧ,18,,0,"510,600",+944.17,14.8,3.07
2022/02/08,17,4419,フィナＨＤ,東Ｍ,704,,-31,"621,700",+802.32,－,6.32
2022/02/08,18,1348,ＭＸトピクス,東Ｅ,"1,995.0",,+9.0,"192,480",+795.26,－,－
