日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2022/02/21,1,2524,農中東証指数,東Ｅ,"1,929.5",,-8.5,"190,020","+8,307.96",－,－
2022/02/21,2,2626,ＧＸデジ日株,東Ｅ,"1,838",,-2,"11,828","+4,154.68",－,－
2022/02/21,3,3321,ミタチ産業,東１,912,,+34,"622,500","+2,892.79",6.0,0.68
2022/02/21,4,2639,ＧＸバイ日株,東Ｅ,"1,543",,-24,"6,385","+1,783.48",－,－
2022/02/21,5,2641,ＧＸリー日株,東Ｅ,"1,978",,-19,"40,724","+1,555.45",－,－
2022/02/21,6,9325,ファイズＨＤ,東１,659,,+54,"336,600","+1,487.74",18.1,3.73
2022/02/21,7,2569,日興ＮＱヘ有,東Ｅ,"2,529.5",,-36.0,"488,330","+1,472.22",－,－
2022/02/21,8,2840,ｉＦＥナ百無,東Ｅ,"15,205",,-260,"14,351","+1,425.08",－,－
2022/02/21,9,2514,野村外国株Ｈ,東Ｅ,"1,478.5",,-14.0,"39,580","+1,376.87",－,－
2022/02/21,10,2638,ＧＸロボ日株,東Ｅ,"1,904",,-32,"8,881","+1,274.77",－,－
2022/02/21,11,2637,ＧＸクリ日株,東Ｅ,"1,539",,-11,"5,720","+1,148.91",－,－
2022/02/21,12,3358,ＹＳフード,ＪＱ,218,,+6,"341,000",+936.47,－,0.89
2022/02/21,13,7373,アイドマＨＤ,東Ｍ,"2,047",,+27,"1,525,000",+683.26,42.0,9.55
2022/02/21,14,6753,シャープ,東１,"1,181",,-133,"10,348,100",+676.48,8.5,1.71
2022/02/21,15,1595,農中Ｊリート,東Ｅ,"1,929.0",,-10.0,"33,160",+538.92,－,－
2022/02/21,16,2978,ツクルバ,東Ｍ,574,S,-100,"236,800",+533.16,－,4.59
2022/02/21,17,7697,レクスト,ＪＱ,392,,0,"69,500",+531.82,16.5,0.76
2022/02/21,18,4644,イマジニア,ＪＱ,965,,+33,"81,900",+515.79,10.4,0.82
2022/02/21,19,2044,米国配当貴族,東EN,"19,905",,-65,"3,429",+502.64,－,－
