日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2021/07/29,1,2635,野村米ＥＳＧ,東Ｅ,"2,242",,-3,182.360,"+14,036.43",－,－
2021/07/29,2,2638,ＧＸロボ日株,東Ｅ,"2,238",,+12,22.673,"+8,756.64",－,－
2021/07/29,3,4479,マクアケ,東Ｍ,"5,050",,-260,"1,122.500","+3,981.82",303,9.27
2021/07/29,4,8783,ＧＦＡ,ＪＱ,177,,+33,"6,560.200","+3,488.73",148,67.56
2021/07/29,5,2656,ベクター,ＪＱ,321,,+35,"1,906.600","+3,310.73",－,4.60
2021/07/29,6,1482,ｉＳ米債７Ｈ,東Ｅ,"2,394",,-2,90.083,"+2,996.70",－,－
2021/07/29,7,9478,ＳＥＨＩ,ＪＱ,239,S,+50,"4,386.200","+2,810.55",9.5,0.91
2021/07/29,8,2044,米国配当貴族,東EN,"18,810",,-30,3.769,"+1,959.56",－,－
2021/07/29,9,1391,ＵＢＳスイス,東Ｅ,"2,819",,-27,1.791,"+1,484.96",－,－
2021/07/29,10,2321,ソフトフロン,ＪＧ,128,,-1,916.300,"+1,453.05",－,17.30
2021/07/29,11,8137,サンワテク,東１,"1,254",,-34,257.200,"+1,275.40",8.8,0.55
2021/07/29,12,9110,ユナイテド海,東１,"2,734",,+383,"1,301.300","+1,182.07",4.3,0.67
2021/07/29,13,2418,ツカダＧＨＤ,東１,313,,-21,"1,130.500","+1,112.98",39.3,0.63
2021/07/29,14,2979,ソシラ物流,東Ｒ,"171,100",,"+2,200",47.726,"+1,092.26",38.2,1.65
2021/07/29,15,5185,フコク,東１,"1,016",,+44,267.200,+973.09,6.9,0.56
2021/07/29,16,3975,ＡＯＩＴＹＯ,東１,897,,-3,689.900,+934.33,30.1,1.04
2021/07/29,17,1389,ＵＢＳ英大株,東Ｅ,"10,000",,0,1.009,+909.00,－,－
2021/07/29,18,3478,森トラホテル,東Ｒ,"140,900",,"+2,400",5.481,+835.32,37.6,1.40
2021/07/29,19,4282,ＥＰＳ,東１,"1,793",,-5,"1,771.300",+781.68,24.0,1.71
2021/07/29,20,2566,日興ＥＳＧリ,東Ｅ,"1,223",,+1,8.690,+769.00,－,－
2021/07/29,21,9622,スペース,東１,904,,-21,106.500,+732.03,14.9,0.79
2021/07/29,22,6955,ＦＤＫ,東２,"1,273",,+171,"1,438.400",+669.20,27.5,3.72
2021/07/29,23,3454,Ｆブラザーズ,東１,"1,002",,-17,79.300,+662.50,5.5,0.71
2021/07/29,24,4312,サイバネット,東１,704,,+20,336.700,+658.33,14.3,1.53
2021/07/29,25,7959,オリバー,東１,"3,775",,0,82.700,+645.05,29.8,1.33
2021/07/29,26,9308,乾汽船,東１,"1,328",,+100,101.800,+643.07,10.4,1.84
2021/07/29,27,2211,不二家,東１,"2,229",,+13,152.900,+638.65,23.9,1.17
2021/07/29,28,2036,金先物Ｗブル,東EN,"17,890",,+190,3.897,+636.67,－,－
2021/07/29,29,2266,六甲バタ,東１,"1,522",,-32,124.600,+607.95,19.8,1.05
2021/07/29,30,4366,ダイトーケミ,東２,"1,088",,+108,525.100,+602.95,18.0,0.88
2021/07/29,31,6628,オンキヨーＨ,ＪＱ,1,S,0,"84,820.100",+597.24,－,－
2021/07/29,32,4550,日水薬,東１,"1,004",,+2,71.800,+577.36,34.1,0.69
2021/07/29,33,7856,萩原工業,東１,"1,418",,-33,155.600,+540.33,11.1,0.84
2021/07/29,34,9717,ジャステック,東１,"1,237",,+30,122.700,+526.02,13.9,1.21
2021/07/29,35,5449,大阪製鉄,東１,"1,196",,+45,198.100,+502.13,24.5,0.32
2021/07/29,36,3994,マネフォ,東１,"6,760",,+250,"3,526.900",+487.52,－,31.59
2021/07/29,37,1662,石油資源,東１,"1,820",,-20,533.600,+468.87,－,0.26
2021/07/29,38,1478,ｉＳ高配当,東Ｅ,"2,144",,-10,17.659,+468.18,－,－
2021/07/29,39,6459,大和冷,東１,"1,150",,+38,377.800,+466.42,18.2,0.87
2021/07/29,40,1413,ヒノキヤＧ,東１,"2,510",,+119,80.300,+450.00,8.7,1.53
2021/07/29,41,1385,ＵＢＳ欧５０,東Ｅ,"5,480",,+10,1.103,+448.76,－,－
2021/07/29,42,3139,ラクトＪ,東１,"2,867",,+109,179.700,+444.55,14.0,1.51
2021/07/29,43,3276,日本管理Ｃ,東１,"1,311",,+5,108.600,+443.00,14.8,3.61
2021/07/29,44,4287,ジャストプラ,ＪＱ,385,,-2,67.200,+441.94,19.2,1.58
2021/07/29,45,3298,インベスコＯ,東Ｒ,"22,660",,+210,68.218,+438.76,30.8,1.77
2021/07/29,46,4633,サカタＩＮＸ,東１,"1,084",,+23,415.500,+438.21,9.9,0.78
2021/07/29,47,2071,ＥＳＧ総合,東EN,"10,870",,+50,3.858,+435.09,－,－
2021/07/29,48,3296,日本リート,東Ｒ,"450,500",,"-2,000",7.210,+431.71,21.2,1.54
2021/07/29,49,9055,アルプス物流,東１,975,,+33,59.700,+423.68,12.3,0.69
2021/07/29,50,5992,中発条,東１,"1,271",,-133,399.000,+421.57,12.7,0.51
2021/07/29,51,6310,井関農,東１,"1,528",,+33,211.500,+415.85,14.4,0.55
2021/07/29,52,2378,ルネサンス,東１,"1,189",,-78,368.800,+410.80,56.1,2.26
2021/07/29,53,1497,ｉＳＨＹ債Ｈ,東Ｅ,"2,369",,+4,2.490,+409.20,－,－
2021/07/29,54,6345,アイチコーポ,東１,797,,-43,137.000,+407.41,12.2,0.84
2021/07/29,55,3415,Ｔ－ＢＡＳＥ,東１,744,,+62,966.500,+403.39,35.2,8.63
2021/07/29,56,4072,電算システム,東１,"2,901",,-79,73.400,+399.32,16.1,1.93
2021/07/29,57,4725,ＣＡＣ,東１,"1,456",,+36,106.500,+397.66,14.5,0.90
2021/07/29,58,4955,アグロカネシ,東１,"1,452",,+95,57.700,+397.41,31.6,0.94
2021/07/29,59,4420,イーソル,東１,"1,103",,-23,159.100,+394.10,58.1,3.76
2021/07/29,60,8917,ファースト住,東１,"1,206",,+48,86.000,+391.43,8.8,0.49
2021/07/29,61,7347,マーキュリア,東１,742,,+26,86.800,+382.22,13.1,1.08
2021/07/29,62,3463,いちごホテル,東Ｒ,"90,400",,"-1,400",4.286,+381.03,49.5,0.72
2021/07/29,63,6455,モリタＨＤ,東１,"1,558",,-65,124.800,+374.52,12.9,0.93
2021/07/29,64,3054,ハイパー,東１,545,,+1,49.800,+374.29,18.8,1.66
2021/07/29,65,4985,アース製薬,東１,"6,580",,-10,254.300,+371.80,18.9,2.49
2021/07/29,66,4441,トビラシステ,東１,"1,244",,-15,115.000,+365.59,36.7,10.01
2021/07/29,67,2989,東海道リート,東Ｒ,"113,400",,-500,21.456,+364.52,52.6,－
2021/07/29,68,2627,ＧＸｅコ日株,東Ｅ,"2,162",,-9,43.684,+359.40,－,－
2021/07/29,69,6192,ＨｙＡＳ＆Ｃ,東Ｍ,157,,+5,152.100,+356.76,－,9.81
2021/07/29,70,6376,日機装,東１,"1,149",,+2,636.200,+354.75,12.0,0.88
2021/07/29,71,3001,片倉,東１,"1,535",,+27,804.500,+353.75,11.7,0.85
2021/07/29,72,9621,建設技研,東１,"2,372",,+68,77.900,+352.91,10.2,0.98
2021/07/29,73,3488,ザイマックス,東Ｒ,"125,200",,-300,4.272,+350.16,22.5,1.20
2021/07/29,74,3468,スターアジア,東Ｒ,"61,000",,"-3,100",29.020,+347.91,21.7,1.14
2021/07/29,75,3672,オルトＰ,東１,430,,+24,216.400,+337.17,－,3.68
2021/07/29,76,2530,ＭＸ中国株投,東Ｅ,"12,940",,-70,1.073,+330.92,－,－
