日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2021/10/14,1,3936,ＧＷ,東Ｍ,"4,110",S,+700,"1,928.000","+2,726.98",194,92.97
2021/10/14,2,6815,ユニデンＨＤ,東１,"3,115",,+5,249.900,"+2,257.55",28.2,0.59
2021/10/14,3,2191,テラ,ＪＱ,167,,-22,980.300,"+2,256.49",－,11.31
2021/10/14,4,3845,アイフリーク,ＪＱ,144,,+2,407.200,"+1,793.95",22.1,5.21
2021/10/14,5,2630,ＭＸ米ＳＰ有,東Ｅ,"11,370",,+160,17.954,"+1,739.55",－,－
2021/10/14,6,2044,米国配当貴族,東EN,"19,060",,+160,1.760,"+1,544.86",－,－
2021/10/14,7,2134,燦キャピタル,ＪＱ,27,,-1,"1,678.400","+1,529.51",－,1.87
2021/10/14,8,9845,パーカー,東２,540,,+5,593.100,"+1,350.12",6.5,0.42
2021/10/14,9,4335,ＩＰＳ,ＪＱ,865,,+55,166.100,"+1,344.35",11.8,1.90
2021/10/14,10,2404,鉄人化計画,東２,338,,+21,502.300,"+1,201.30",－,96.85
2021/10/14,11,6881,キョウデン,東２,430,,+28,"1,308.200","+1,188.87",7.6,1.00
2021/10/14,12,6819,伊豆シャボ,ＪＱ,107,,+2,108.800,+988.00,43.5,1.20
2021/10/14,13,3094,スーパーＶ,ＪＱ,683,,-79,198.800,+924.74,7.5,1.35
2021/10/14,14,3069,ＪＦＬＡＨＤ,ＪＱ,376,,-9,113.000,+918.02,142,1.83
2021/10/14,15,2776,新都ＨＤ,ＪＱ,66,,0,245.700,+890.73,41.8,2.13
2021/10/14,16,3857,ラック,ＪＱ,794,,-107,764.200,+850.50,14.6,1.69
2021/10/14,17,2031,ハンセンブル,東EN,"9,120",,+20,5.469,+833.28,－,－
2021/10/14,18,4295,フェイス,東１,690,,-13,109.800,+792.68,87.1,0.49
2021/10/14,19,8141,新光商,東１,892,,+45,346.400,+749.02,19.5,0.67
2021/10/14,20,1591,野村ＪＰＸ,東Ｅ,"18,000",,+130,2.440,+744.29,－,－
2021/10/14,21,1659,ｉＳ米リート,東Ｅ,"2,591",,+31,56.693,+714.44,－,－
2021/10/14,22,3550,ＡＴＡＯ,東Ｍ,363,,-25,189.700,+714.16,－,1.75
2021/10/14,23,4550,日水薬,東１,961,,-12,83.000,+705.83,32.6,0.66
2021/10/14,24,1491,中外鉱,東２,32,,+1,"1,691.100",+699.57,33.0,1.36
2021/10/14,25,3760,ケイブ,ＪＱ,851,,-111,375.900,+662.47,－,17.39
2021/10/14,26,1332,日水,東１,679,,+50,"7,828.200",+643.91,14.1,1.20
2021/10/14,27,1595,農中Ｊリート,東Ｅ,"2,097",,-32,182.900,+635.42,－,－
2021/10/14,28,2157,コシダカＨＤ,東１,677,,+27,"6,226.900",+624.99,17.7,3.04
2021/10/14,29,2569,日興ＮＱヘ有,東Ｅ,"2,670",,+40,72.550,+603.00,－,－
2021/10/14,30,5009,富士興,東１,"1,004",,+41,86.800,+600.00,18.6,0.86
2021/10/14,31,2627,ＧＸｅコ日株,東Ｅ,"2,302",,+8,46.295,+583.72,－,－
2021/10/14,32,2036,金先物Ｗブル,東EN,"18,460",,+610,4.244,+580.13,－,－
2021/10/14,33,1629,野村商社卸売,東Ｅ,"40,250",,-50,0.924,+574.45,－,－
