日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2021/11/22,1,3691,リアルワルド,東Ｍ,983,,-64,"4,109.500","+22,730.56",－,4.02
2021/11/22,2,2620,ｉＳ米債１３,東Ｅ,"2,665",,-7,41.589,"+19,425.35",－,－
2021/11/22,3,6205,ＯＫＫ,東１,944,S,+400,"1,667.900","+7,120.35",－,0.95
2021/11/22,4,6776,天昇電,東２,448,S,+80,"1,302.100","+6,378.11",126,1.12
2021/11/22,5,6440,ＪＵＫＩ,東１,908,,+83,"2,262.500","+2,672.67",13.3,0.78
2021/11/22,6,6171,土木管理,東１,346,,+5,304.800,"+2,527.59",21.8,1.14
2021/11/22,7,1472,野村４百Ｄイ,東Ｅ,741,,+1,14.090,"+2,125.91",－,－
2021/11/22,8,6059,ウチヤマＨＤ,東１,316,,-29,377.900,"+2,084.39",－,0.47
2021/11/22,9,3815,メディア工房,東Ｍ,379,,+34,659.100,"+2,039.94",76.4,3.18
2021/11/22,10,2565,ＧＸロジ日Ｒ,東Ｅ,"1,198",,+9,4.218,"+1,710.30",－,－
2021/11/22,11,6552,ゲームウィズ,東１,589,,+62,459.600,"+1,681.40",134,3.36
2021/11/22,12,9250,ＧＲＣＳ,東Ｍ,"8,900",S,"+1,500","2,459.000","+1,382.22",80.3,54.95
2021/11/22,13,9610,ウィルソンＷ,ＪＱ,227,,+7,626.200,"+1,229.51",－,1.10
2021/11/22,14,7374,Ｃｏｎｆ,東Ｍ,"2,526",,+351,248.600,"+1,229.41",23.1,8.60
2021/11/22,15,4591,リボミック,東Ｍ,433,,+63,"5,304.200","+1,108.25",－,2.31
2021/11/22,16,2981,ランディクス,東Ｍ,"3,530",,+35,118.600,"+1,074.26",15.4,1.86
2021/11/22,17,1456,大和日経イン,東Ｅ,"4,115",,-5,18.552,+753.75,－,－
2021/11/22,18,9274,国際紙パルプ,東１,362,,-75,"3,079.300",+750.64,6.2,0.53
2021/11/22,19,3768,リスモン,東２,740,,-82,444.100,+741.10,12.9,1.01
2021/11/22,20,6862,ミナトＨＤ,ＪＱ,530,,+42,303.800,+675.00,10.1,1.12
2021/11/22,21,2513,野村外国株式,東Ｅ,"1,666",,-12,31.500,+666.42,－,－
2021/11/22,22,2673,夢みつけ隊,ＪＱ,128,,+4,208.100,+648.56,－,0.61
2021/11/22,23,2510,野村国内債券,東Ｅ,994,,0,126.800,+640.65,－,－
2021/11/22,24,1554,日興ＭＳ世界,東Ｅ,"3,240",,-30,6.270,+527.00,－,－
2021/11/22,25,1656,ｉＳ米債７,東Ｅ,"2,696",,+4,8.312,+518.45,－,－
2021/11/22,26,1475,ｉＳＴＰＸ,東Ｅ,"2,096",,-2,180.779,+489.68,－,－
2021/11/22,27,3878,巴川紙,東１,879,,+80,77.300,+460.14,7.4,0.72
2021/11/22,28,4586,メドレックス,東Ｍ,148,,-8,744.100,+438.81,－,1.67
2021/11/22,29,4056,ニューラル,東Ｍ,"2,008",,-343,562.000,+436.77,"3,187",20.00
2021/11/22,30,6819,伊豆シャボ,ＪＱ,101,,+1,53.200,+432.00,41.1,1.12
2021/11/22,31,6343,フリージア,東２,130,,+3,597.900,+427.71,－,0.75
