日付,順位,コード,銘柄名,市場,株価,S高,前日比,出来高,ＰＥＲ,ＰＢＲ,利回り
2022/01/20,1,2512,野村外国債Ｈ,東Ｅ,995.2,,+0.8,"1,277,930","+14,969.93",－,－
2022/01/20,2,6193,バーチャレク,東Ｍ,"1,244",,-123,"713,500","+3,249.77",9.4,3.88
2022/01/20,3,2459,アウン,東２,181,,-2,"830,700","+3,095.00",－,2.23
2022/01/20,4,1457,大和ＴＰイン,東Ｅ,"5,180",,-30,"190,496","+2,647.67",－,－
2022/01/20,5,1474,Ｏｎｅ４００,東Ｅ,"17,660",,+225,"2,778","+1,553.57",－,－
2022/01/20,6,4428,シノプス,東Ｍ,"1,058",S,+150,"1,065,500","+1,435.30",74.2,4.81
2022/01/20,7,3607,クラウディア,東１,248,,+6,"174,500","+1,318.70",－,0.82
2022/01/20,8,1497,ｉＳＨＹ債Ｈ,東Ｅ,"2,309",,+6,"52,884","+1,238.16",－,－
2022/01/20,9,8107,キムラタン,東１,19,,0,"789,500","+1,204.96",－,4.10
2022/01/20,10,4174,アピリッツ,ＪＱ,790,,+83,"224,600","+1,190.80",23.1,1.68
2022/01/20,11,2567,農中カーボン,東Ｅ,254.9,,+9.5,"17,220","+1,087.59",－,－
2022/01/20,12,3323,レカム,ＪＱ,72,,+7,"3,962,900","+1,006.34",22.6,1.60
2022/01/20,13,2510,野村国内債券,東Ｅ,989.5,,-0.4,"512,340",+998.97,－,－
2022/01/20,14,2513,野村外国株式,東Ｅ,"1,619.0",,+8.5,"241,750",+957.06,－,－
2022/01/20,15,2032,ハンセンベア,東EN,"6,036",,-182,954,+844.55,－,－
2022/01/20,16,2629,ｉＦＥＧＢＡ,東Ｅ,"2,776",,+38,"1,284",+728.39,－,－
2022/01/20,17,2645,ＧＸＬＥ日株,東Ｅ,"1,888",,+50,"5,910",+629.63,－,－
2022/01/20,18,3070,アマガサ,ＪＧ,279,,-3,"681,800",+611.69,－,7.16
2022/01/20,19,7038,フロンティＭ,東１,658,,+19,"586,100",+531.57,22.1,3.55
2022/01/20,20,3777,ＦＨＴＨＤ,ＪＧ,18,,+1,"2,278,200",+523.14,－,3.07
2022/01/20,21,7782,シンシア,東１,511,,+40,"72,000",+433.33,18.2,1.60
2022/01/20,22,2641,ＧＸリー日株,東Ｅ,"2,083",,+34,"5,390",+400.93,－,－
2022/01/20,23,3999,ナレッジＳ,東Ｍ,735,,+45,"66,200",+386.76,－,4.20
2022/01/20,24,3760,ケイブ,ＪＱ,652,,-60,"253,800",+377.07,－,5.52
2022/01/20,25,2626,ＧＸデジ日株,東Ｅ,"1,860",,+36,"8,375",+376.66,－,－
2022/01/20,26,6658,シライ電子,ＪＱ,506,S,+80,"1,494,900",+342.54,7.8,2.22
2022/01/20,27,2352,ワオワールド,東１,"1,550",,+67,"102,400",+317.96,17.9,4.00
2022/01/20,28,1673,ＷＴ銀,東Ｅ,"2,566.0",,+77.0,"6,010",+311.64,－,－
2022/01/20,29,2351,ＡＳＪ,東Ｍ,605,,+34,"90,700",+304.91,371,1.64
2022/01/20,30,2566,日興ＥＳＧリ,東Ｅ,"1,100.0",,+29.5,"42,070",+291.35,－,－
2022/01/20,31,5659,日精線,東１,"4,650",,-285,"93,200",+277.33,9.7,0.85
2022/01/20,32,6298,ワイエイシイ,東１,"1,093",,+73,"945,100",+271.94,9.1,0.68
2022/01/20,33,1543,純パラ信託,東Ｅ,"66,490",,"+3,160",585,+234.29,－,－
2022/01/20,34,1496,ｉＳＩＧ債Ｈ,東Ｅ,"2,474",,+6,"20,096",+230.85,－,－
2022/01/20,35,4125,三和油化工業,ＪＱ,"4,440",,+430,"72,400",+229.09,19.0,3.10
2022/01/20,36,4556,カイノス,ＪＱ,"1,116",,+66,"61,600",+225.93,8.2,0.90
2022/01/20,37,1541,純プラ信託,東Ｅ,"3,525",,+180,"91,442",+216.09,－,－
2022/01/20,38,1694,ＷＴニッケル,東Ｅ,"2,609.5",,+236.5,"5,880",+214.44,－,－
2022/01/20,39,9827,リリカラ,ＪＱ,166,,0,"110,100",+206.69,11.3,0.32
2022/01/20,40,2345,クシム,東２,401,,+31,"1,086,800",+200.55,－,1.09
