日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/14,1436,マザーズ,(株)フィット,"1,315",+29.56%,+300,"1,315"
2021/09/14,3824,福岡Q,メディアファイブ(株),785,+7.53%,+55,880
2021/09/14,3996,東証1部,サインポスト(株),"1,009",+17.46%,+150,"1,009"
2021/09/14,4334,東証JQS,(株)ユークス,478,+20.10%,+80,478
2021/09/14,4394,マザーズ,(株)エクスモーション,"1,300",+23.22%,+245,"1,355"
2021/09/14,6336,東証2部,(株)石井表記,"1,140",+15.15%,+150,"1,140"
2021/09/14,7050,マザーズ,(株)フロンティアインターナショナル,"2,192",+22.32%,+400,"2,192"
2021/09/14,7805,東証JQS,プリントネット(株),827,+13.76%,+100,877
2021/09/14,8254,東証2部,(株)さいか屋,370,+13.85%,+45,405
2021/09/14,9964,東証JQS,(株)アイ・テック,"1,443",+5.56%,+76,"1,667"
