日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/06,3936,マザーズ,(株)グローバルウェイ,"5,210",+15.65%,+705,"5,210"
2021/08/06,3994,東証1部,(株)マネーフォワード,"7,380",+8.69%,+590,"7,790"
2021/08/06,4180,マザーズ,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),"1,569",+20.88%,+271,"1,598"
2021/08/06,4800,東証JQS,オリコン(株),"1,041",+16.84%,+150,"1,041"
2021/08/06,5984,東証2部,兼房(株),730,+15.87%,+100,730
2021/08/06,6299,東証2部,(株)神鋼環境ソリューション,"3,205",+18.57%,+502,"3,205"
2021/08/06,6943,東証JQS,ＮＫＫスイッチズ(株),"4,160",+10.93%,+410,"4,450"
2021/08/06,7089,マザーズ,フォースタートアップス(株),"1,910",+26.49%,+400,"1,910"
2021/08/06,7254,東証2部,(株)ユニバンス,415,+23.88%,+80,415
2021/08/06,7855,東証JQG,カーディナル(株),673,+17.45%,+100,673
2021/08/06,7990,東証1部,グローブライド(株),"6,410",+18.48%,"+1,000","6,410"
2021/08/06,9127,東証2部,玉井商船(株),"1,225",+21.29%,+215,"1,310"
