日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/13,3189,東証JQS,(株)ＡＮＡＰ,482,+19.90%,+80,482
2021/12/13,3663,東証2部,アートスパークホールディングス(株),"1,037",+16.91%,+150,"1,037"
2021/12/13,3691,マザーズ,(株)リアルワールド,"1,118",+15.50%,+150,"1,118"
2021/12/13,4336,東証JQS,(株)クリエアナブキ,737,+15.70%,+100,737
2021/12/13,4414,マザーズ,(株)フレクト,"7,810",+14.68%,"+1,000","7,810"
2021/12/13,4761,東証2部,(株)さくらケーシーエス,950,+5.56%,+50,"1,050"
2021/12/13,5395,東証2部,理研コランダム(株),"2,501",+13.84%,+304,"2,692"
2021/12/13,5950,東証2部,日本パワーファスニング(株),152,+49.02%,+50,152
2021/12/13,6966,東証1部,(株)三井ハイテック,"10,250",+17.14%,"+1,500","10,250"
2021/12/13,7050,マザーズ,(株)フロンティアインターナショナル,"2,642",+23.34%,+500,"2,642"
2021/12/13,7063,マザーズ,(株)Ｂｉｒｄｍａｎ,"1,763",+20.51%,+300,"1,763"
2021/12/13,8040,東証2部,(株)東京ソワール,"1,080",+16.13%,+150,"1,080"
