日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/05/28,2667,東証JQS,(株)イメージ　ワン,860,+21.13%,+150,860
2021/05/28,3189,東証JQS,(株)ＡＮＡＰ,422,+23.39%,+80,422
2021/05/28,3267,東証1部,(株)フィル・カンパニー,"3,180",+18.79%,+503,"3,180"
2021/05/28,3326,東証JQS,(株)ランシステム,710,-8.74%,-68,928
2021/05/28,3996,東証1部,サインポスト(株),884,+4.62%,+39,995
2021/05/28,4282,東証1部,ＥＰＳホールディングス(株),"1,628",+22.59%,+300,"1,628"
2021/05/28,4657,東証JQS,(株)環境管理センター,673,+9.25%,+57,716
2021/05/28,5017,東証1部,富士石油(株),272,+24.20%,+53,299
2021/05/28,6031,マザーズ,サイジニア(株),"2,260",+17.40%,+335,"2,325"
2021/05/28,7213,名証1部,レシップホールディングス(株),657,+16.08%,+91,657
2021/05/28,7213,東証1部,レシップホールディングス(株),613,+10.05%,+56,657
