日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/10,2195,東証JQG,アミタホールディングス(株),"13,150",+29.56%,"+3,000","13,150"
2021/12/10,3189,東証JQS,(株)ＡＮＡＰ,402,+24.84%,+80,402
2021/12/10,3224,マザーズ,(株)ゼネラル・オイスター,"1,019",+6.15%,+59,"1,110"
2021/12/10,3691,マザーズ,(株)リアルワールド,968,+18.34%,+150,968
2021/12/10,4194,マザーズ,ビジョナル(株),"10,180",+17.28%,"+1,500","10,180"
2021/12/10,4772,東証JQG,(株)ストリームメディアコーポレーション,196,+8.89%,+16,230
2021/12/10,6161,東証2部,(株)エスティック,"6,480",+10.96%,+640,"6,840"
2021/12/10,7063,マザーズ,(株)Ｂｉｒｄｍａｎ,"1,463",+25.80%,+300,"1,463"
