日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/07/16,2978,マザーズ,(株)ツクルバ,"1,094",+15.89%,+150,"1,094"
2021/07/16,3181,東証JQS,(株)買取王国,744,+12.05%,+80,764
2021/07/16,3691,マザーズ,(株)リアルワールド,565,+5.02%,+27,638
2021/07/16,4068,マザーズ,ベイシス(株),"10,840",+16.06%,"+1,500","10,840"
2021/07/16,6058,東証1部,(株)ベクトル,"1,095",+15.87%,+150,"1,095"
2021/07/16,6578,東証2部,(株)エヌリンクス,387,+26.06%,+80,387
2021/07/16,7086,マザーズ,(株)きずなホールディングス,"2,075",+23.88%,+400,"2,075"
2021/07/16,7187,東証1部,ジェイリース(株),"1,595",+22.13%,+289,"1,606"
2021/07/16,7807,東証JQS,(株)幸和製作所,"1,070",+16.30%,+150,"1,070"
2021/07/16,9812,東証JQS,(株)テーオーホールディングス,453,+21.45%,+80,453
