日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/22,3408,東証1部,サカイオーベックス(株),"4,680",+4.12%,+185,"5,200"
2021/09/22,3671,マザーズ,ソフトマックス(株),"1,144",+9.58%,+100,"1,344"
2021/09/22,5939,東証JQS,(株)大谷工業,"5,370",+15.11%,+705,"5,370"
2021/09/22,6063,東証JQS,日本エマージェンシーアシスタンス(株),"1,433",+26.48%,+300,"1,433"
2021/09/22,6533,東証1部,(株)Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,"4,470",+15.50%,+600,"4,570"
2021/09/22,7072,マザーズ,(株)インティメート・マージャー,"2,846",+21.31%,+500,"2,846"
2021/09/22,8247,東証2部,(株)大和,327,+6.17%,+19,388
2021/09/22,8254,東証2部,(株)さいか屋,423,+23.32%,+80,423
2021/09/22,8260,東証1部,(株)井筒屋,347,+29.96%,+80,347
2021/09/22,9941,東証JQS,太洋物産(株),"1,570",+21.14%,+274,"1,596"
