日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/17,2158,マザーズ,(株)ＦＲＯＮＴＥＯ,"1,103",+15.74%,+150,"1,103"
2021/08/17,4399,マザーズ,(株)くふうカンパニー,710,+8.23%,+54,756
2021/08/17,4497,マザーズ,(株)ロコガイド,"2,953",+11.98%,+316,"3,140"
2021/08/17,6069,マザーズ,トレンダーズ(株),900,+20.00%,+150,900
2021/08/17,7018,東証2部,内海造船(株),"1,434",+26.46%,+300,"1,434"
2021/08/17,7072,マザーズ,(株)インティメート・マージャー,"1,059",+16.50%,+150,"1,059"
2021/08/17,8256,東証JQS,(株)プロルート丸光,730,+15.87%,+100,730
2021/08/17,9073,東証JQS,京極運輸商事(株),954,+18.66%,+150,954
2021/08/17,9115,東証1部,明治海運(株),790,+14.49%,+100,790
2021/08/17,9127,東証2部,玉井商船(株),"2,829",+21.47%,+500,"2,829"
2021/08/17,9171,東証2部,栗林商船(株),551,+16.99%,+80,551
2021/08/17,9268,東証2部,(株)オプティマスグループ,"2,132",+23.09%,+400,"2,132"
2021/08/17,9362,東証2部,兵機海運(株),"2,085",+23.74%,+400,"2,085"
2021/08/17,9363,東証2部,(株)大運,534,+17.36%,+79,535
2021/08/17,9365,東証2部,トレーディア(株),"1,600",+17.73%,+241,"1,659"
2021/08/17,9367,東証JQS,大東港運(株),677,+5.45%,+35,742
