日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/16,2195,東証JQG,アミタホールディングス(株),"14,570",+25.93%,"+3,000","14,570"
2021/12/16,2424,東証1部,(株)ブラス,777,+8.82%,+63,864
2021/12/16,2438,マザーズ,(株)アスカネット,774,+14.84%,+100,774
2021/12/16,3113,東証2部,Ｏａｋ　キャピタル(株),98,+20.99%,+17,111
2021/12/16,3260,名古屋セ,(株)エスポア,785,+14.60%,+100,785
2021/12/16,3977,札幌ア,フュージョン(株),"1,280",+13.78%,+155,"1,425"
2021/12/16,4412,マザーズ,(株)サイエンスアーツ,"13,800",+25.68%,"+2,820","13,980"
2021/12/16,4592,マザーズ,サンバイオ(株),"1,097",+15.84%,+150,"1,097"
2021/12/16,4599,マザーズ,(株)ステムリム,"1,069",+59.79%,+400,"1,069"
2021/12/16,5491,東証1部,日本金属(株),"1,061",+7.72%,+76,"1,135"
2021/12/16,6907,東証JQS,ジオマテック(株),869,+20.86%,+150,869
2021/12/16,7062,マザーズ,(株)フレアス,853,+2.90%,+24,979
2021/12/16,7169,東証JQS,(株)ＮＦＣホールディングス,"1,333",+2.62%,+34,"1,599"
2021/12/16,9271,マザーズ,(株)和心,460,+21.05%,+80,460
