日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2022/01/20,2195,東証JQG,アミタホールディングス(株),"1,973",+25.43%,+400,"1,973"
2022/01/20,3691,マザーズ,(株)リアルワールド,"1,055",+16.57%,+150,"1,055"
2022/01/20,4016,東証JQS,ＭＩＴホールディングス(株),"1,025",+17.14%,+150,"1,025"
2022/01/20,4177,マザーズ,(株)ｉ−ｐｌｕｇ,"4,240",+19.77%,+700,"4,240"
2022/01/20,4259,マザーズ,(株)エクサウィザーズ,760,+15.15%,+100,760
2022/01/20,4261,マザーズ,アジアクエスト(株),"4,275",+19.58%,+700,"4,275"
2022/01/20,4428,マザーズ,(株)シノプス,"1,058",+16.52%,+150,"1,058"
2022/01/20,6658,東証JQS,シライ電子工業(株),506,+18.78%,+80,506
2022/01/20,6982,東証2部,(株)リード,653,+18.08%,+100,653
2022/01/20,7365,マザーズ,(株)シック・ホールディングス,710,+16.39%,+100,710
2022/01/20,9211,マザーズ,(株)エフ・コード,"5,380",+9.80%,+480,"5,600"
