日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/02,2164,東証JQG,(株)地域新聞社,484,+7.08%,+32,532
2021/12/02,2195,東証JQG,アミタホールディングス(株),"9,150",+19.61%,"+1,500","9,150"
2021/12/02,3356,東証JQS,(株)テリロジー,388,+9.92%,+35,433
2021/12/02,3739,名古屋セ,コムシード(株),479,+20.05%,+80,479
2021/12/02,4412,マザーズ,(株)サイエンスアーツ,"7,410",+15.60%,"+1,000","7,410"
2021/12/02,4881,マザーズ,(株)ファンペップ,277,+9.49%,+24,333
2021/12/02,6047,東証1部,(株)Ｇｕｎｏｓｙ,651,+18.15%,+100,651
2021/12/02,6233,東証JQS,極東産機(株),548,+4.18%,+22,626
2021/12/02,8806,東証1部,ダイビル(株),"2,164",+22.68%,+400,"2,164"
2021/12/02,9073,東証JQS,京極運輸商事(株),780,+14.71%,+100,780
2021/12/02,9358,東証1部,(株)宇徳,716,+16.23%,+100,716
