日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/23,2479,東証JQG,(株)ジェイテック,283,+24.12%,+55,308
2021/11/23,2983,マザーズ,(株)アールプランナー,"9,130",+19.66%,"+1,500","9,130"
2021/11/23,3135,東証1部,(株)マーケットエンタープライズ,"1,016",+17.32%,+150,"1,016"
2021/11/23,5974,東証2部,中国工業(株),744,+9.09%,+62,782
2021/11/23,6190,マザーズ,(株)フェニックスバイオ,658,+17.92%,+100,658
2021/11/23,6195,福岡Q,(株)ホープ,401,-68.00%,-852,401
2021/11/23,6195,マザーズ,(株)ホープ,401,+24.92%,+80,401
2021/11/23,6205,東証1部,ＯＫＫ(株),944,+73.53%,+400,944
2021/11/23,6537,マザーズ,ＷＡＳＨハウス(株),525,+17.98%,+80,525
2021/11/23,6658,東証JQS,シライ電子工業(株),571,+16.29%,+80,571
2021/11/23,6776,東証2部,天昇電気工業(株),448,+21.74%,+80,448
2021/11/23,7042,東証JQS,(株)アクセスグループ・ホールディングス,"1,315",+29.56%,+300,"1,315"
2021/11/23,7827,東証JQS,(株)オービス,"1,007",+17.50%,+150,"1,007"
2021/11/23,7946,東証2部,(株)光陽社,"1,662",+22.03%,+300,"1,662"
2021/11/23,8040,東証2部,(株)東京ソワール,"1,062",+16.45%,+150,"1,062"
2021/11/23,9250,マザーズ,(株)ＧＲＣＳ,"8,900",+20.27%,"+1,500","8,900"
