日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/10,3326,東証JQS,(株)ランシステム,518,+18.26%,+80,518
2021/08/10,3936,マザーズ,(株)グローバルウェイ,"6,210",+19.19%,"+1,000","6,210"
2021/08/10,4331,東証1部,(株)テイクアンドギヴ・ニーズ,"1,002",+17.61%,+150,"1,002"
2021/08/10,4487,マザーズ,(株)スペースマーケット,788,+14.53%,+100,788
2021/08/10,4595,東証2部,(株)ミズホメディー,"2,920",+20.66%,+500,"2,920"
2021/08/10,5121,東証1部,藤倉コンポジット(株),606,+19.76%,+100,606
2021/08/10,5922,東証2部,那須電機鉄工(株),"9,880",+17.90%,"+1,500","9,880"
2021/08/10,6062,東証1部,(株)チャーム・ケア・コーポレーション,"1,379",+27.80%,+300,"1,379"
2021/08/10,6089,東証1部,(株)ウィルグループ,"1,101",+15.77%,+150,"1,101"
2021/08/10,6789,東証1部,ローランド　ディー．ジー．(株),"3,155",+18.83%,+500,"3,155"
2021/08/10,7089,マザーズ,フォースタートアップス(株),"2,310",+20.94%,+400,"2,310"
2021/08/10,7414,東証1部,小野建(株),"1,550",+12.89%,+177,"1,673"
2021/08/10,7826,東証JQS,(株)フルヤ金属,"7,340",+15.77%,"+1,000","7,340"
2021/08/10,7855,東証JQG,カーディナル(株),773,+14.86%,+100,773
2021/08/10,7990,東証1部,グローブライド(株),"7,410",+15.60%,"+1,000","7,410"
2021/08/10,9909,東証JQS,愛光電気(株),"2,275",+21.33%,+400,"2,275"
