日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/10/13,3094,東証JQS,(株)スーパーバリュー,762,+15.11%,+100,762
2021/10/13,3578,東証2部,倉庫精練(株),535,-5.14%,-29,664
2021/10/13,3645,マザーズ,(株)メディカルネット,648,+18.25%,+100,648
2021/10/13,3936,マザーズ,(株)グローバルウェイ,"3,410",+17.22%,+501,"3,410"
2021/10/13,4673,東証JQS,川崎地質(株),"6,640",+17.73%,"+1,000","6,640"
2021/10/13,4889,マザーズ,(株)レナサイエンス,864,+21.01%,+150,864
2021/10/13,6522,マザーズ,(株)アスタリスク,"6,840",+17.12%,"+1,000","6,840"
2021/10/13,7021,東証2部,(株)ニッチツ,"3,310",+17.84%,+501,"3,310"
2021/10/13,7477,東証JQS,ムラキ(株),"1,773",+20.37%,+300,"1,773"
2021/10/13,7946,東証2部,(株)光陽社,"2,126",+23.17%,+400,"2,126"
2021/10/13,9245,マザーズ,(株)リベロ,"1,992",+25.13%,+400,"1,992"
