日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/04,3936,マザーズ,(株)グローバルウェイ,"3,805",-15.54%,-700,"5,210"
2021/08/04,4438,マザーズ,(株)Ｗｅｌｂｙ,982,-2.00%,-20,"1,302"
2021/08/04,5935,東証JQS,元旦ビューティ工業(株),"6,320",+20.84%,"+1,090","6,330"
2021/08/04,7372,マザーズ,(株)デコルテ・ホールディングス,"1,329",+21.70%,+237,"1,392"
2021/08/04,7634,東証JQS,(株)星医療酸器,"4,120",-8.44%,-380,"5,200"
2021/08/04,8040,東証2部,(株)東京ソワール,"1,093",+15.91%,+150,"1,093"
2021/08/04,8143,東証2部,(株)ラピーヌ,439,+22.28%,+80,439
2021/08/04,9127,東証2部,玉井商船(株),860,-2.82%,-25,"1,035"
2021/08/04,9476,東証JQS,(株)中央経済社ホールディングス,618,+3.00%,+18,700
2021/08/04,9818,東証2部,大丸エナウィン(株),"2,169",+28.42%,+480,"2,169"
