日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/23,2388,東証JQG,(株)ウェッジホールディングス,105,+40.00%,+30,105
2021/12/23,3004,東証1部,神栄(株),"1,113",+15.58%,+150,"1,113"
2021/12/23,3686,東証1部,(株)ディー・エル・イー,340,+30.77%,+80,340
2021/12/23,3945,東証2部,スーパーバッグ(株),"2,145",+12.30%,+235,"2,310"
2021/12/23,4073,マザーズ,(株)ジィ・シィ企画,"1,264",+12.56%,+141,"1,423"
2021/12/23,4255,マザーズ,ＴＨＥＣＯＯ(株),"5,970",+17.06%,+870,"6,100"
2021/12/23,4258,マザーズ,(株)網屋,"2,388",+20.12%,+400,"2,388"
2021/12/23,4418,マザーズ,(株)ＪＤＳＣ,"2,848",+21.29%,+500,"2,848"
2021/12/23,4419,マザーズ,(株)Ｆｉｎａｔｅｘｔホールディングス,990,+17.86%,+150,990
2021/12/23,4572,東証JQG,カルナバイオサイエンス(株),"1,355",+28.44%,+300,"1,355"
2021/12/23,4579,東証JQG,ラクオリア創薬(株),"1,244",+18.59%,+195,"1,349"
2021/12/23,6031,マザーズ,サイジニア(株),"1,710",+21.28%,+300,"1,710"
2021/12/23,6524,東証2部,湖北工業(株),"7,110",+16.37%,"+1,000","7,110"
2021/12/23,7133,マザーズ,ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　ＣＡＲＥ(株),"5,480",+14.64%,+700,"5,480"
2021/12/23,9257,マザーズ,ＹＣＰホールディングス（グローバル）,761,+15.13%,+100,761
