日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/18,3190,東証JQS,(株)ホットマン,668,+17.61%,+100,668
2021/08/18,3936,マザーズ,(株)グローバルウェイ,"4,105",+20.56%,+700,"4,105"
2021/08/18,6579,マザーズ,ログリー(株),983,+3.69%,+35,"1,098"
2021/08/18,6619,東証1部,ダブル・スコープ(株),748,+14.72%,+96,752
2021/08/18,7018,東証2部,内海造船(株),"1,388",-3.21%,-46,"1,734"
2021/08/18,7379,マザーズ,(株)サーキュレーション,"2,989",+20.09%,+500,"2,989"
2021/08/18,9073,東証JQS,京極運輸商事(株),"1,104",+15.72%,+150,"1,104"
2021/08/18,9115,東証1部,明治海運(株),745,-5.70%,-45,940
2021/08/18,9127,東証2部,玉井商船(株),"2,663",-5.87%,-166,"3,330"
2021/08/18,9171,東証2部,栗林商船(株),578,+4.90%,+27,651
2021/08/18,9193,東証2部,東京汽船(株),637,+2.58%,+16,721
2021/08/18,9362,東証2部,兵機海運(株),"2,000",-4.08%,-85,"2,585"
2021/08/18,9363,東証2部,(株)大運,479,-10.30%,-55,634
2021/08/18,9514,東証1部,(株)エフオン,855,+13.55%,+102,903
