日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/07,1400,東証JQG,ルーデン・ホールディングス(株),291,+2.46%,+7,364
2021/09/07,1881,東証1部,(株)ＮＩＰＰＯ,"4,215",+19.91%,+700,"4,215"
2021/09/07,2667,東証JQS,(株)イメージ　ワン,850,-2.97%,-26,"1,026"
2021/09/07,2983,マザーズ,(株)アールプランナー,"3,070",+19.46%,+500,"3,070"
2021/09/07,2987,マザーズ,(株)タスキ,"1,824",+10.48%,+173,"2,051"
2021/09/07,3999,マザーズ,ナレッジスイート(株),840,+12.60%,+94,896
2021/09/07,4813,東証1部,(株)ＡＣＣＥＳＳ,"1,126",+15.37%,+150,"1,126"
2021/09/07,6335,東証1部,(株)東京機械製作所,"2,358",+20.43%,+400,"2,358"
2021/09/07,6696,マザーズ,(株)ピースリー,656,+17.99%,+100,656
2021/09/07,9171,東証2部,栗林商船(株),473,+12.35%,+52,501
2021/09/07,9271,マザーズ,(株)和心,558,+16.74%,+80,558
2021/09/07,9919,東証1部,(株)関西スーパーマーケット,"2,134",+23.07%,+400,"2,134"
