日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/31,3936,マザーズ,(株)グローバルウェイ,"6,240",+19.08%,"+1,000","6,240"
2021/08/31,4488,マザーズ,ＡＩ　ｉｎｓｉｄｅ(株),"10,790",+16.15%,"+1,500","10,790"
2021/08/31,5408,東証1部,(株)中山製鋼所,505,+7.68%,+36,549
2021/08/31,5458,東証2部,高砂鐵工(株),793,+14.43%,+100,793
2021/08/31,6430,東証1部,ダイコク電機(株),"1,065",+16.39%,+150,"1,065"
2021/08/31,7036,マザーズ,(株)イーエムネットジャパン,"7,130",+16.31%,"+1,000","7,130"
2021/08/31,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"1,093",+15.91%,+150,"1,093"
2021/08/31,7379,マザーズ,(株)サーキュレーション,"4,200",+10.09%,+385,"4,515"
2021/08/31,8076,名証2部,(株)カノークス,"1,404",+27.17%,+300,"1,404"
2021/08/31,9360,東証2部,鈴与シンワート(株),"2,880",+21.01%,+500,"2,880"
2021/08/31,9919,東証1部,(株)関西スーパーマーケット,"1,538",+16.52%,+218,"1,620"
