日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/29,2195,東証JQG,アミタホールディングス(株),"4,145",+20.32%,+700,"4,145"
2021/11/29,3326,東証JQS,(株)ランシステム,516,+2.79%,+14,602
2021/11/29,3604,東証2部,川本産業(株),"1,065",+16.39%,+150,"1,065"
2021/11/29,3841,東証JQS,(株)ジーダット,"1,600",+23.08%,+300,"1,600"
2021/11/29,4177,マザーズ,(株)ｉ−ｐｌｕｇ,"6,620",+17.79%,"+1,000","6,620"
2021/11/29,4412,マザーズ,(株)サイエンスアーツ,"7,250",+16.00%,"+1,000","7,250"
2021/11/29,4558,東証JQS,(株)中京医薬品,366,+27.97%,+80,366
2021/11/29,4591,マザーズ,(株)リボミック,681,+17.21%,+100,681
2021/11/29,4889,マザーズ,(株)レナサイエンス,934,+6.50%,+57,"1,027"
2021/11/29,6176,マザーズ,(株)ブランジスタ,425,+3.16%,+13,492
2021/11/29,7373,マザーズ,(株)アイドマ・ホールディングス,"4,855",+9.72%,+430,"5,130"
