日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/16,3675,東証1部,(株)クロス・マーケティンググループ,790,+13.51%,+94,796
2021/08/16,3925,東証1部,(株)ダブルスタンダード,"6,230",+19.12%,"+1,000","6,230"
2021/08/16,3977,札幌ア,フュージョン(株),"1,140",+15.15%,+150,"1,140"
2021/08/16,4074,マザーズ,(株)ラキール,"2,055",+24.17%,+400,"2,055"
2021/08/16,4450,マザーズ,(株)パワーソリューションズ,"2,607",+23.73%,+500,"2,607"
2021/08/16,4482,マザーズ,(株)ウィルズ,996,+17.73%,+150,996
2021/08/16,5381,東証JQS,Ｍｉｐｏｘ(株),856,+21.25%,+150,856
2021/08/16,6069,マザーズ,トレンダーズ(株),750,+15.38%,+100,750
2021/08/16,6137,東証2部,小池酸素工業(株),"3,085",+19.39%,+501,"3,085"
2021/08/16,6626,東証JQS,ＳＥＭＩＴＥＣ(株),"7,140",+9.85%,+640,"7,500"
2021/08/16,6890,東証JQS,(株)フェローテックホールディングス,"3,190",+18.76%,+504,"3,190"
2021/08/16,7091,マザーズ,(株)リビングプラットフォーム,"4,450",+18.67%,+700,"4,450"
2021/08/16,7367,東証JQS,(株)セルム,"1,068",+16.34%,+150,"1,068"
2021/08/16,7505,東証2部,扶桑電通(株),"3,100",+2.48%,+75,"3,725"
2021/08/16,7809,東証JQS,(株)壽屋,"2,652",+23.01%,+496,"2,656"
2021/08/16,8256,東証JQS,(株)プロルート丸光,630,+16.45%,+89,641
2021/08/16,9127,東証2部,玉井商船(株),"2,329",+20.74%,+400,"2,329"
2021/08/16,9171,東証2部,栗林商船(株),471,+20.46%,+80,471
2021/08/16,9268,東証2部,(株)オプティマスグループ,"1,732",+20.95%,+300,"1,732"
2021/08/16,9362,東証2部,兵機海運(株),"1,685",+21.66%,+300,"1,685"
2021/08/16,9818,東証2部,大丸エナウィン(株),"2,044",+24.33%,+400,"2,044"
2021/08/16,9941,東証JQS,太洋物産(株),777,+8.67%,+62,865
