日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/08,3083,東証JQS,(株)シーズメン,"2,208",+22.12%,+400,"2,208"
2021/11/08,3121,東証2部,マーチャント・バンカーズ(株),777,+14.77%,+100,777
2021/11/08,3185,マザーズ,夢展望(株),303,+35.87%,+80,303
2021/11/08,3690,マザーズ,(株)イルグルム,"1,437",+26.39%,+300,"1,437"
2021/11/08,3927,マザーズ,(株)フーバーブレイン,"1,333",+29.04%,+300,"1,333"
2021/11/08,3976,マザーズ,(株)シャノン,"2,270",+21.39%,+400,"2,270"
2021/11/08,4374,マザーズ,(株)ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,"4,795",+17.09%,+700,"4,795"
2021/11/08,6161,東証2部,(株)エスティック,"5,110",+16.00%,+705,"5,110"
2021/11/08,6522,マザーズ,(株)アスタリスク,"13,510",+28.54%,"+3,000","13,510"
2021/11/08,6554,マザーズ,(株)エスユーエス,854,+21.31%,+150,854
2021/11/08,6943,東証JQS,ＮＫＫスイッチズ(株),"5,550",-2.63%,-150,"6,700"
2021/11/08,7079,マザーズ,ＷＤＢココ(株),"6,010",+19.96%,"+1,000","6,010"
2021/11/08,7826,東証JQS,(株)フルヤ金属,"10,780",+16.16%,"+1,500","10,780"
2021/11/08,8698,東証1部,マネックスグループ(株),"1,045",+16.76%,+150,"1,045"
