日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/13,3326,東証JQS,(株)ランシステム,868,+20.89%,+150,868
2021/08/13,3465,東証1部,ケイアイスター不動産(株),"6,130",+19.49%,"+1,000","6,130"
2021/08/13,3624,マザーズ,アクセルマーク(株),520,+18.18%,+80,520
2021/08/13,3675,東証1部,(株)クロス・マーケティンググループ,696,+16.78%,+100,696
2021/08/13,4222,東証2部,児玉化学工業(株),503,+7.02%,+33,550
2021/08/13,4495,マザーズ,(株)アイキューブドシステムズ,"4,580",+15.37%,+610,"4,670"
2021/08/13,6194,東証1部,(株)アトラエ,"2,744",+22.23%,+499,"2,745"
2021/08/13,6626,東証JQS,ＳＥＭＩＴＥＣ(株),"6,500",+18.18%,"+1,000","6,500"
2021/08/13,7505,東証2部,扶桑電通(株),"3,025",+19.85%,+501,"3,025"
2021/08/13,7634,東証JQS,(株)星医療酸器,"5,480",+14.64%,+700,"5,480"
2021/08/13,7699,マザーズ,オムニ・プラス・システム,"1,049",+7.26%,+71,"1,128"
2021/08/13,7816,東証1部,(株)スノーピーク,"4,985",+16.34%,+700,"4,985"
2021/08/13,9073,東証JQS,京極運輸商事(株),908,+19.79%,+150,908
2021/08/13,9127,東証2部,玉井商船(株),"1,929",+26.16%,+400,"1,929"
2021/08/13,9171,東証2部,栗林商船(株),391,-16.99%,-80,551
2021/08/13,9260,東証1部,西本Ｗｉｓｍｅｔｔａｃホールディングス(株),"3,320",+17.73%,+500,"3,320"
2021/08/13,9363,東証2部,(株)大運,427,+2.40%,+10,497
2021/08/13,9941,東証JQS,太洋物産(株),715,+16.26%,+100,715
