日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/16,2158,マザーズ,(株)ＦＲＯＮＴＥＯ,"3,445",+16.98%,+500,"3,445"
2021/11/16,3083,東証JQS,(株)シーズメン,"1,277",+18.13%,+196,"1,381"
2021/11/16,3185,マザーズ,夢展望(株),463,+20.89%,+80,463
2021/11/16,3680,マザーズ,(株)ホットリンク,782,+14.66%,+100,782
2021/11/16,3814,東証JQG,(株)アルファクス・フード・システム,788,+12.09%,+85,853
2021/11/16,3936,マザーズ,(株)グローバルウェイ,"2,178",+12.21%,+237,"2,341"
2021/11/16,4054,マザーズ,日本情報クリエイト(株),"1,374",+27.93%,+300,"1,374"
2021/11/16,4169,マザーズ,ＥＮＥＣＨＡＮＧＥ(株),"7,420",+15.58%,"+1,000","7,420"
2021/11/16,4334,東証JQS,(株)ユークス,563,+11.71%,+59,604
2021/11/16,4371,マザーズ,(株)コアコンセプト・テクノロジー,"7,430",+15.55%,"+1,000","7,430"
2021/11/16,4445,マザーズ,リビン・テクノロジーズ(株),"3,700",+23.33%,+700,"3,700"
2021/11/16,6166,マザーズ,(株)中村超硬,853,+21.34%,+150,853
2021/11/16,6554,マザーズ,(株)エスユーエス,896,+20.11%,+150,896
2021/11/16,6575,マザーズ,ヒューマン・アソシエイツ・ホールディングス(株),790,+14.49%,+100,790
2021/11/16,6616,東証1部,トレックス・セミコンダクター(株),"3,400",+17.36%,+503,"3,400"
2021/11/16,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"2,271",+21.38%,+400,"2,271"
2021/11/16,7082,マザーズ,(株)ジモティー,"5,300",+15.22%,+700,"5,300"
2021/11/16,7758,東証2部,(株)セコニック,"1,635",+22.47%,+300,"1,635"
2021/11/16,7809,東証JQS,(株)壽屋,"4,595",+17.97%,+700,"4,595"
2021/11/16,9244,マザーズ,(株)デジタリフト,"2,071",+23.94%,+400,"2,071"
2021/11/16,9246,マザーズ,(株)プロジェクトカンパニー,"5,110",+15.87%,+700,"5,110"
2021/11/16,9625,東証JQS,(株)セレスポ,"1,330",+29.13%,+300,"1,330"
