日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/07,1873,東証1部,(株)日本ハウスホールディングス,413,+18.68%,+65,428
2021/12/07,2195,東証JQG,アミタホールディングス(株),"7,150",+16.26%,"+1,000","7,150"
2021/12/07,3083,東証JQS,(株)シーズメン,"1,141",+15.14%,+150,"1,141"
2021/12/07,3370,東証JQS,(株)フジタコーポレーション,357,+11.56%,+37,400
2021/12/07,3691,マザーズ,(株)リアルワールド,767,+14.99%,+100,767
2021/12/07,4378,マザーズ,(株)ＣＩＮＣ,"3,020",+19.84%,+500,"3,020"
2021/12/07,4412,マザーズ,(株)サイエンスアーツ,"10,620",+16.45%,"+1,500","10,620"
2021/12/07,4699,東証JQS,ウチダエスコ(株),"3,160",+18.80%,+500,"3,160"
2021/12/07,7070,東証JQG,ＳＩホールディングス(株),460,+21.05%,+80,460
2021/12/07,7760,東証JQS,ＩＭＶ(株),560,+14.52%,+71,569
2021/12/07,8040,東証2部,(株)東京ソワール,965,+18.40%,+150,965
2021/12/07,8226,東証2部,(株)理経,376,+27.03%,+80,376
2021/12/07,9250,マザーズ,(株)ＧＲＣＳ,"9,560",+12.21%,"+1,040","10,020"
