日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/11,3326,東証JQS,(株)ランシステム,618,+19.31%,+100,618
2021/08/11,3936,マザーズ,(株)グローバルウェイ,"7,210",+16.10%,"+1,000","7,210"
2021/08/11,4438,マザーズ,(株)Ｗｅｌｂｙ,"1,002",+6.48%,+61,"1,091"
2021/08/11,4499,東証JQS,(株)Ｓｐｅｅｅ,"4,100",+8.75%,+330,"4,470"
2021/08/11,5922,東証2部,那須電機鉄工(株),"10,980",+11.13%,"+1,100","11,380"
2021/08/11,6036,東証1部,ＫｅｅＰｅｒ技研(株),"3,745",+22.99%,+700,"3,745"
2021/08/11,6193,マザーズ,バーチャレクス・ホールディングス(株),775,+14.81%,+100,775
2021/08/11,7043,マザーズ,アルー(株),"1,093",+15.91%,+150,"1,093"
2021/08/11,7081,東証JQS,コーユーレンティア(株),"1,456",+25.95%,+300,"1,456"
2021/08/11,9272,マザーズ,ブティックス(株),"2,098",+23.56%,+400,"2,098"
