日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/06,3903,東証1部,(株)ｇｕｍｉ,"1,025",+17.14%,+150,"1,025"
2021/09/06,4056,マザーズ,ニューラルポケット(株),"3,250",+10.81%,+317,"3,435"
2021/09/06,4398,東証JQS,(株)ブロードバンドセキュリティ,"1,730",+20.98%,+300,"1,730"
2021/09/06,4918,東証JQS,(株)アイビー化粧品,866,-3.99%,-36,"1,052"
2021/09/06,6198,マザーズ,(株)キャリア,654,+18.05%,+100,654
2021/09/06,6335,東証1部,(株)東京機械製作所,"1,958",+25.67%,+400,"1,958"
2021/09/06,7317,マザーズ,(株)松屋アールアンドディ,"4,375",+19.05%,+700,"4,375"
2021/09/06,7850,東証JQS,総合商研(株),870,+20.83%,+150,870
2021/09/06,7886,東証JQS,ヤマト・インダストリー(株),703,+1.59%,+11,792
2021/09/06,9271,マザーズ,(株)和心,478,+20.10%,+80,478
2021/09/06,9919,東証1部,(株)関西スーパーマーケット,"1,734",+26.20%,+360,"1,734"
