日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/09,2195,東証JQG,アミタホールディングス(株),"10,150",+17.34%,"+1,500","10,150"
2021/12/09,2778,東証2部,パレモ・ホールディングス(株),222,+29.07%,+50,222
2021/12/09,3083,東証JQS,(株)シーズメン,"1,801",+7.84%,+131,"2,070"
2021/12/09,3111,東証2部,オーミケンシ(株),335,+16.32%,+47,368
2021/12/09,3845,東証JQS,(株)アイフリークモバイル,197,+34.01%,+50,197
2021/12/09,3997,東証JQS,(株)トレードワークス,"1,085",+16.04%,+150,"1,085"
2021/12/09,4412,マザーズ,(株)サイエンスアーツ,"15,130",+24.73%,"+3,000","15,130"
2021/12/09,4413,マザーズ,(株)ボードルア,"2,201",+14.28%,+275,"2,326"
2021/12/09,6522,マザーズ,(株)アスタリスク,"3,320",+17.73%,+500,"3,320"
2021/12/09,7375,マザーズ,(株)リファインバースグループ,"1,917",+16.04%,+265,"2,052"
2021/12/09,7486,東証JQS,サンリン(株),717,+1.27%,+9,858
2021/12/09,8040,東証2部,(株)東京ソワール,"1,132",+1.52%,+17,"1,415"
2021/12/09,9271,マザーズ,(株)和心,408,+3.55%,+14,474
