日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/15,1448,東証1部,(株)スペースバリューホールディングス,"1,115",+15.54%,+150,"1,115"
2021/11/15,2991,東証JQS,(株)ランドネット,"5,500",+7.21%,+370,"6,130"
2021/11/15,3185,マザーズ,夢展望(株),383,+26.40%,+80,383
2021/11/15,3359,マザーズ,(株)ｃｏｔｔａ,623,+19.12%,+100,623
2021/11/15,3374,東証JQS,内外テック(株),"3,490",+16.88%,+504,"3,490"
2021/11/15,3496,マザーズ,(株)アズーム,"7,490",+14.88%,+970,"7,520"
2021/11/15,3498,マザーズ,霞ヶ関キャピタル(株),"4,955",+16.45%,+700,"4,955"
2021/11/15,3655,東証1部,(株)ブレインパッド,"6,980",+16.72%,"+1,000","6,980"
2021/11/15,3661,東証1部,(株)エムアップホールディングス,"4,785",+17.14%,+700,"4,785"
2021/11/15,3675,東証1部,(株)クロス・マーケティンググループ,"1,130",+15.31%,+150,"1,130"
2021/11/15,3680,マザーズ,(株)ホットリンク,682,+17.18%,+100,682
2021/11/15,3691,マザーズ,(株)リアルワールド,675,+7.48%,+47,728
2021/11/15,3925,東証1部,(株)ダブルスタンダード,"4,280",+19.55%,+700,"4,280"
2021/11/15,3928,東証1部,(株)マイネット,713,+16.31%,+100,713
2021/11/15,3936,マザーズ,(株)グローバルウェイ,"1,941",+25.96%,+400,"1,941"
2021/11/15,3993,マザーズ,(株)ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,"2,179",+22.48%,+400,"2,179"
2021/11/15,4068,マザーズ,ベイシス(株),"8,650",+19.31%,"+1,400","8,750"
2021/11/15,4169,マザーズ,ＥＮＥＣＨＡＮＧＥ(株),"6,420",+18.45%,"+1,000","6,420"
2021/11/15,4251,東証1部,恵和(株),"6,060",+19.53%,+990,"6,070"
2021/11/15,4371,マザーズ,(株)コアコンセプト・テクノロジー,"6,430",+18.42%,"+1,000","6,430"
2021/11/15,4393,マザーズ,(株)バンク・オブ・イノベーション,"1,904",+26.60%,+400,"1,904"
2021/11/15,4582,東証JQG,シンバイオ製薬(株),"1,347",+28.65%,+300,"1,347"
2021/11/15,6030,マザーズ,(株)アドベンチャー,"10,500",+16.67%,"+1,500","10,500"
2021/11/15,6034,マザーズ,ＭＲＴ(株),"1,851",+8.88%,+151,"2,100"
2021/11/15,6081,マザーズ,アライドアーキテクツ(株),879,+20.58%,+150,879
2021/11/15,6092,マザーズ,(株)エンバイオ・ホールディングス,977,+18.14%,+150,977
2021/11/15,6166,マザーズ,(株)中村超硬,703,+16.58%,+100,703
2021/11/15,6480,東証1部,日本トムソン(株),721,+16.10%,+100,721
2021/11/15,6554,マザーズ,(株)エスユーエス,746,+15.48%,+100,746
2021/11/15,6613,マザーズ,(株)ＱＤレーザ,"1,064",+16.41%,+150,"1,064"
2021/11/15,7047,マザーズ,ポート(株),"1,066",+16.38%,+150,"1,066"
2021/11/15,7353,マザーズ,ＫＩＹＯラーニング(株),"1,567",+23.68%,+300,"1,567"
2021/11/15,7758,東証2部,(株)セコニック,"1,335",+28.99%,+300,"1,335"
2021/11/15,7803,マザーズ,(株)ブシロード,"1,990",+25.16%,+400,"1,990"
2021/11/15,7809,東証JQS,(株)壽屋,"3,895",+21.91%,+700,"3,895"
2021/11/15,7816,東証1部,(株)スノーピーク,"7,110",+16.37%,"+1,000","7,110"
2021/11/15,8147,東証JQS,(株)トミタ,"1,136",+8.71%,+91,"1,345"
2021/11/15,8226,東証2部,(株)理経,433,+25.87%,+89,433
2021/11/15,9625,東証JQS,(株)セレスポ,"1,030",+17.05%,+150,"1,030"
