日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/08/19,2459,東証2部,アウンコンサルティング(株),284,+39.22%,+80,284
2021/08/19,3190,東証JQS,(株)ホットマン,645,-3.44%,-23,768
2021/08/19,3376,東証1部,(株)オンリー,656,+17.99%,+100,656
2021/08/19,3409,東証2部,北日本紡績(株),237,+20.30%,+40,247
2021/08/19,3935,マザーズ,(株)エディア,412,0.00%,---,492
2021/08/19,3936,マザーズ,(株)グローバルウェイ,"4,805",+17.05%,+700,"4,805"
2021/08/19,4512,東証1部,わかもと製薬(株),401,+24.92%,+80,401
2021/08/19,6190,マザーズ,(株)フェニックスバイオ,757,+15.22%,+100,757
2021/08/19,6391,東証2部,(株)加地テック,"5,080",+10.08%,+465,"5,320"
2021/08/19,7072,マザーズ,(株)インティメート・マージャー,"1,390",+27.52%,+300,"1,390"
2021/08/19,9073,東証JQS,京極運輸商事(株),"1,404",+27.17%,+300,"1,404"
