日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2022/01/04,1439,東証JQS,(株)安江工務店,"1,124",+15.40%,+150,"1,124"
2022/01/04,1789,東証JQS,(株)ＥＴＳホールディングス,865,+20.98%,+150,865
2022/01/04,3189,東証JQS,(株)ＡＮＡＰ,442,+22.10%,+80,442
2022/01/04,4667,東証JQS,アイサンテクノロジー(株),"2,055",+24.02%,+398,"2,057"
2022/01/04,4888,マザーズ,ステラファーマ(株),"1,047",+13.80%,+127,"1,070"
2022/01/04,5704,マザーズ,(株)ＪＭＣ,549,+17.06%,+80,549
2022/01/04,5817,東証2部,ＪＭＡＣＳ(株),544,+17.24%,+80,544
2022/01/04,5922,東証2部,那須電機鉄工(株),"11,070",+15.67%,"+1,500","11,070"
2022/01/04,6265,東証JQS,コンバム(株),"2,586",+15.45%,+346,"2,740"
2022/01/04,7254,東証2部,(株)ユニバンス,"1,088",+15.99%,+150,"1,088"
2022/01/04,7369,マザーズ,(株)メイホーホールディングス,"1,514",+24.71%,+300,"1,514"
