日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/10/07,3498,マザーズ,霞ヶ関キャピタル(株),"2,919",+20.67%,+500,"2,919"
2021/10/07,3927,マザーズ,(株)フーバーブレイン,882,+20.49%,+150,882
2021/10/07,4374,マザーズ,(株)ＲＯＢＯＴ　ＰＡＹＭＥＮＴ,"3,085",+7.87%,+225,"3,360"
2021/10/07,4995,福証,サンケイ化学(株),"1,482",+25.38%,+300,"1,482"
2021/10/07,5279,東証JQS,日本興業(株),895,+20.13%,+150,895
2021/10/07,6186,東証1部,(株)一蔵,579,+16.03%,+80,579
2021/10/07,6292,東証1部,(株)カワタ,"1,353",+28.49%,+300,"1,353"
2021/10/07,6549,東証JQS,ディーエムソリューションズ(株),"1,605",+22.99%,+300,"1,605"
2021/10/07,7021,東証2部,(株)ニッチツ,"3,320",+17.73%,+500,"3,320"
2021/10/07,7585,東証JQS,(株)かんなん丸,892,+20.22%,+150,892
