日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/19,1852,東証1部,(株)淺沼組,"5,570",+12.98%,+640,"5,630"
2021/11/19,2164,東証JQG,(株)地域新聞社,533,+17.66%,+80,533
2021/11/19,3135,東証1部,(株)マーケットエンタープライズ,866,+20.95%,+150,866
2021/11/19,3185,マザーズ,夢展望(株),497,+19.18%,+80,497
2021/11/19,3691,マザーズ,(株)リアルワールド,"1,047",+16.72%,+150,"1,047"
2021/11/19,3842,東証JQG,(株)ネクストジェン,"1,050",+5.32%,+53,"1,147"
2021/11/19,3936,マザーズ,(株)グローバルウェイ,"2,860",-10.06%,-320,"3,880"
2021/11/19,4011,マザーズ,(株)ヘッドウォータース,"7,020",+16.61%,"+1,000","7,020"
2021/11/19,4371,マザーズ,(株)コアコンセプト・テクノロジー,"10,410",+16.84%,"+1,500","10,410"
2021/11/19,4425,マザーズ,Ｋｕｄａｎ(株),"3,925",+5.23%,+195,"4,430"
2021/11/19,6195,マザーズ,(株)ホープ,321,+33.20%,+80,321
2021/11/19,6205,東証1部,ＯＫＫ(株),544,+17.24%,+80,544
2021/11/19,6522,マザーズ,(株)アスタリスク,"21,050",+23.46%,"+4,000","21,050"
2021/11/19,6658,東証JQS,シライ電子工業(株),491,+19.46%,+80,491
2021/11/19,7042,東証JQS,(株)アクセスグループ・ホールディングス,"1,015",+17.34%,+150,"1,015"
2021/11/19,7043,マザーズ,アルー(株),"1,101",+14.09%,+136,"1,115"
2021/11/19,7809,東証JQS,(株)壽屋,"6,410",+18.48%,"+1,000","6,410"
2021/11/19,8040,東証2部,(株)東京ソワール,912,+19.69%,+150,912
2021/11/19,9250,マザーズ,(株)ＧＲＣＳ,"7,400",+15.63%,"+1,000","7,400"
