日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/08,2195,東証JQG,アミタホールディングス(株),"8,650",+20.98%,"+1,500","8,650"
2021/12/08,2983,マザーズ,(株)アールプランナー,"10,620",+16.45%,"+1,500","10,620"
2021/12/08,3727,マザーズ,(株)アプリックス,170,+25.93%,+35,185
2021/12/08,3999,マザーズ,ナレッジスイート(株),825,+5.23%,+41,934
2021/12/08,4377,マザーズ,(株)ワンキャリア,"2,960",+20.33%,+500,"2,960"
2021/12/08,4412,マザーズ,(株)サイエンスアーツ,"12,130",+14.22%,"+1,510","13,620"
2021/12/08,4445,マザーズ,リビン・テクノロジーズ(株),"5,220",+15.49%,+700,"5,220"
2021/12/08,4598,マザーズ,Ｄｅｌｔａ−Ｆｌｙ　Ｐｈａｒｍａ(株),"1,513",+18.39%,+235,"1,578"
2021/12/08,7036,マザーズ,(株)イーエムネットジャパン,"4,625",+17.83%,+700,"4,625"
2021/12/08,8040,東証2部,(株)東京ソワール,"1,115",+15.54%,+150,"1,115"
