日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/11,1719,東証1部,安藤ハザマ,892,+20.22%,+150,892
2021/11/11,3770,東証1部,(株)ザッパラス,526,-2.77%,-15,641
2021/11/11,4053,マザーズ,(株)Ｓｕｎ　Ａｓｔｅｒｉｓｋ,"2,908",+20.76%,+500,"2,908"
2021/11/11,4074,マザーズ,(株)ラキール,"2,203",+22.19%,+400,"2,203"
2021/11/11,4323,東証1部,日本システム技術(株),"2,717",+22.55%,+500,"2,717"
2021/11/11,4837,東証JQS,シダックス(株),554,+16.88%,+80,554
2021/11/11,5945,東証JQS,天龍製鋸(株),"3,410",+17.18%,+500,"3,410"
2021/11/11,5952,東証2部,アマテイ(株),190,+22.58%,+35,205
2021/11/11,6149,東証JQS,(株)小田原エンジニアリング,"2,869",+18.75%,+453,"2,916"
2021/11/11,6193,マザーズ,バーチャレクス・ホールディングス(株),"1,101",+15.77%,+150,"1,101"
2021/11/11,6391,東証2部,(株)加地テック,"4,610",+6.84%,+295,"5,020"
2021/11/11,7069,マザーズ,(株)サイバー・バズ,"1,776",+20.33%,+300,"1,776"
2021/11/11,7862,東証1部,トッパン・フォームズ(株),"1,322",+29.35%,+300,"1,322"
2021/11/11,8123,東証JQS,川辺(株),"1,080",+16.13%,+150,"1,080"
