日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/18,2385,マザーズ,(株)総医研ホールディングス,384,+25.08%,+77,387
2021/11/18,2479,東証JQG,(株)ジェイテック,238,+26.60%,+50,238
2021/11/18,3680,マザーズ,(株)ホットリンク,921,+13.84%,+112,959
2021/11/18,3691,マザーズ,(株)リアルワールド,897,+20.08%,+150,897
2021/11/18,3814,東証JQG,(株)アルファクス・フード・システム,808,+6.32%,+48,910
2021/11/18,3936,マザーズ,(株)グローバルウェイ,"3,180",+18.75%,+502,"3,180"
2021/11/18,3997,東証JQS,(株)トレードワークス,"1,337",+28.93%,+300,"1,337"
2021/11/18,4447,福岡Q,(株)ピー・ビーシステムズ,860,+21.13%,+150,860
2021/11/18,6205,東証1部,ＯＫＫ(株),464,+20.83%,+80,464
2021/11/18,6554,マザーズ,(株)エスユーエス,"1,346",+28.68%,+300,"1,346"
2021/11/18,6875,東証1部,(株)メガチップス,"4,910",+16.63%,+700,"4,910"
2021/11/18,7042,東証JQS,(株)アクセスグループ・ホールディングス,865,+5.62%,+46,969
2021/11/18,7781,東証JQS,(株)平山ホールディングス,"1,501",+5.48%,+78,"1,723"
