日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/15,2397,東証2部,(株)ＤＮＡチップ研究所,461,+5.25%,+23,518
2021/12/15,3042,東証JQG,(株)セキュアヴェイル,334,+25.09%,+67,347
2021/12/15,4412,マザーズ,(株)サイエンスアーツ,"10,980",+13.20%,"+1,280","11,200"
2021/12/15,4599,マザーズ,(株)ステムリム,669,+17.57%,+100,669
2021/12/15,4884,マザーズ,クリングルファーマ(株),632,+3.61%,+22,710
2021/12/15,4934,マザーズ,プレミアアンチエイジング(株),"11,370",+15.20%,"+1,500","11,370"
2021/12/15,5759,マザーズ,日本電解(株),"4,295",+6.58%,+265,"4,730"
2021/12/15,6907,東証JQS,ジオマテック(株),719,+16.16%,+100,719
2021/12/15,7378,マザーズ,(株)アシロ,708,+16.45%,+100,708
2021/12/15,7946,東証2部,(株)光陽社,"1,943",+25.92%,+400,"1,943"
2021/12/15,9327,東証JQS,(株)イー・ロジット,753,+5.91%,+42,861
2021/12/15,9360,東証2部,鈴与シンワート(株),"1,546",+24.08%,+300,"1,546"
