日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/10/11,1543,東証ETF,純パラジウム上場信託(現物国内保管型),"76,400",+13.35%,"+9,000","77,400"
2021/10/11,2408,東証JQS,(株)ＫＧ情報,371,+3.92%,+14,437
2021/10/11,4673,東証JQS,川崎地質(株),"4,940",+16.51%,+700,"4,940"
2021/10/11,4735,東証2部,(株)京進,644,+4.72%,+29,715
2021/10/11,6173,マザーズ,(株)アクアライン,736,+15.72%,+100,736
2021/10/11,6335,東証1部,(株)東京機械製作所,"2,018",+24.72%,+400,"2,018"
2021/10/11,6555,東証1部,(株)ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,712,+16.34%,+100,712
2021/10/11,7072,マザーズ,(株)インティメート・マージャー,"2,348",+11.23%,+237,"2,611"
2021/10/11,7477,東証JQS,ムラキ(株),"1,695",-1.63%,-28,"2,123"
2021/10/11,7777,東証JQG,(株)スリー・ディー・マトリックス,382,+26.49%,+80,382
2021/10/11,9246,マザーズ,(株)プロジェクトカンパニー,"5,310",+15.31%,+705,"5,310"
