日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/11/17,2158,マザーズ,(株)ＦＲＯＮＴＥＯ,"4,145",+20.32%,+700,"4,145"
2021/11/17,3185,マザーズ,夢展望(株),496,+7.13%,+33,543
2021/11/17,3691,マザーズ,(株)リアルワールド,747,+15.46%,+100,747
2021/11/17,3936,マザーズ,(株)グローバルウェイ,"2,678",+22.96%,+500,"2,678"
2021/11/17,3997,東証JQS,(株)トレードワークス,"1,037",+16.91%,+150,"1,037"
2021/11/17,4445,マザーズ,リビン・テクノロジーズ(株),"4,400",+18.92%,+700,"4,400"
2021/11/17,4447,福岡Q,(株)ピー・ビーシステムズ,710,+12.34%,+78,732
2021/11/17,4582,東証JQG,シンバイオ製薬(株),"1,701",+21.41%,+300,"1,701"
2021/11/17,6554,マザーズ,(株)エスユーエス,"1,046",+16.74%,+150,"1,046"
2021/11/17,7462,東証JQS,(株)ＣＡＰＩＴＡ,434,+22.60%,+80,434
2021/11/17,7477,東証JQS,ムラキ(株),"1,500",+25.00%,+300,"1,500"
2021/11/17,7623,東証JQS,(株)サンオータス,376,+15.69%,+51,405
2021/11/17,7758,東証2部,(株)セコニック,"3,235",+97.86%,"+1,600","3,235"
2021/11/17,8783,東証JQS,ＧＦＡ(株),165,+43.48%,+50,165
2021/11/17,9246,マザーズ,(株)プロジェクトカンパニー,"6,110",+19.57%,"+1,000","6,110"
