日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/09/01,2345,東証2部,(株)クシム,455,+21.33%,+80,455
2021/09/01,2425,東証JQG,(株)ケアサービス,732,+15.82%,+100,732
2021/09/01,3628,マザーズ,(株)データホライゾン,"5,330",+13.40%,+630,"5,400"
2021/09/01,3807,東証JQG,(株)フィスコ,236,+26.88%,+50,236
2021/09/01,3936,マザーズ,(株)グローバルウェイ,"7,240",+16.03%,"+1,000","7,240"
2021/09/01,4011,マザーズ,(株)ヘッドウォータース,"7,860",+14.58%,"+1,000","7,860"
2021/09/01,4020,マザーズ,ビートレンド(株),"3,570",+17.05%,+520,"3,750"
2021/09/01,6335,東証1部,(株)東京機械製作所,"1,333",+29.04%,+300,"1,333"
2021/09/01,6634,東証JQS,(株)ネクスグループ,216,+28.57%,+48,218
2021/09/01,6898,東証JQS,トミタ電機(株),"1,762",+20.52%,+300,"1,762"
2021/09/01,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"1,137",+4.03%,+44,"1,393"
2021/09/01,7091,マザーズ,(株)リビングプラットフォーム,"5,490",+14.73%,+705,"5,490"
2021/09/01,8103,東証1部,明和産業(株),547,+17.13%,+80,547
