日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/27,1737,東証2部,三井金属エンジニアリング(株),"1,064",+16.41%,+150,"1,064"
2021/12/27,3321,名証1部,ミタチ産業(株),"1,114",+26.45%,+233,"1,114"
2021/12/27,3321,東証1部,ミタチ産業(株),"1,106",+14.73%,+142,"1,114"
2021/12/27,3803,東証JQG,イメージ情報開発(株),492,+19.42%,+80,492
2021/12/27,4260,マザーズ,(株)ハイブリッドテクノロジーズ,939,+19.01%,+150,939
2021/12/27,6029,東証1部,アトラグループ(株),333,+16.03%,+46,367
2021/12/27,6166,マザーズ,(株)中村超硬,511,+5.80%,+28,563
2021/12/27,6522,マザーズ,(株)アスタリスク,"3,010",+19.92%,+500,"3,010"
2021/12/27,6768,東証1部,(株)タムラ製作所,738,+15.67%,+100,738
2021/12/27,9212,マザーズ,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ(株),"1,735",+18.84%,+275,"1,760"
2021/12/27,9941,東証JQS,太洋物産(株),"1,016",+5.94%,+57,"1,109"
