日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/12/14,1724,東証JQS,シンクレイヤ(株),"1,032",+17.01%,+150,"1,032"
2021/12/14,3042,東証JQG,(株)セキュアヴェイル,267,+6.37%,+16,331
2021/12/14,4336,東証JQS,(株)クリエアナブキ,887,+20.35%,+150,887
2021/12/14,4414,マザーズ,(株)フレクト,"6,930",-11.27%,-880,"9,310"
2021/12/14,4599,マザーズ,(株)ステムリム,569,+16.36%,+80,569
2021/12/14,4761,東証2部,(株)さくらケーシーエス,914,-3.79%,-36,"1,130"
2021/12/14,6400,東証JQS,不二精機(株),542,+4.63%,+24,618
2021/12/14,6635,東証JQS,(株)大日光・エンジニアリング,496,+5.31%,+25,551
2021/12/14,7036,マザーズ,(株)イーエムネットジャパン,"5,160",+15.70%,+700,"5,160"
2021/12/14,7063,マザーズ,(株)Ｂｉｒｄｍａｎ,"2,163",+22.69%,+400,"2,163"
2021/12/14,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"1,711",+15.76%,+233,"1,778"
2021/12/14,8040,東証2部,(株)東京ソワール,"1,380",+27.78%,+300,"1,380"
