日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/06/22,1,7946,光陽社,東２,,S,+300,+28.85%,"8,900",－,0.67,－
2021/06/22,2,7370,Ｅｎｊｉｎ,東Ｍ,,S,+500,+22.78%,"8,418,400",58.2,17.47,－
2021/06/22,3,6993,大黒屋,東２,,,+14,+19.72%,"40,263,400",20.5,8.51,－
2021/06/22,4,9115,明治海,東１,,S,+80,+18.31%,"1,446,400",21.7,0.91,－
2021/06/22,5,6846,中央製,名２,,,+201,+17.34%,"3,400",17.5,0.46,1.47
2021/06/22,6,6628,オンキヨーＨ,ＪＱ,,,+1,+16.67%,"2,079,900",－,－,－
2021/06/22,7,4884,クリングル,東Ｍ,,S,+150,+15.02%,"272,000",－,1.90,－
2021/06/22,8,2428,ウェルネット,東１,,,+69,+13.94%,"2,228,800",－,1.50,－
2021/06/22,9,2370,メディネット,東Ｍ,,,+13,+12.75%,"87,184,500",－,3.83,－
2021/06/22,10,7187,ジェイリース,東１,,,+138,+11.31%,"902,900",17.2,9.96,1.47
2021/06/22,11,9101,郵船,東１,,,+530,+10.31%,"6,653,900",6.8,1.53,3.53
2021/06/22,12,9104,商船三井,東１,,,+490,+10.19%,"4,630,600",3.0,1.10,2.83
2021/06/22,13,9107,川崎汽,東１,,,+355,+10.16%,"3,705,900",1.9,1.65,－
2021/06/22,14,8769,アドバンＲＭ,東１,,,+104,+9.52%,"264,900",35.7,5.58,0.92
2021/06/22,15,4390,アイピーエス,東１,,,+237,+9.16%,"248,100",21.2,6.59,0.35
2021/06/22,16,4425,Ｋｕｄａｎ,東Ｍ,,,+330,+8.87%,"357,000",－,21.55,－
2021/06/22,17,7190,マーキュリア,東１,,,+64,+8.80%,"335,200",13.3,1.09,2.53
2021/06/22,18,7058,共栄セキュリ,ＪＱ,,,+265,+8.69%,"17,600",14.5,1.29,2.41
2021/06/22,19,4486,ユナイト,東Ｍ,,,+141,+8.65%,"82,000",37.6,3.79,0.45
2021/06/22,20,4958,長谷川香料,東１,,,+190,+8.55%,"284,100",18.5,1.03,1.82
2021/06/22,21,8256,プロルート,ＪＱ,,,+18,+8.53%,"2,794,500",65.1,6.75,－
2021/06/22,22,7157,ライフネット,東Ｍ,,,+96,+8.46%,"145,000",－,4.72,－
2021/06/22,23,4875,メディシノバ,ＪＱ,,,+35,+8.33%,"137,700",－,－,－
2021/06/22,24,6768,タムラ,東１,,,+77,+8.06%,"57,056,300",38.5,1.77,0.97
2021/06/22,25,9303,住友倉,東１,,,+118,+8.01%,"402,600",12.8,0.69,3.14
2021/06/22,26,9704,アゴーラＨＧ,東１,,,+2,+8.00%,"187,200",－,1.14,－
2021/06/22,27,4054,日本情報Ｃ,東Ｍ,,,+140,+7.96%,"88,300",63.4,9.34,0.26
2021/06/22,28,6036,ＫｅｅＰｅｒ,東１,,,+210,+7.96%,"335,500",37.7,10.83,0.63
2021/06/22,29,7760,ＩＭＶ,ＪＱ,,,+55,+7.93%,"792,100",18.8,1.66,1.13
2021/06/22,30,1827,ナカノフドー,東１,,,+30,+7.87%,"31,700",6.7,0.39,3.41
2021/06/22,31,6420,フクシマガリ,東１,,,+350,+7.84%,"53,000",15.0,1.49,1.10
2021/06/22,32,9641,サコス,ＪＱ,,,+28,+7.82%,"240,000",16.1,1.51,1.81
2021/06/22,33,6409,キトー,東１,,,+123,+7.79%,"55,500",10.9,1.18,2.59
2021/06/22,34,4193,ファブリカ,ＪＱ,,,+640,+7.66%,"193,500",35.3,25.09,0.56
2021/06/22,35,9110,ユナイテド海,東１,,,+170,+7.66%,"204,100",7.0,0.58,－
2021/06/22,36,3645,メディカルＮ,東Ｍ,,,+43,+7.65%,"464,000",－,4.19,0.66
2021/06/22,37,7965,象印,東１,,,+123,+7.61%,"559,800",26.7,1.58,1.72
2021/06/22,38,6619,ＷＳＣＯＰＥ,東１,,,+45,+7.60%,"1,387,000",34.7,3.28,－
2021/06/22,39,9119,飯野海,東１,,,+32,+7.55%,"616,700",8.0,0.61,3.73
2021/06/22,40,9973,小僧寿し,ＪＱ,,,+4,+7.55%,"10,608,200",55.3,22.62,－
2021/06/22,41,9364,上組,東１,,,+159,+7.41%,"407,100",14.5,0.76,2.34
2021/06/22,42,7269,スズキ,東１,,,+320,+7.37%,"2,744,100",－,1.34,－
2021/06/22,43,8746,第一商品,ＪＱ,,,+16,+7.37%,"937,700",－,0.82,－
2021/06/22,44,7864,フジシール,東１,,,+163,+7.33%,"204,500",14.7,1.27,1.47
2021/06/22,45,6614,シキノＨＴ,ＪＱ,,,+260,+7.27%,"854,200",98.9,13.55,－
2021/06/22,46,7958,天馬,東１,,,+175,+7.25%,"53,200",21.2,0.82,3.09
2021/06/22,47,5357,ヨータイ,東１,,,+91,+7.23%,"161,500",13.2,1.00,2.37
2021/06/22,48,4883,モダリス,東Ｍ,,,+102,+7.20%,"206,000",－,6.80,－
2021/06/22,49,3371,ソフトクリエ,東１,,,+155,+7.16%,"79,300",15.4,2.42,1.29
2021/06/22,50,3445,ＲＳテクノ,東１,,,+420,+7.02%,"82,400",26.7,3.48,0.31
2021/06/22,51,6118,アイダ,東１,,,+59,+6.99%,"196,400",18.0,0.70,2.77
2021/06/22,52,4598,デルタフライ,東Ｍ,,,+121,+6.98%,"129,400",－,4.84,－
2021/06/22,53,6298,ワイエイシイ,東１,,,+78,+6.97%,"391,700",13.6,0.77,2.01
2021/06/22,54,9075,福山運,東１,,,+280,+6.94%,"109,200",13.5,0.78,1.16
2021/06/22,55,7868,広済堂,東１,,,+51,+6.92%,"421,400",11.5,0.62,－
2021/06/22,56,8040,東ソワール,東２,,,+92,+6.91%,"25,600",－,0.63,－
2021/06/22,57,6328,荏原実業,東１,,,+430,+6.88%,"59,200",16.8,2.21,2.25
2021/06/22,58,8439,東京センチュ,東１,,,+380,+6.87%,"201,600",12.0,1.27,2.42
2021/06/22,59,9715,トランスコス,東１,,,+196,+6.84%,"175,000",－,1.48,－
2021/06/22,60,3985,テモナ,東１,,,+78,+6.77%,"262,800",52.7,10.69,－
2021/06/22,61,3928,マイネット,東１,,,+50,+6.74%,"421,500",10.6,2.52,－
2021/06/22,62,6158,和井田,ＪＱ,,,+96,+6.70%,"63,100",14.0,1.20,1.96
2021/06/22,63,6254,野村マイクロ,東１,,,+240,+6.61%,"268,700",14.1,2.71,1.68
2021/06/22,64,6538,キャリインデ,東１,,,+59,+6.52%,"728,100",53.7,6.71,0.26
2021/06/22,65,4931,新日本製薬,東１,,,+134,+6.48%,"94,800",20.7,3.13,1.48
2021/06/22,66,7313,ＴＳテック,東１,,,+101,+6.47%,"516,600",9.7,0.80,3.25
2021/06/22,67,7354,Ｄｍミックス,東１,,,+245,+6.46%,"97,900",33.1,9.37,0.25
2021/06/22,68,6869,シスメックス,東１,,,+750,+6.44%,"545,300",64.8,8.42,0.60
2021/06/22,69,6676,メルコ,東１,,,+330,+6.41%,"72,300",12.1,1.67,1.46
2021/06/22,70,8614,東洋,東１,,,+10,+6.33%,"257,100",－,0.34,－
2021/06/22,71,1579,日経ブル２,東Ｅ,,,"+1,000",+6.30%,"1,324,130",－,－,－
2021/06/22,72,6501,日立,東１,,,+371,+6.30%,"4,926,700",11.0,1.72,－
2021/06/22,73,1367,大和ＴＰレバ,東Ｅ,,,"+1,110",+6.29%,"23,516",－,－,－
2021/06/22,74,1458,楽天Ｗブル,東Ｅ,,,"+1,090",+6.27%,"952,077",－,－,－
2021/06/22,75,6172,メタップス,東Ｍ,,,+72,+6.26%,"155,500",－,2.76,－
2021/06/22,76,9039,サカイ引越,東１,,,+340,+6.20%,"40,200",15.0,1.66,1.55
2021/06/22,77,1568,ＴＰＸブル,東Ｅ,,,"+1,410",+6.19%,"198,280",－,－,－
2021/06/22,78,1570,日経レバ,東Ｅ,,,+920,+6.19%,"8,756,209",－,－,－
2021/06/22,79,1365,大和日経レバ,東Ｅ,,,"+1,410",+6.16%,"73,022",－,－,－
2021/06/22,80,1925,大和ハウス,東１,,,+193.0,+6.15%,"2,241,500",10.1,1.19,3.78
2021/06/22,81,1358,日経２倍,東Ｅ,,,"+1,700",+6.14%,"39,369",－,－,－
2021/06/22,82,2453,ＪＢＲ,東１,,,+49,+6.12%,"202,700",23.9,3.30,1.88
2021/06/22,83,4490,ビザスク,東Ｍ,,,+215,+6.11%,"35,000",219,32.36,－
2021/06/22,84,6058,ベクトル,東１,,,+55,+6.10%,"462,100",45.6,3.85,0.42
2021/06/22,85,2477,手間いらず,東１,,,+370,+6.06%,"44,100",54.0,9.75,0.42
2021/06/22,86,9519,レノバ,東１,,,+235,+6.06%,"1,803,700",62.8,20.99,－
2021/06/22,87,1928,積水ハウス,東１,,,+130.5,+6.04%,"2,842,800",11.5,1.13,3.76
2021/06/22,88,4519,中外薬,東１,,,+249,+6.04%,"3,065,300",－,7.31,1.37
2021/06/22,89,1464,大和４百レバ,東Ｅ,,,+850,+6.03%,731,－,－,－
2021/06/22,90,4975,ＪＣＵ,東１,,,+205,+5.98%,"41,800",18.0,3.45,1.49
2021/06/22,91,6580,ライトアップ,東Ｍ,,,+171,+5.98%,"138,100",31.1,7.72,－
2021/06/22,92,3984,ユーザーロカ,東１,,,+255,+5.96%,"58,900",65.9,8.10,0.11
2021/06/22,93,4171,グローバルＩ,ＪＱ,,,+111,+5.96%,"34,600",17.6,3.45,1.22
2021/06/22,94,4175,コリー,東Ｍ,,,+260,+5.96%,"55,000",18.5,4.14,－
2021/06/22,95,8622,水戸,東１,,,+17,+5.96%,"285,000",－,0.49,－
2021/06/22,96,4095,パーカライ,東１,,,+63,+5.94%,"203,800",12.2,0.87,2.32
2021/06/22,97,9842,アークランド,東１,,,+84,+5.93%,"1,155,200",3.5,0.73,2.00
2021/06/22,98,9824,泉州電,東１,,,+205,+5.92%,"9,200",11.7,0.82,2.18
2021/06/22,99,9171,栗林船,東２,,,+22,+5.90%,"20,000",25.0,0.26,1.52
2021/06/22,100,3777,ＦＨＴＨＤ,ＪＧ,,,+1,+5.88%,"1,292,700",－,7.35,－
2021/06/22,101,7846,パイロット,東１,,,+210,+5.87%,"81,700",14.2,1.67,1.58
2021/06/22,102,8242,Ｈ２Ｏリテイ,東１,,,+52,+5.84%,"684,600",－,0.51,－
2021/06/22,103,9009,京成,東１,,,+205,+5.83%,"506,300",－,1.66,－
2021/06/22,104,6031,サイジニア,東Ｍ,,,+136,+5.82%,"10,000",－,20.63,－
2021/06/22,105,6104,芝浦機,東１,,,+141,+5.81%,"256,700",62.0,0.76,2.92
