日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/09/27,1,6192,ＨｙＡＳ＆Ｃ,東Ｍ,,,+63,+27.75%,"20,159,600",－,5.30,－
2021/09/27,2,8260,井筒屋,東１,,S,+80,+26.32%,"3,578,900",22.0,0.52,－
2021/09/27,3,3841,ジーダット,ＪＱ,,S,+300,+25.62%,"2,200",25.2,0.94,1.36
2021/09/27,4,7021,ニッチツ,東２,,S,+400,+21.39%,"95,300",36.1,0.43,1.32
2021/09/27,5,7677,ヤシマキザイ,東２,,S,+500,+21.19%,"8,500",81.4,0.90,0.87
2021/09/27,6,5820,三ッ星,ＪＱ,,S,+503,+19.63%,"41,800",14.0,0.59,1.63
2021/09/27,7,3578,倉庫精,東２,,,+82,+18.85%,"52,800",－,0.89,2.32
2021/09/27,8,4333,東邦システム,東１,,,+195,+18.36%,"376,000",18.1,2.02,2.39
2021/09/27,9,6561,ハナツアーＪ,東Ｍ,,,+133,+15.32%,"421,800",－,17.11,－
2021/09/27,10,5331,ノリタケ,東１,,,+675,+14.47%,"300,500",9.1,0.69,2.62
2021/09/27,11,4373,シンプレクス,東１,,,+280,+14.29%,"11,639,600",28.8,3.32,1.03
2021/09/27,12,1783,アジアＧＨＤ,ＪＱ,,,+9,+13.85%,"7,436,400",435,1.25,－
2021/09/27,13,7608,ＳＫジャパン,東１,,,+61,+12.35%,"540,700",18.2,1.30,1.44
2021/09/27,14,4888,ステラファ,東Ｍ,,,+65,+11.97%,"1,637,700",－,4.83,－
2021/09/27,15,5284,ヤマウＨＤ,ＪＱ,,,+79,+11.70%,"383,700",5.3,0.67,2.92
2021/09/27,16,7715,長野計器,東１,,,+125,+10.67%,"1,120,500",10.6,0.97,1.70
2021/09/27,17,5699,イボキン,ＪＱ,,,+530,+10.35%,"147,400",20.6,2.79,0.71
2021/09/27,18,7604,梅の花,東２,,,+114,+10.27%,"80,100",－,3.61,－
2021/09/27,19,4487,スペースマ,東Ｍ,,,+95,+10.05%,"101,700",－,15.68,－
2021/09/27,20,7807,幸和製,ＪＱ,,,+122,+9.94%,"66,800",33.2,4.34,0.89
2021/09/27,21,8254,さいか屋,東２,,,+40,+9.88%,"1,314,900",－,2.68,－
2021/09/27,22,4178,Ｓイノベ,東Ｍ,,,+300,+9.60%,"60,600",46.7,9.50,－
2021/09/27,23,4449,ギフティ,東１,,,+360,+9.60%,"727,800",158,21.99,－
2021/09/27,24,7074,２４セブン,東Ｍ,,,+91,+9.55%,"180,800",－,2.26,－
2021/09/27,25,9726,ＫＮＴＣＴ,東１,,,+143,+9.50%,"411,100",－,1.88,－
2021/09/27,26,4331,Ｔ＆Ｇニーズ,東１,,,+98,+9.30%,"348,200",299,1.43,－
2021/09/27,27,8508,Ｊトラスト,東２,,,+40,+9.07%,"1,906,100",25.5,0.52,0.21
2021/09/27,28,2424,ブラス,東１,,,+62,+8.84%,"187,900",－,1.73,－
2021/09/27,29,2196,エスクリ,東１,,,+49,+8.83%,"478,200",27.2,1.36,－
2021/09/27,30,6553,ソウルド,東１,,,+140,+8.62%,"31,700",62.2,5.97,－
2021/09/27,31,6881,キョウデン,東２,,,+36,+8.51%,"610,300",12.0,1.07,3.27
2021/09/27,32,3768,リスモン,東２,,,+83,+8.39%,"156,600",18.7,1.53,1.35
2021/09/27,33,9603,ＨＩＳ,東１,,,+213,+8.32%,"8,263,500",－,3.38,－
2021/09/27,34,4691,ワシントンＨ,東２,,,+56,+7.98%,"96,100",－,1.76,－
2021/09/27,35,5367,ニッカトー,東１,,,+60,+7.94%,"97,800",29.5,0.85,1.23
2021/09/27,36,7687,ミクリード,東Ｍ,,,+86,+7.79%,"41,900",－,2.93,－
2021/09/27,37,6565,ＡＢホテル,ＪＱ,,,+95,+7.39%,"140,500",39.1,3.27,0.22
2021/09/27,38,4295,フェイス,東１,,,+51,+7.26%,"163,800",95.1,0.53,1.33
2021/09/27,39,3550,ＡＴＡＯ,東Ｍ,,,+26,+7.12%,"55,000",－,1.91,1.28
2021/09/27,40,6046,リンクバル,東Ｍ,,,+22,+6.94%,"236,600",－,3.48,－
2021/09/27,41,3695,ＧＭＯ－Ｒ,東Ｍ,,,+155,+6.92%,"17,900",20.6,2.56,2.43
2021/09/27,42,6418,日金銭,東１,,,+46,+6.92%,"537,400",420,0.93,－
2021/09/27,43,4932,アルマード,ＪＱ,,,+52,+6.86%,"533,200",14.7,3.46,－
2021/09/27,44,6837,京写,ＪＱ,,,+32,+6.84%,"890,800",59.7,1.08,1.00
2021/09/27,45,7081,レンティア,ＪＱ,,,+105,+6.80%,"43,000",7.6,1.39,2.12
2021/09/27,46,9885,シャルレ,東２,,,+32,+6.69%,"106,800",29.9,0.45,1.57
2021/09/27,47,7694,いつも,東Ｍ,,,+155,+6.65%,"26,400",36.1,6.52,－
2021/09/27,48,3675,クロスマーケ,東１,,,+57,+6.55%,"1,387,900",16.5,4.54,0.88
2021/09/27,49,3747,インタートレ,東２,,,+42,+6.48%,"609,000",63.5,4.95,－
2021/09/27,50,1724,シンクレイヤ,ＪＱ,,,+74,+6.44%,"217,500",6.2,1.16,1.39
2021/09/27,51,6626,ＳＥＭＴＥＣ,ＪＱ,,,+720,+6.43%,"110,500",16.2,2.72,0.25
2021/09/27,52,6574,コンヴァノ,東Ｍ,,,+47,+6.33%,"63,100",29.8,2.17,－
2021/09/27,53,4173,ＷＡＣＵＬ,東Ｍ,,,+131,+6.29%,"124,500",69.4,24.78,－
2021/09/27,54,8016,オンワード,東１,,,+21,+6.25%,"2,030,300",7.7,0.82,3.36
2021/09/27,55,4051,ＧＭＯ－ＦＧ,東Ｍ,,,"+1,750",+6.15%,"116,500",336,30.28,0.16
2021/09/27,56,7923,トーイン,ＪＱ,,,+32,+6.12%,"6,300",278,0.30,2.70
2021/09/27,57,7031,インバウＴ,東Ｍ,,,+180,+6.04%,"6,400",19.6,1.67,－
2021/09/27,58,9376,ユーラシア,ＪＱ,,,+32,+5.88%,"34,800",－,1.14,－
2021/09/27,59,2404,鉄人化計画,東２,,,+17,+5.86%,"2,564,700",－,87.97,－
2021/09/27,60,3409,北日紡,東２,,,+10,+5.81%,"347,800",606,3.62,－
2021/09/27,61,2157,コシダカＨＤ,東１,,,+35,+5.79%,"1,382,100",－,2.70,0.62
2021/09/27,62,4666,パーク２４,東１,,,+107,+5.77%,"2,889,300",－,19.32,－
2021/09/27,63,9722,藤田観,東１,,,+141,+5.73%,"167,000",－,1.53,－
2021/09/27,64,6030,アドベンチャ,東Ｍ,,,+420,+5.72%,"272,400",47.6,22.67,0.19
2021/09/27,65,3678,メディアドゥ,東１,,,+280,+5.69%,"71,800",51.6,5.27,－
2021/09/27,66,3658,イーブック,東１,,,+235,+5.60%,"115,200",27.7,5.37,－
2021/09/27,67,4337,ぴあ,東１,,,+195,+5.60%,"65,300",－,20.72,－
2021/09/27,68,3370,フジタコーポ,ＪＱ,,,+21,+5.59%,"39,300",190,－,－
2021/09/27,69,2440,ぐるなび,東１,,,+30,+5.56%,"2,250,000",－,3.36,－
2021/09/27,70,6994,指月電,東２,,,+36,+5.55%,"61,500",25.1,0.94,1.17
2021/09/27,71,4387,ＺＵＵ,東Ｍ,,,+106,+5.42%,"66,200",212,7.16,－
2021/09/27,72,3316,東日システム,ＪＱ,,,+29,+5.36%,"6,700",8.9,1.06,3.51
2021/09/27,73,3843,フリービット,東１,,,+63,+5.36%,"354,200",39.9,2.59,－
2021/09/27,74,4425,Ｋｕｄａｎ,東Ｍ,,,+185,+5.33%,"121,400",－,21.21,－
2021/09/27,75,6558,クックビズ,東Ｍ,,,+55,+5.32%,"2,400",－,5.14,－
2021/09/27,76,6721,ウインテスト,東２,,,+14,+5.32%,"382,700",94.2,5.00,－
2021/09/27,77,2378,ルネサンス,東１,,,+63,+5.30%,"390,700",59.1,2.62,0.48
2021/09/27,78,4194,ビジョナル,東Ｍ,,,+390,+5.28%,"335,800",158,12.38,－
2021/09/27,79,9142,ＪＲ九州,東１,,,+131,+5.20%,"2,767,500",32.3,1.10,3.51
2021/09/27,80,2173,博展,ＪＧ,,,+26,+5.16%,"54,200",6.9,3.51,－
2021/09/27,81,8247,大和デ,東２,,,+19,+5.16%,"807,600",43.4,0.70,－
2021/09/27,82,3969,エイトレッド,東１,,,+132,+5.11%,"123,600",33.3,6.47,0.81
2021/09/27,83,4370,モビルス,東Ｍ,,,+85,+5.11%,"218,500",64.9,7.00,－
2021/09/27,84,3498,霞ヶ関Ｃ,東Ｍ,,,+107,+5.10%,"69,700",19.1,3.94,0.91
2021/09/27,85,7048,ベルトラ,東Ｍ,,,+36,+5.08%,"1,933,000",－,17.35,－
2021/09/27,86,2418,ツカダＧＨＤ,東１,,,+18,+5.07%,"777,900",－,0.81,－
2021/09/27,87,7050,Ｆインタ,東Ｍ,,,+160,+5.06%,"56,400",－,2.80,－
2021/09/27,88,7606,Ｕアローズ,東１,,,+104,+5.05%,"339,700",35.3,2.12,0.88
2021/09/27,89,3926,オープンドア,東１,,,+126,+5.04%,"685,400",－,12.94,－
2021/09/27,90,7356,レッティ,東Ｍ,,,+61,+4.92%,"58,200",－,11.75,－
2021/09/27,91,4361,川口化,東２,,,+81,+4.80%,"15,800",8.3,1.00,1.70
2021/09/27,92,9274,国際紙パルプ,東１,,,+19,+4.79%,"2,982,900",7.1,0.67,2.88
2021/09/27,93,1605,ＩＮＰＥＸ,東１,,,+39,+4.77%,"19,487,200",7.4,0.43,4.67
2021/09/27,94,8105,堀田丸正,東２,,,+3,+4.76%,"579,500","1,320",1.14,－
2021/09/27,95,6501,日立,東１,,,+310,+4.75%,"6,306,900",12.0,1.84,－
