日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/12/24,1,2388,ウェッジＨＤ,ＪＧ,,,+28,+26.67%,"25,098,300",－,1.32,－
2021/12/24,2,6031,サイジニア,東Ｍ,,,+347,+20.29%,"186,300",－,4.45,－
2021/12/24,3,7212,エフテック,東１,,S,+100,+19.42%,"618,300",－,0.29,1.63
2021/12/24,4,5358,イソライト,東１,,S,+150,+16.89%,"19,900",11.0,1.49,1.35
2021/12/24,5,6789,ロランドＤＧ,東１,,,+485,+16.01%,"599,700",11.2,1.60,2.84
2021/12/24,6,9399,ビート,東２,,,+6,+15.38%,"1,446,862",－,－,－
2021/12/24,7,4125,三和油化工業,ＪＱ,,S,+700,+14.83%,"635,600",23.3,3.78,0.46
2021/12/24,8,4260,ハイブリッド,東Ｍ,,S,+100,+14.51%,"207,500",50.8,14.86,－
2021/12/24,9,3825,リミックス,東２,,,+39,+13.73%,"12,126,800",17.5,5.73,－
2021/12/24,10,7726,黒田精,東２,,,+308,+12.41%,"244,000",31.7,1.69,0.90
2021/12/24,11,6618,大泉製,東Ｍ,,,+106,+11.47%,"713,500",26.4,3.00,0.78
2021/12/24,12,9685,ＫＹＣＯＭ,ＪＱ,,,+48,+11.35%,"30,300",10.4,0.84,－
2021/12/24,13,3936,ＧＷ,東Ｍ,,,+35,+11.22%,"18,605,200",41.8,28.26,－
2021/12/24,14,2158,フロンテオ,東Ｍ,,,+270,+10.07%,"9,524,900",105,21.76,0.24
2021/12/24,15,6769,ザイン,ＪＱ,,,+104,+9.94%,"275,900",26.6,1.46,1.04
2021/12/24,16,4966,上村工,東２,,,+520,+9.72%,"114,800",12.0,1.40,1.53
2021/12/24,17,2334,イオレ,東Ｍ,,,+93,+9.58%,"23,900",－,4.98,－
2021/12/24,18,6969,松尾電,東２,,,+78,+9.58%,"213,700",－,1.25,－
2021/12/24,19,6993,大黒屋,東２,,,+5,+9.43%,"4,306,000",20.6,6.86,－
2021/12/24,20,6626,ＳＥＭＴＥＣ,ＪＱ,,,"+1,050",+8.76%,"85,400",17.7,2.81,0.23
2021/12/24,21,1724,シンクレイヤ,ＪＱ,,,+77,+8.25%,"136,600",5.3,1.05,1.68
2021/12/24,22,7806,ＭＴＧ,東Ｍ,,,+115,+8.24%,"302,500",19.0,1.55,0.66
2021/12/24,23,6083,ＥＲＩＨＤ,東１,,,+124,+8.08%,"916,900",12.6,4.16,2.41
2021/12/24,24,6855,電子材料,東１,,,+213,+7.97%,"2,515,700",11.8,1.88,1.39
2021/12/24,25,4080,田中化研,ＪＱ,,,+156,+7.89%,"2,334,100",106,5.29,－
2021/12/24,26,4888,ステラファ,東Ｍ,,,+49,+7.69%,"1,072,300",－,5.74,－
