日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2022/01/04,1,7369,メイホーＨＤ,東Ｍ,,S,+300,+24.71%,"19,600",10.1,1.41,－
2022/01/04,2,4667,アイサンテク,ＪＱ,,,+398,+24.02%,"598,300",77.6,1.95,0.63
2022/01/04,3,3189,ＡＮＡＰ,ＪＱ,,S,+80,+22.10%,"2,166,600",15.9,3.49,－
2022/01/04,4,1789,ＥＴＳ・ＨＤ,ＪＱ,,S,+150,+20.98%,"38,300",21.1,2.21,0.58
2022/01/04,5,5817,ＪＭＡＣＳ,東２,,S,+80,+17.24%,"551,200",10.8,0.57,1.84
2022/01/04,6,5704,ＪＭＣ,東Ｍ,,S,+80,+17.06%,"32,300",78.5,1.40,－
2022/01/04,7,7254,ユニバンス,東２,,S,+150,+15.99%,"1,802,700",9.9,1.32,0.55
2022/01/04,8,5922,那須鉄,東２,,S,"+1,500",+15.67%,"4,100",9.2,0.61,0.90
2022/01/04,9,6265,コンバム,ＪＱ,,,+346,+15.45%,"26,700",12.9,0.81,1.93
2022/01/04,10,9211,エフ・コード,東Ｍ,,,"+1,310",+15.41%,"3,516,000",135,69.31,－
2022/01/04,11,1439,安江工務店,ＪＱ,,S,+150,+15.40%,"39,800",20.2,1.04,2.22
2022/01/04,12,4888,ステラファ,東Ｍ,,,+127,+13.80%,"5,210,700",－,8.76,－
2022/01/04,13,3825,リミックス,東２,,,+44,+12.94%,"13,127,700",20.9,6.81,－
2022/01/04,14,4288,アズジェント,ＪＱ,,,+97,+12.66%,"46,300",－,2.59,0.58
2022/01/04,15,9417,スマバ,東１,,,+55,+11.88%,"142,500",56.6,2.68,1.54
2022/01/04,16,9107,川崎汽,東１,,,+760,+10.98%,"11,203,600",1.9,1.53,3.91
2022/01/04,17,3031,ラクーンＨＤ,東１,,,+154,+10.90%,"808,900",48.0,6.75,1.28
2022/01/04,18,8769,アドバンＲＭ,東１,,,+75,+10.71%,"109,500",22.7,4.11,1.42
2022/01/04,19,8918,ランド,東１,,,+1,+10.00%,"16,096,400",5.3,2.45,0.91
2022/01/04,20,6292,カワタ,東１,,,+104,+9.67%,"520,400",16.1,0.76,2.54
2022/01/04,21,3906,ＡＬＢＥＲＴ,東Ｍ,,,+390,+9.33%,"106,100",76.3,5.63,－
2022/01/04,22,3991,ウォンテッド,東Ｍ,,,+141,+9.24%,"8,200",56.9,12.12,－
2022/01/04,23,7247,ミクニ,東１,,,+29,+9.03%,"956,000",9.8,0.39,2.86
2022/01/04,24,3908,コラボス,東Ｍ,,,+36,+8.89%,"41,400",102,1.10,－
2022/01/04,25,1400,ルーデン,ＪＧ,,,+17,+8.85%,"427,100",46.0,1.03,－
2022/01/04,26,5805,昭電線ＨＤ,東１,,,+147,+8.84%,"751,900",7.1,1.07,2.21
2022/01/04,27,6522,アスタリスク,東Ｍ,,,+250,+8.33%,"1,447,000",88.2,48.58,－
2022/01/04,28,6656,インスペック,東２,,,+143,+8.28%,"800,200",41.7,9.18,0.16
2022/01/04,29,4440,ヴィッツ,東１,,,+119,+8.22%,"196,000",31.5,3.11,0.51
2022/01/04,30,4372,ユミルリンク,東Ｍ,,,+85,+7.89%,"140,200",20.4,2.83,－
2022/01/04,31,4398,ＢＢＳｅｃ,ＪＱ,,,+93,+7.80%,"10,900",21.0,5.51,0.78
2022/01/04,32,6618,大泉製,東Ｍ,,,+82,+7.69%,"1,597,700",29.4,3.34,0.70
2022/01/04,33,9684,スクエニＨＤ,東１,,,+440,+7.46%,"1,246,500",31.6,2.94,0.96
2022/01/04,34,6855,電子材料,東１,,,+211,+7.38%,"1,883,100",12.6,2.00,1.30
2022/01/04,35,7826,フルヤ金属,ＪＱ,,,+890,+7.37%,"255,000",11.6,3.00,1.16
2022/01/04,36,6327,北川精機,ＪＱ,,,+36,+7.30%,"98,500",8.1,1.67,0.95
2022/01/04,37,3607,クラウディア,東１,,,+17,+7.02%,"92,600",－,0.97,－
2022/01/04,38,6617,東光高岳,東１,,,+98,+6.90%,"224,400",15.3,0.49,3.29
2022/01/04,39,5981,東京綱,東１,,,+60,+6.88%,"152,200",13.7,0.60,2.15
2022/01/04,40,3444,菊池製作,ＪＱ,,,+35,+6.80%,"33,400",－,1.07,1.82
2022/01/04,41,2154,夢ＢｅＮＥＸ,東１,,,+114,+6.73%,"674,900",94.6,1.74,2.49
2022/01/04,42,3784,ヴィンクス,東１,,,+59,+6.65%,"76,300",11.8,1.62,1.48
2022/01/04,43,7205,日野自,東１,,,+63,+6.65%,"3,716,400",38.7,1.04,1.68
2022/01/04,44,7689,コパ,東Ｍ,,,+88,+6.60%,"19,100",29.0,1.44,－
2022/01/04,45,9104,商船三井,東１,,,+560,+6.56%,"6,506,000",2.3,1.25,8.79
2022/01/04,46,4420,イーソル,東１,,,+40,+6.50%,"266,900",75.8,2.26,0.84
2022/01/04,47,8365,富山銀,東１,,,+115,+6.46%,"13,400",12.1,0.31,2.64
2022/01/04,48,9363,大運,東２,,,+28,+6.44%,"81,700",8.5,0.93,1.51
2022/01/04,49,4425,Ｋｕｄａｎ,東Ｍ,,,+188,+6.40%,"295,900",－,22.42,－
2022/01/04,50,6615,ＵＭＣエレ,東１,,,+28,+6.38%,"130,300",26.4,0.86,－
2022/01/04,51,4971,メック,東１,,,+255,+6.37%,"182,600",29.4,4.09,0.82
2022/01/04,52,6573,アジャイル,東Ｍ,,,+29,+6.30%,"46,400",－,－,－
2022/01/04,53,7083,ＡＨＣ,東Ｍ,,,+43,+6.30%,"4,100",－,1.14,－
2022/01/04,54,3649,ファインデ,東１,,,+63,+6.26%,"139,200",39.1,8.17,0.75
2022/01/04,55,7201,日産自,東１,,,+34.3,+6.17%,"22,205,600",12.8,0.56,－
2022/01/04,56,2163,アルトナー,東１,,,+54,+6.16%,"83,200",14.6,2.86,3.01
2022/01/04,57,7203,トヨタ,東１,,,+129.0,+6.13%,"43,072,600",12.4,1.26,－
2022/01/04,58,4598,デルタフライ,東Ｍ,,,+91,+6.12%,"124,700",－,5.21,－
2022/01/04,59,6723,ルネサス,東１,,,+87,+6.11%,"17,713,400",－,2.81,－
2022/01/04,60,7777,３ＤＭ,ＪＧ,,,+32,+6.11%,"6,617,800",－,14.30,－
2022/01/04,61,7363,ベビカレ,東Ｍ,,,+180,+6.06%,"10,700",28.4,3.46,－
2022/01/04,62,6095,メドピア,東１,,,+215,+6.00%,"509,100",46.3,12.24,－
2022/01/04,63,4824,メディアＳ,東Ｍ,,,+22,+5.99%,"231,500",105,0.99,0.26
2022/01/04,64,8750,第一生命ＨＤ,東１,,,+138.5,+5.96%,"4,946,100",7.5,0.52,3.25
2022/01/04,65,4531,有機薬,東１,,,+16,+5.93%,"81,100",34.7,0.57,1.05
2022/01/04,66,6149,小田原エンジ,ＪＱ,,,+166,+5.92%,"190,900",42.1,1.20,0.84
2022/01/04,67,7455,三城ＨＤ,東１,,,+13,+5.86%,"79,200",－,0.43,2.55
2022/01/04,68,2929,ファーマＦ,東１,,,+122,+5.77%,"1,181,900",16.1,7.39,0.89
2022/01/04,69,7715,長野計器,東１,,,+91,+5.77%,"276,100",13.6,1.20,1.74
2022/01/04,70,3952,中央紙器,名２,,,+61,+5.76%,900,12.8,0.45,3.57
2022/01/04,71,7261,マツダ,東１,,,+51,+5.76%,"7,294,300",14.4,0.49,1.60
2022/01/04,72,7212,エフテック,東１,,,+33,+5.56%,"618,900",－,0.30,1.59
2022/01/04,73,4178,Ｓイノベ,東Ｍ,,,+132,+5.51%,"58,300",34.6,6.71,－
2022/01/04,74,8181,東天紅,東１,,,+56,+5.51%,"5,600",－,0.36,－
2022/01/04,75,5802,住友電,東１,,,+81.5,+5.44%,"3,510,600",13.0,0.74,3.16
2022/01/04,76,6338,タカトリ,東２,,,+75,+5.42%,"136,600",17.1,1.45,1.03
2022/01/04,77,8119,三栄コ,ＪＱ,,,+92,+5.40%,"2,200",426,0.39,1.11
2022/01/04,78,2046,インドブル,東EN,,,+945,+5.35%,"7,461",－,－,－
2022/01/04,79,6941,山一電機,東１,,,+124,+5.33%,"352,600",11.8,1.90,2.57
2022/01/04,80,8537,大光銀,東１,,,+71,+5.33%,"7,000",7.1,0.16,3.56
2022/01/04,81,7211,三菱自,東１,,,+17,+5.30%,"22,131,300",12.6,0.97,－
2022/01/04,82,7992,セーラー,東２,,,+9,+5.29%,"98,800",37.4,1.24,－
2022/01/04,83,9880,イノテック,東１,,,+79,+5.26%,"192,500",11.5,0.96,3.79
2022/01/04,84,7416,はるやまＨＤ,東１,,,+26,+5.25%,"32,400",85.3,0.31,－
2022/01/04,85,9249,エコシステム,東２,,,+84,+5.23%,"15,800",7.7,2.19,2.96
2022/01/04,86,9252,ラストワンＭ,東Ｍ,,,+78,+5.21%,"90,500",33.1,4.66,－
2022/01/04,87,3538,ウイルプラス,東１,,,+51,+5.20%,"61,600",7.1,1.27,2.83
2022/01/04,88,7638,ＮＥＷＡＲＴ,ＪＱ,,,+62,+5.18%,"99,700",12.1,2.32,5.56
2022/01/04,89,7069,サイバーバズ,東Ｍ,,,+49,+5.16%,"10,400",50.6,2.11,－
2022/01/04,90,5852,アーレスティ,東１,,,+20,+5.15%,"227,000",－,0.19,2.45
2022/01/04,91,4286,ＣＬＨＤ,東１,,,+72,+5.14%,"80,800",13.8,1.98,2.17
2022/01/04,92,8114,デサント,東１,,,+215,+5.08%,"180,900",54.2,4.10,0.45
2022/01/04,93,7625,Ｇダイニング,東２,,,+17,+5.03%,"104,400",3.6,1.25,－
2022/01/04,94,6803,ティアック,東１,,,+8,+5.00%,"3,131,000",14.7,2.51,－
2022/01/04,95,4777,ガーラ,ＪＱ,,,+11,+4.98%,"109,600",－,－,－
2022/01/04,96,6770,アルプスアル,東１,,,+54,+4.98%,"3,428,800",18.2,0.68,1.76
2022/01/04,97,9888,ＵＥＸ,ＪＱ,,,+24,+4.98%,"122,000",7.2,0.44,－
2022/01/04,98,7671,ＡｍｉｄＡＨ,東Ｍ,,,+26,+4.97%,"2,600",7.9,1.19,3.37
2022/01/04,99,9308,乾汽船,東１,,,+115,+4.97%,"328,500",7.2,2.64,6.46
2022/01/04,100,5986,モリテック,東１,,,+18,+4.95%,"124,900",42.8,0.66,0.79
2022/01/04,101,4393,バンクオブイ,東Ｍ,,,+84,+4.92%,"38,300",－,9.53,－
2022/01/04,102,8360,山梨銀,東１,,,+42,+4.88%,"182,600",8.7,0.13,3.88
2022/01/04,103,4275,カーリットＨ,東１,,,+34,+4.82%,"108,000",9.8,0.58,1.62
2022/01/04,104,6898,トミタ電機,ＪＱ,,,+108,+4.76%,"20,000",16.8,0.48,－
2022/01/04,105,4477,ＢＡＳＥ,東Ｍ,,,+29,+4.71%,"2,830,000",－,4.54,－
