日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/08/18,1,1689,ＷＴ天然ガス,東Ｅ,,,+1,+100.00%,"8,413,900",－,－,－
2021/08/18,2,3936,ＧＷ,東Ｍ,,S,+700,+20.56%,"1,681,600",50.4,18.56,－
2021/08/18,3,7379,サーキュ,東Ｍ,,S,+500,+20.09%,"248,500",84.0,75.21,－
2021/08/18,4,3190,ホットマン,ＪＱ,,S,+100,+17.61%,"45,300",13.8,0.70,1.50
2021/08/18,5,4011,ヘッドウォ,東Ｍ,,,+920,+17.20%,"23,600",252,7.70,－
2021/08/18,6,9073,京極運,ＪＱ,,S,+150,+15.72%,"129,400",27.4,0.91,0.72
2021/08/18,7,9268,オプティマス,東２,,,+328,+15.38%,"964,400",5.3,0.88,4.07
2021/08/18,8,7082,ジモティー,東Ｍ,,,+289,+15.35%,"448,700",42.2,13.89,－
2021/08/18,9,4556,カイノス,ＪＱ,,,+173,+14.90%,"270,000",13.7,1.14,1.12
2021/08/18,10,6619,ＷＳＣＯＰＥ,東１,,,+96,+14.72%,"3,617,300",40.7,2.48,－
2021/08/18,11,6069,トレンダ,東Ｍ,,,+127,+14.11%,"8,397,100",27.1,2.92,1.56
2021/08/18,12,9514,エフオン,東１,,,+102,+13.55%,"3,136,600",9.2,1.09,0.94
2021/08/18,13,6034,ＭＲＴ,東Ｍ,,,+216,+13.36%,"1,268,400",37.0,5.88,－
2021/08/18,14,1491,中外鉱,東２,,,+4,+12.90%,"7,286,600",36.1,1.49,－
2021/08/18,15,2158,フロンテオ,東Ｍ,,,+137,+12.42%,"7,174,900",67.1,9.89,0.40
2021/08/18,16,4167,ココペリ,東Ｍ,,,+405,+12.16%,"156,900",101,17.51,－
2021/08/18,17,3856,Ａバランス,東２,,,+580,+11.89%,"304,200",33.8,7.23,－
2021/08/18,18,4020,ビートレンド,東Ｍ,,,+298,+11.29%,"18,100",31.3,4.95,－
2021/08/18,19,6521,オキサイド,東Ｍ,,,+630,+11.01%,"202,700",84.7,7.49,－
