日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/06/25,1,6772,コスモス,東２,,S,+300,+27.42%,"453,700",70.4,0.54,1.43
2021/06/25,2,6993,大黒屋,東２,,,+17,+20.24%,"59,091,100",24.4,10.11,－
2021/06/25,3,7896,セブン工業,東２,,,+79,+15.55%,"101,400",15.0,0.39,2.39
2021/06/25,4,2586,フルッタ,東Ｍ,,,+31,+15.05%,"10,214,300",－,2.76,－
2021/06/25,5,6125,岡本工,東２,,,+690,+12.68%,"280,500",12.3,1.63,1.96
2021/06/25,6,6664,オプトエレ,ＪＱ,,,+82,+11.47%,"4,050,100",6.9,0.96,－
2021/06/25,7,8256,プロルート,ＪＱ,,,+25,+10.68%,"2,997,500",73.6,7.63,－
2021/06/25,8,7863,平賀,ＪＱ,,,+105,+10.03%,"29,900",16.7,1.24,1.30
2021/06/25,9,6575,ヒューマンＡ,東Ｍ,,,+74,+9.95%,"131,500",40.9,2.52,0.73
2021/06/25,10,7361,ＨＣＨ,東Ｍ,,,+345,+9.80%,"220,100",24.1,8.20,1.27
2021/06/25,11,6338,タカトリ,東２,,,+104,+8.95%,"402,500",28.6,1.30,0.79
2021/06/25,12,7261,マツダ,東１,,,+85,+8.70%,"10,928,900",19.1,0.57,1.41
2021/06/25,13,6994,指月電,東２,,,+53,+8.55%,"113,400",24.7,0.93,1.19
2021/06/25,14,3377,バイク王,東２,,,+59,+8.54%,"1,792,900",13.6,2.24,1.47
2021/06/25,15,2667,イメージワン,ＪＱ,,,+68,+8.48%,"1,739,400",170,4.37,－
2021/06/25,16,3446,Ｊテック・Ｃ,東１,,,+265,+8.35%,"221,800",123,8.77,－
2021/06/25,17,6627,テラプローブ,東２,,,+156,+8.26%,"443,100",－,0.78,－
2021/06/25,18,7373,アイドマＨＤ,東Ｍ,,,+255,+8.16%,"691,100",51.9,30.44,－
2021/06/25,19,4446,リンクユー,東１,,,+101,+7.42%,"498,700",258,9.86,－
2021/06/25,20,7214,ＧＭＢ,東１,,,+76,+7.29%,"70,200",14.7,0.29,1.79
2021/06/25,21,6721,ウインテスト,東２,,,+20,+7.09%,"1,822,600",102,4.99,－
2021/06/25,22,9973,小僧寿し,ＪＱ,,,+4,+7.02%,"5,947,900",59.2,24.21,－
2021/06/25,23,3856,Ａバランス,東２,,,+380,+6.86%,"246,500",73.0,7.71,－
2021/06/25,24,3676,デジハＨＤ,東１,,,+99,+6.73%,"126,900",24.2,5.96,0.96
2021/06/25,25,7066,ピアズ,東Ｍ,,,+117,+6.72%,"3,800",61.0,1.91,－
2021/06/25,26,6034,ＭＲＴ,東Ｍ,,,+89,+6.68%,"85,900",68.6,5.39,－
2021/06/25,27,3528,プロスペクト,東２,,,+2,+6.67%,"1,667,900",47.1,0.89,－
2021/06/25,28,6969,松尾電,東２,,,+55,+6.47%,"99,400",15.5,1.37,－
2021/06/25,29,6131,浜井産,東２,,,+74,+6.40%,"92,400",10.8,2.39,－
2021/06/25,30,6942,ソフィア,ＪＱ,,,+85,+6.38%,"14,600",－,2.75,－
2021/06/25,31,6694,ズーム,ＪＱ,,,+220,+6.23%,"36,900",15.9,1.60,1.79
2021/06/25,32,5690,リバーＨＤ,東２,,,+75,+6.21%,"522,700",8.8,1.27,2.73
2021/06/25,33,2780,コメ兵ＨＤ,東２,,,+81,+6.18%,"158,000",15.3,0.84,1.72
2021/06/25,34,4113,田岡化,東２,,,+750,+6.06%,"109,600",14.5,2.47,1.37
2021/06/25,35,7095,マクビープラ,東Ｍ,,,+500,+6.06%,"129,500",41.1,14.84,－
2021/06/25,36,4092,日本化,東１,,,+172,+5.97%,"166,900",14.1,0.69,2.29
2021/06/25,37,7928,旭化学,ＪＱ,,,+65,+5.90%,"94,700",10.8,0.91,－
2021/06/25,38,4385,メルカリ,東Ｍ,,,+330,+5.86%,"2,637,500",188,25.79,－
2021/06/25,39,4051,ＧＭＯ－ＦＧ,東Ｍ,,,"+1,090",+5.57%,"79,300",229,21.12,0.23
2021/06/25,40,7936,アシックス,東１,,,+143,+5.56%,"1,435,100",180,3.48,0.88
2021/06/25,41,4884,クリングル,東Ｍ,,,+63,+5.45%,"306,100",－,2.02,－
2021/06/25,42,7567,栄電子,ＪＱ,,,+29,+5.32%,"121,500",26.0,0.97,1.22
2021/06/25,43,3441,山王,ＪＱ,,,+81,+5.29%,"117,100",7.8,1.50,0.31
2021/06/25,44,7227,アスカ,名２,,,+50,+5.29%,"12,700",5.7,0.70,3.02
2021/06/25,45,2148,ＩＴメディア,東１,,,+101,+5.25%,"229,400",25.4,5.64,1.09
2021/06/25,46,9271,和心,東Ｍ,,,+27,+5.23%,"6,500",－,－,－
2021/06/25,47,9517,イーレックス,東１,,,+114,+5.10%,"1,909,500",21.3,3.14,0.85
2021/06/25,48,4933,Ｉｎｅ,東Ｍ,,,+280,+5.05%,"77,800",55.3,6.80,－
2021/06/25,49,9691,両毛システム,ＪＱ,,,+103,+4.97%,"5,400",7.9,0.80,1.38
2021/06/25,50,5699,イボキン,ＪＱ,,,+185,+4.93%,"25,600",17.5,2.07,1.02
2021/06/25,51,6752,パナソニック,東１,,,+61.5,+4.93%,"13,779,600",14.5,1.18,－
2021/06/25,52,6907,ジオマテック,ＪＱ,,,+41,+4.93%,"128,400",191,0.66,－
2021/06/25,53,3658,イーブック,東１,,,+160,+4.89%,"134,500",21.5,4.35,－
2021/06/25,54,7033,ＭＳＯＬ,東１,,,+128,+4.85%,"278,700",78.6,25.56,－
2021/06/25,55,3182,オイシックス,東１,,,+170,+4.84%,"754,400",44.9,7.05,－
2021/06/25,56,4888,ステラファ,東Ｍ,,,+27,+4.83%,"1,023,100",－,72.98,－
2021/06/25,57,5406,神戸鋼,東１,,,+33,+4.80%,"4,652,700",10.5,0.37,－
2021/06/25,58,7343,Ｂマインド,東Ｍ,,,+53,+4.80%,"199,900",23.0,2.27,1.04
2021/06/25,59,7687,ミクリード,東Ｍ,,,+54,+4.79%,"11,400",－,2.84,－
2021/06/25,60,3415,Ｔ－ＢＡＳＥ,東１,,,+33,+4.75%,"447,500",33.9,9.69,－
2021/06/25,61,5989,エイチワン,東１,,,+35,+4.75%,"170,400",8.3,0.32,3.37
2021/06/25,62,9272,ブティックス,東Ｍ,,,+75,+4.69%,"7,500",117,8.97,－
2021/06/25,63,8698,マネックスＧ,東１,,,+33,+4.68%,"16,402,200",－,2.12,－
2021/06/25,64,4598,デルタフライ,東Ｍ,,,+87,+4.67%,"144,600",－,5.09,－
2021/06/25,65,6579,ログリー,東Ｍ,,,+52,+4.67%,"24,800",38.2,3.56,－
2021/06/25,66,6590,芝浦,東１,,,+380,+4.67%,"154,000",17.9,1.72,2.00
2021/06/25,67,6026,ＧＭＯテック,東Ｍ,,,+100,+4.64%,300,－,3.08,－
2021/06/25,68,7927,ムトー精工,ＪＱ,,,+28,+4.64%,"42,100",7.6,0.38,3.33
2021/06/25,69,6997,日ケミコン,東１,,,+121,+4.63%,"942,900",13.2,1.08,－
2021/06/25,70,3143,オーウイル,東２,,,+48,+4.61%,"20,000",8.2,1.06,4.13
2021/06/25,71,4824,メディアＳ,東Ｍ,,,+28,+4.61%,"464,200",－,2.35,－
2021/06/25,72,4091,日本酸素ＨＤ,東１,,,+101,+4.60%,"1,579,900",17.1,1.94,1.39
2021/06/25,73,5741,ＵＡＣＪ,東１,,,+128,+4.58%,"251,700",17.6,0.77,1.37
2021/06/25,74,1873,日本ハウス,東１,,,+17,+4.56%,"237,000",18.0,0.79,1.54
2021/06/25,75,2438,アスカネット,東Ｍ,,,+40,+4.47%,"170,900",78.8,2.70,0.75
2021/06/25,76,3038,神戸物産,東１,,,+145,+4.45%,"2,356,800",36.8,11.32,0.59
2021/06/25,77,3628,データＨＲ,東Ｍ,,,+200,+4.43%,"19,500",87.8,13.12,0.34
2021/06/25,78,8783,ＧＦＡ,ＪＱ,,,+8,+4.40%,"363,300",153,69.60,－
2021/06/25,79,2778,パレモ・ＨＤ,東２,,,+9,+4.39%,"226,700",－,1.73,－
2021/06/25,80,5401,日本製鉄,東１,,,+80.0,+4.37%,"7,347,900",7.3,0.64,－
2021/06/25,81,6158,和井田,ＪＱ,,,+64,+4.37%,"41,600",14.0,1.21,1.96
2021/06/25,82,4911,資生堂,東１,,,+344,+4.36%,"1,846,700",92.6,6.65,0.61
2021/06/25,83,4384,ラクスル,東１,,,+220,+4.33%,"182,300","1,514",19.94,－
2021/06/25,84,5481,山陽鋼,東１,,,+68,+4.29%,"65,100",25.7,0.50,2.18
2021/06/25,85,6626,ＳＥＭＴＥＣ,ＪＱ,,,+210,+4.29%,"48,600",10.6,1.24,0.59
2021/06/25,86,2471,エスプール,東１,,,+42,+4.27%,"690,300",49.5,18.21,0.40
2021/06/25,87,3168,黒谷,東１,,,+37,+4.27%,"98,200",12.5,1.62,1.66
2021/06/25,88,3688,カルタＨＤ,東１,,,+76,+4.27%,"152,800",19.5,1.87,2.70
2021/06/25,89,5852,アーレスティ,東１,,,+20,+4.27%,"235,800",20.9,0.23,2.05
2021/06/25,90,1783,アジアＧＨＤ,ＪＱ,,,+2,+4.26%,"47,100",288,0.58,－
2021/06/25,91,5986,モリテック,東１,,,+21,+4.26%,"715,500",48.0,0.90,0.58
2021/06/25,92,5202,板硝子,東１,,,+27,+4.20%,"863,500",8.6,1.92,－
2021/06/25,93,6580,ライトアップ,東Ｍ,,,+120,+4.20%,"164,000",30.6,7.60,－
2021/06/25,94,5411,ＪＦＥ,東１,,,+53,+4.18%,"6,556,000",5.9,0.45,－
2021/06/25,95,1757,中小企業ＨＤ,東２,,,+3,+4.17%,"1,690,800",－,14.82,－
2021/06/25,96,3891,高度紙,ＪＱ,,,+155,+4.17%,"358,100",19.8,2.51,0.57
2021/06/25,97,3985,テモナ,東１,,,+50,+4.17%,"180,200",53.5,10.85,－
2021/06/25,98,6025,日本ＰＣ,名Ｃ,,,+80,+4.17%,"9,400",87.0,6.46,－
2021/06/25,99,5803,フジクラ,東１,,,+20,+4.12%,"3,021,800",21.4,0.86,－
2021/06/25,100,6036,ＫｅｅＰｅｒ,東１,,,+117,+4.12%,"233,500",39.1,11.24,0.61
