日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/11/02,1,3976,シャノン,東Ｍ,,S,+500,+24.41%,"76,600",74.7,13.04,－
2021/11/02,2,9244,デジタリフト,東Ｍ,,S,+400,+24.35%,"988,200",28.6,9.17,－
2021/11/02,3,6558,クックビズ,東Ｍ,,S,+300,+24.00%,"86,500",－,7.44,－
2021/11/02,4,7078,ＩＮＣ,東Ｍ,,S,+700,+22.91%,"15,400","2,682",19.77,－
2021/11/02,5,6276,シリウスＶ,ＪＱ,,S,+80,+22.22%,"207,200",－,0.68,－
2021/11/02,6,4980,デクセリ,東１,,S,+500,+21.37%,"1,188,700",13.3,2.91,2.11
2021/11/02,7,3083,シーズメン,ＪＱ,,S,+150,+20.27%,"17,300",51.3,2.30,－
2021/11/02,8,3793,ドリコム,東Ｍ,,S,+100,+19.23%,"3,246,600",－,3.97,－
2021/11/02,9,6879,イマジカＧ,東１,,S,+100,+17.73%,"1,191,400",14.7,0.99,0.75
2021/11/02,10,9318,アジア開発,東２,,,+1,+16.67%,"11,092,800",－,2.68,－
2021/11/02,11,3760,ケイブ,ＪＱ,,S,+150,+16.23%,"17,500",－,21.95,－
2021/11/02,12,6554,エスユーエス,東Ｍ,,,+74,+16.09%,"1,018,900",13.5,1.80,1.31
2021/11/02,13,3467,アグレ都市,東１,,,+223,+15.93%,"258,100",9.3,2.58,3.27
2021/11/02,14,9885,シャルレ,東２,,S,+100,+15.20%,"986,600",12.0,0.66,1.06
2021/11/02,15,9066,日新,東１,,,+235,+14.06%,"249,700",7.5,0.57,2.94
2021/11/02,16,7585,かんなん丸,ＪＱ,,,+86,+13.05%,"294,500",－,2.41,－
2021/11/02,17,4334,ユークス,ＪＱ,,,+58,+12.86%,"594,800",9.2,1.49,1.96
2021/11/02,18,2489,アドウェイズ,東１,,,+103,+12.61%,"2,686,900",27.9,3.23,0.76
2021/11/02,19,9272,ブティックス,東Ｍ,,,+365,+12.59%,"32,900",229,16.76,－
2021/11/02,20,7091,リビングＰＦ,東Ｍ,,,+327,+12.34%,"35,300",32.5,10.44,－
2021/11/02,21,7379,サーキュ,東Ｍ,,,+555,+12.18%,"315,000",128,20.49,－
2021/11/02,22,3996,サインポスト,東１,,,+204,+11.20%,"2,871,300",－,17.70,－
2021/11/02,23,4475,ＨＥＮＮＧＥ,東Ｍ,,,+650,+11.15%,"628,200",545,59.74,－
2021/11/02,24,9245,リベロ,東Ｍ,,,+283,+11.14%,"1,533,600",68.0,12.21,－
2021/11/02,25,4373,シンプレクス,東１,,,+265,+10.53%,"1,787,000",36.0,3.99,0.83
2021/11/02,26,3815,メディア工房,東Ｍ,,,+32,+9.76%,"1,098,100",72.6,3.02,－
2021/11/02,27,4445,リビンＴ,東Ｍ,,,+225,+8.99%,"8,700",42.1,4.20,－
2021/11/02,28,4080,田中化研,ＪＱ,,,+103,+8.86%,"1,740,400",63.4,3.14,－
2021/11/02,29,6762,ＴＤＫ,東１,,,+360,+8.73%,"8,130,600",15.5,1.56,1.55
2021/11/02,30,2345,クシム,東２,,,+31,+8.36%,"3,046,800",－,1.09,－
2021/11/02,31,4169,エネチェンジ,東Ｍ,,,+430,+8.13%,"1,488,800",－,78.93,－
2021/11/02,32,7689,コパ,東Ｍ,,,+138,+8.13%,"24,300",37.5,1.89,－
2021/11/02,33,9478,ＳＥＨＩ,ＪＱ,,,+19,+8.12%,"961,400",8.1,0.92,0.79
2021/11/02,34,3915,テラスカイ,東１,,,+176,+8.08%,"282,600",145,3.19,－
2021/11/02,35,7352,Ｂエンジニア,東Ｍ,,,+132,+8.02%,"75,800",83.9,15.97,－
2021/11/02,36,7061,日本ホスピス,東Ｍ,,,+157,+7.74%,"182,200",79.2,13.11,－
2021/11/02,37,3632,グリー,東１,,,+74,+7.70%,"7,296,400",－,1.66,－
2021/11/02,38,6771,池上通,東１,,,+56,+7.25%,"196,400",15.1,0.42,1.81
2021/11/02,39,3659,ネクソン,東１,,,+139,+7.13%,"4,851,800",－,2.39,0.24
2021/11/02,40,9127,玉井船,東２,,,+166,+6.98%,"172,200",6.8,1.02,－
2021/11/02,41,2158,フロンテオ,東Ｍ,,,+179,+6.90%,"4,731,500",150,22.13,0.18
2021/11/02,42,4071,ＰＡコンサル,東Ｍ,,,+220,+6.86%,"362,700",115,30.87,0.17
2021/11/02,43,9603,ＨＩＳ,東１,,,+165,+6.78%,"4,663,800",－,3.17,－
2021/11/02,44,7816,スノーピーク,東１,,,+420,+6.75%,"1,101,300",69.8,10.41,0.30
2021/11/02,45,6577,ベストワン,東Ｍ,,,+165,+6.67%,"15,200",－,6.18,－
2021/11/02,46,3370,フジタコーポ,ＪＱ,,,+23,+6.63%,"20,300",177,－,－
2021/11/02,47,4449,ギフティ,東１,,,+250,+6.54%,"304,400",156,21.78,－
2021/11/02,48,6191,エアトリ,東１,,,+245,+6.28%,"577,900",38.1,15.53,－
2021/11/02,49,5697,サンユウ,東２,,,+30,+6.19%,"60,000",7.8,0.37,3.88
2021/11/02,50,7038,フロンティＭ,東１,,,+56,+6.15%,"83,000",15.9,5.24,－
2021/11/02,51,2492,インフォＭＴ,東１,,,+69,+6.04%,"903,000",524,24.43,0.09
2021/11/02,52,9399,ビート,東２,,,+3,+6.00%,"925,537",－,－,－
2021/11/02,53,3323,レカム,ＪＱ,,,+5,+5.95%,"763,200",－,1.58,2.25
2021/11/02,54,4933,Ｉｎｅ,東Ｍ,,,+265,+5.88%,"33,600",39.8,5.16,－
2021/11/02,55,7537,丸文,東１,,,+49,+5.82%,"513,400",8.0,0.56,3.37
2021/11/02,56,6548,旅工房,東Ｍ,,,+73,+5.76%,"225,000",－,16.63,－
2021/11/02,57,9110,ユナイテド海,東１,,,+215,+5.76%,"786,000",4.8,0.89,－
2021/11/02,58,6634,ネクスＧ,ＪＱ,,,+9,+5.70%,"511,800",－,3.84,－
2021/11/02,59,4427,エデュラボ,東１,,,+94,+5.67%,"157,300",14.0,1.55,－
2021/11/02,60,6532,ベイカレント,東１,,,"+2,750",+5.56%,"410,400",69.6,23.43,0.36
2021/11/02,61,6149,小田原エンジ,ＪＱ,,,+132,+5.53%,"24,700",37.1,1.10,0.99
2021/11/02,62,7318,セレンＨＤ,東Ｍ,,,+63,+5.50%,"54,800",29.3,1.26,－
2021/11/02,63,1436,フィット,東Ｍ,,,+54,+5.37%,"27,000",20.2,1.01,0.94
2021/11/02,64,2737,トーメンデバ,東１,,,+320,+5.37%,"72,500",8.5,1.22,3.82
2021/11/02,65,4970,東洋合成,ＪＱ,,,+890,+5.36%,"87,300",57.9,10.11,0.17
2021/11/02,66,7095,マクビープラ,東Ｍ,,,+550,+5.36%,"142,600",48.2,16.35,－
2021/11/02,67,6971,京セラ,東１,,,+362,+5.33%,"2,499,700",18.6,0.96,2.52
2021/11/02,68,7709,クボテック,東１,,,+15,+5.30%,"60,900",－,3.81,－
2021/11/02,69,9990,サックスバー,東１,,,+29,+5.25%,"151,500",－,0.68,2.58
2021/11/02,70,4429,リックソフト,東Ｍ,,,+99,+5.19%,"32,600",30.7,4.33,－
2021/11/02,71,4168,ヤプリ,東Ｍ,,,+220,+5.16%,"84,600",－,20.56,－
2021/11/02,72,7048,ベルトラ,東Ｍ,,,+35,+5.15%,"549,700",－,16.65,－
2021/11/02,73,5817,ＪＭＡＣＳ,東２,,,+26,+5.07%,"75,900",10.7,0.56,1.86
2021/11/02,74,3698,ＣＲＩ,東Ｍ,,,+73,+5.06%,"210,800",40.4,2.14,1.32
2021/11/02,75,7089,フォースタ,東Ｍ,,,+235,+5.05%,"226,000",54.0,14.64,－
2021/11/02,76,9726,ＫＮＴＣＴ,東１,,,+84,+5.05%,"225,300",－,2.00,－
2021/11/02,77,6196,ストライク,東１,,,+250,+5.00%,"867,100",36.8,11.07,0.69
2021/11/02,78,2978,ツクルバ,東Ｍ,,,+53,+4.99%,"41,000",－,14.76,－
2021/11/02,79,6837,京写,ＪＱ,,,+22,+4.97%,"207,800",25.6,0.99,1.08
2021/11/02,80,4937,ワクー,東Ｍ,,,+56,+4.92%,"9,100",24.7,5.56,－
2021/11/02,81,6969,松尾電,東２,,,+50,+4.91%,"83,100",14.4,1.58,－
2021/11/02,82,4074,ラキール,東Ｍ,,,+82,+4.80%,"49,800",60.6,11.07,－
2021/11/02,83,3999,ナレッジＳ,東Ｍ,,,+42,+4.76%,"12,500",－,5.43,－
2021/11/02,84,6265,妙徳,ＪＱ,,,+94,+4.75%,"4,500",10.4,0.66,2.41
2021/11/02,85,4388,エーアイ,東Ｍ,,,+50,+4.71%,"23,400",26.7,4.57,0.77
2021/11/02,86,6838,多摩川ＨＤ,ＪＱ,,,+57,+4.68%,"40,600",35.4,1.40,0.39
2021/11/02,87,1712,ダイセキＳ,東１,,,+83,+4.62%,"327,700",24.7,2.27,0.43
2021/11/02,88,6035,ＩＲジャパン,東１,,,+400,+4.59%,"348,200",40.0,23.07,1.24
2021/11/02,89,6775,ＴＢグループ,東２,,,+9,+4.59%,"308,400",－,2.73,－
2021/11/02,90,6236,ＮＣＨＤ,東１,,,+70,+4.58%,"41,400",6.6,0.38,0.94
2021/11/02,91,2980,ＳＲＥＨＤ,東１,,,+360,+4.57%,"130,000",153,15.74,－
2021/11/02,92,2481,タウンＮ,ＪＱ,,,+19,+4.51%,"61,000",9.3,0.66,3.18
2021/11/02,93,6727,ワコム,東１,,,+35,+4.51%,"3,089,000",14.9,3.31,1.85
2021/11/02,94,4371,ＣＣＴ,東Ｍ,,,+220,+4.50%,"20,900",80.5,22.78,－
2021/11/02,95,4235,ＵＦＨＤ,ＪＱ,,,+101,+4.38%,"34,600",33.2,2.39,1.08
2021/11/02,96,7937,ツツミ,東１,,,+92,+4.36%,"6,100",112,0.52,1.36
2021/11/02,97,5074,テスＨＤ,東１,,,+108,+4.32%,"810,200",36.4,3.99,0.81
2021/11/02,98,6659,メディアＬ,ＪＱ,,,+16,+4.30%,"121,200",24.3,2.32,－
2021/11/02,99,4599,ステムリム,東Ｍ,,,+23,+4.29%,"205,600",－,3.20,－
2021/11/02,100,2122,インタスペス,東Ｍ,,,+43,+4.27%,"7,600",20.9,1.35,1.91
2021/11/02,101,2651,ローソン,東１,,,+240,+4.25%,"529,800",38.0,2.11,2.55
2021/11/02,102,3906,ＡＬＢＥＲＴ,東Ｍ,,,+195,+4.11%,"36,500",82.6,6.20,－
2021/11/02,103,4293,セプテニＨＤ,ＪＱ,,,+22,+4.10%,"5,340,200",－,3.84,－
2021/11/02,104,9240,デリバリコン,東Ｍ,,,+51,+4.10%,"203,900",29.4,10.79,－
2021/11/02,105,4317,レイ,ＪＱ,,,+14,+4.00%,"375,900",－,1.03,－
