日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),出来高,ＰＥＲ,ＰＢＲ,利回り
2021/10/11,1,7777,３ＤＭ,ＪＧ,,S,+80,+26.49%,"8,891,300",－,16.24,－
2021/10/11,2,6335,東京機,東１,,S,+400,+24.72%,"1,639,600",56.8,2.37,－
2021/10/11,3,4673,川崎地質,ＪＱ,,S,+700,+16.51%,"65,800",12.5,1.13,1.01
2021/10/11,4,6555,ＭＳコンサル,東１,,S,+100,+16.34%,"33,700",21.7,1.13,－
2021/10/11,5,7585,かんなん丸,ＪＱ,,,+125,+15.92%,"1,012,300",－,2.94,－
2021/10/11,6,6173,アクアライン,東Ｍ,,S,+100,+15.72%,"106,100",8.4,2.97,－
2021/10/11,7,9246,プロカン,東Ｍ,,S,+705,+15.31%,"2,473,600",105,44.90,－
2021/10/11,8,1675,ＷＴパラジ,東Ｅ,,,"+2,970",+14.47%,"2,111",－,－,－
2021/10/11,9,4427,エデュラボ,東１,,,+339,+14.38%,"395,500",21.6,2.02,－
2021/10/11,10,4443,Ｓａｎｓａｎ,東１,,,"+1,490",+14.35%,"1,033,600",－,30.60,－
2021/10/11,11,5699,イボキン,ＪＱ,,,+760,+13.87%,"140,100",22.8,3.08,0.64
2021/10/11,12,1543,純パラ信託,東Ｅ,,,"+9,000",+13.35%,"4,544",－,－,－
2021/10/11,13,3936,ＧＷ,東Ｍ,,,+271,+11.39%,"584,300",125,59.94,－
2021/10/11,14,7072,インテＭ,東Ｍ,,,+237,+11.23%,"869,000",913,5.65,－
2021/10/11,15,7126,タンゴヤ,ＪＱ,,,+211,+11.00%,"98,800",11.0,2.98,－
2021/10/11,16,5702,大紀ア,東１,,,+168,+10.13%,"941,800",7.1,1.56,2.74
2021/10/11,17,7085,カーブスＨＤ,東１,,,+89,+10.02%,"1,062,700",57.4,10.01,0.72
2021/10/11,18,6837,京写,ＪＱ,,,+40,+9.80%,"271,800",53.5,0.97,1.12
2021/10/11,19,6522,アスタリスク,東Ｍ,,,+490,+9.53%,"327,900",53.4,17.48,－
2021/10/11,20,1992,神田通機,ＪＱ,,,+98,+9.25%,"9,300",21.6,0.63,1.73
2021/10/11,21,9263,ビジョナリー,ＪＱ,,,+27,+9.15%,"508,500",－,2.65,－
2021/10/11,22,7456,松田産業,東１,,,+255,+9.01%,"182,800",10.5,1.17,1.36
2021/10/11,23,5612,鋳鉄管,東１,,,+110,+8.94%,"95,400",21.5,0.54,1.49
2021/10/11,24,7033,ＭＳＯＬ,東１,,,+300,+8.78%,"244,000",105,31.22,－
2021/10/11,25,1518,三井松島ＨＤ,東１,,,+119,+8.69%,"655,400",9.7,0.63,3.36
2021/10/11,26,6239,ナガオカ,ＪＱ,,,+67,+8.24%,"114,900",8.7,1.56,2.27
2021/10/11,27,7715,長野計器,東１,,,+100,+8.22%,"517,700",10.7,0.99,1.67
2021/10/11,28,4173,ＷＡＣＵＬ,東Ｍ,,,+159,+8.11%,"233,800",66.4,23.26,－
2021/10/11,29,9115,明治海,東１,,,+59,+8.09%,"1,704,100",33.0,1.32,－
2021/10/11,30,7625,Ｇダイニング,東２,,,+41,+7.96%,"661,700",5.6,2.19,－
2021/10/11,31,3315,日本コークス,東１,,,+11,+7.69%,"5,768,200",8.3,0.87,3.25
2021/10/11,32,9326,関通,東Ｍ,,,+88,+7.60%,"145,400",29.8,5.40,－
2021/10/11,33,4375,セーフィー,東Ｍ,,,+255,+7.57%,"406,800",－,81.83,－
