発表日,時刻,決算,連単,コード,銘柄,市場,業種,時価総額
08月上旬,-,2Q,連,4452,花　王,東1,化学,"32,762"
08月上旬,-,2Q,単,4487,スペースマーケ,マザ,情報・通信業,119
08月上旬,-,3Q,連,4554,富士製薬,東1,医薬品,295
08月上旬,-,2Q,単,4595,ミズホメディ,東2,医薬品,246
08月上旬,-,2Q,連,4631,ＤＩＣ,東1,化学,"2,764"
08月上旬,-,1Q,連,4665,ダスキン,東1,サービス業,"1,320"
08月上旬,-,3Q,単,4809,パラカ,東1,不動産業,169
08月上旬,-,2Q,連,4883,モダリス,マザ,医薬品,407
08月上旬,-,2Q,連,4935,リベルタ,JQ,化学,33
08月上旬,-,3Q,連,4958,長谷川香,東1,化学,982
08月上旬,-,2Q,連,5187,クリエート,東1,精密機器,97
08月上旬,-,1Q,連,6197,ソラスト,東1,サービス業,"1,282"
08月上旬,-,2Q,連,6235,オプトラン,東1,機械,"1,136"
08月上旬,-,2Q,連,6328,荏原実業,東1,機械,414
08月上旬,-,1Q,連,6351,鶴見製,東1,機械,487
08月上旬,-,1Q,連,6379,レイズネクスト,東1,建設業,631
08月上旬,-,1Q,連,6482,ユーシン精機,東1,機械,296
08月上旬,-,2Q,連,6537,WASHハウス,マザ,サービス業,42
08月上旬,-,1Q,連,6584,三桜工,東1,輸送用機器,446
08月上旬,-,1Q,連,6618,大泉製,マザ,電気機器,64
08月上旬,-,1Q,連,6626,SEMITEC,JQ,電気機器,137
08月上旬,-,本,連,6662,ユビテック,JQ,電気機器,43
08月上旬,-,1Q,連,6703,ＯＫＩ,東1,電気機器,880
08月上旬,-,1Q,連,6718,アイホン,東1,電気機器,385
08月上旬,-,1Q,連,6869,シスメックス,東1,電気機器,"23,605"
08月上旬,-,1Q,連,6907,ジオマテック,JQ,電気機器,74
08月上旬,-,1Q,単,7045,ツクイスタッフ,JQ,サービス業,26
08月上旬,-,2Q,連,7177,GMOFHD,JQ,証券商品先物,995
08月上旬,-,2Q,連,7362,T.S.I,マザ,サービス業,33
08月上旬,-,本,単,7500,西川計測,JQ,卸売業,156
08月上旬,-,3Q,連,7821,前田工繊,東1,その他製品,"1,100"
08月上旬,-,2Q,連,7841,遠藤製作,JQ,その他製品,62
08月上旬,-,2Q,連,7963,興　研,JQ,その他製品,97
08月上旬,-,2Q,連,8090,昭光商,東1,卸売業,89
08月上旬,-,本,連,8945,サンネクスタG,東1,不動産業,113
08月上旬,-,2Q,連,9656,グリンランド,東2,サービス業,45
08月中旬,-,1Q,連,1417,ミライトHD,東1,建設業,"2,100"
08月中旬,-,2Q,連,1439,安江工務,JQ,建設業,14
08月中旬,-,本,連,2180,サニーサイド,東1,サービス業,131
08月中旬,-,2Q,連,2325,ＮＪＳ,東1,サービス業,212
08月中旬,-,3Q,連,2874,ヨコレイ,東1,卸売業,527
08月中旬,-,3Q,連,2917,大森屋,JQ,食料品,41
08月中旬,-,2Q,連,2932,STIフードH,東2,食料品,232
08月中旬,-,3Q,単,2987,タスキ,マザ,不動産業,103
08月中旬,-,2Q,連,3138,富士マガ,マザ,小売業,27
08月中旬,-,3Q,連,3689,イグニス,マザ,情報・通信業,469
08月中旬,-,2Q,単,3719,ジェクシード,JQ,情報・通信業,48
08月中旬,-,3Q,連,3747,インタトレード,東2,情報・通信業,36
08月中旬,-,本,連,3856,Abalance,東2,電気機器,257
08月中旬,-,2Q,連,3902,ＭＤＶ,東1,情報・通信業,872
08月中旬,-,2Q,連,3904,カヤック,マザ,情報・通信業,132
08月中旬,-,2Q,連,3964,オークネット,東1,情報・通信業,389
08月中旬,-,2Q,連,3981,ビーグリー,東1,情報・通信業,87
08月中旬,-,3Q,連,3993,PKSHA,マザ,情報・通信業,801
08月中旬,-,3Q,連,3999,ナレッジスイト,マザ,情報・通信業,44
08月中旬,-,2Q,連,4013,勤次郎,マザ,情報・通信業,236
08月中旬,-,2Q,単,4019,スタメン,マザ,情報・通信業,86
08月中旬,-,本,連,4052,フィーチャ,マザ,情報・通信業,64
08月中旬,-,2Q,単,4056,ニューラル,マザ,情報・通信業,691
08月中旬,-,3Q,単,4059,まぐまぐ,JQ,情報・通信業,39
08月中旬,-,2Q,単,4166,かっこ,マザ,情報・通信業,88
08月中旬,-,1Q,単,4167,ココペリ,マザ,情報・通信業,409
08月中旬,-,1Q,連,4179,ジーネクスト,マザ,情報・通信業,65
08月中旬,-,2Q,連,4180,Appier,マザ,情報・通信業,"1,584"
08月中旬,-,2Q,単,4192,スパイダーP,マザ,情報・通信業,719
08月中旬,-,1Q,単,4386,ＳＩＧ,東2,情報・通信業,42
08月中旬,-,本,連,4391,ロジザード,マザ,情報・通信業,65
08月中旬,-,3Q,連,4393,バンクイノベ,マザ,情報・通信業,99
08月中旬,-,2Q,単,4476,AI CROSS,マザ,情報・通信業,77
08月中旬,-,2Q,連,4482,ウィルズ,マザ,情報・通信業,188
08月中旬,-,本,単,4748,構造計画,JQ,情報・通信業,163
08月中旬,-,2Q,連,4912,ライオン,東1,化学,"5,878"
08月中旬,-,本,単,4930,グラフィコ,JQ,化学,36
08月中旬,-,2Q,単,5216,倉　元,JQ,ｶﾞﾗｽ土石製品,62
08月中旬,-,2Q,連,6067,インパクト,マザ,サービス業,186
08月中旬,-,3Q,単,6194,アトラエ,東1,サービス業,578
08月中旬,-,1Q,連,6230,SANEI,東2,機械,86
08月中旬,-,本,連,6239,ナガオカ,JQ,機械,65
08月中旬,-,2Q,連,6411,中野冷,JQ,機械,277
08月中旬,-,2Q,連,6560,ＬＴＳ,東1,サービス業,153
08月中旬,-,1Q,単,6613,QDレーザ,マザ,電気機器,572
08月中旬,-,2Q,連,6697,テックポイント,マザ,電気機器,135
08月中旬,-,1Q,連,6706,電気興,東1,電気機器,320
08月中旬,-,2Q,連,7061,日ホスピス,マザ,サービス業,170
08月中旬,-,2Q,連,7080,スポーツフィー,マザ,サービス業,20
08月中旬,-,1Q,連,7092,ＦＦＪ,マザ,サービス業,843
08月中旬,-,1Q,連,7343,ブロドマイン,マザ,保険業,69
08月中旬,-,2Q,単,7353,ＫＩＹＯ,マザ,サービス業,159
08月中旬,-,3Q,単,7356,Retty,マザ,サービス業,171
08月中旬,-,2Q,連,7358,ポピンズH,東1,サービス業,496
08月中旬,-,本,連,7369,メイホーHD,マザ,サービス業,47
08月中旬,-,1Q,単,7694,いつも,マザ,小売業,208
08月中旬,-,本,単,7809,壽　屋,JQ,その他製品,65
08月中旬,-,本,連,8928,穴吹興産,東1,不動産業,244
08月中旬,-,本,単,9282,いちごグ,東証,ETF・REIT等,75
08月中旬,-,本,単,9284,カナディアン,東証,ETF・REIT等,503
08月中旬,-,1Q,単,9327,イー・ロジット,JQ,倉庫運輸関連,61
08月中旬,-,2Q,連,9755,応用地,東1,サービス業,345
09月上旬,-,2Q,連,1928,積水ハウス,東1,建設業,"15,152"
09月上旬,-,1Q,連,2910,ロックフィール,東1,食料品,407
09月上旬,-,1Q,連,3031,ラクーンHD,東1,情報・通信業,589
09月上旬,-,2Q,連,4238,ミライアル,東1,化学,143
09月上旬,-,2Q,連,6757,OSGコーポ,JQ,電気機器,87
09月上旬,-,3Q,連,8917,ファースト住,東1,不動産業,208
09月上旬,-,3Q,連,9824,泉州電,東1,卸売業,387
09月中旬,-,本,単,2391,プラネット,JQ,サービス業,101
09月中旬,-,本,単,3282,コンフォリア,東証,ETF・REIT等,"2,474"
09月中旬,-,本,単,3463,いちごホテ,東証,ETF・REIT等,262
09月中旬,-,本,単,3930,はてな,マザ,情報・通信業,44
09月中旬,-,本,連,4194,ビジョナル,マザ,情報・通信業,"2,438"
09月中旬,-,本,連,4936,アクシージア,マザ,化学,490
09月中旬,-,2Q,連,6696,ピースリー,マザ,電気機器,27
09月中旬,-,本,単,8967,日本ロジ,東証,ETF・REIT等,"2,919"
10月中旬,-,本,単,3466,ラサールロジ,東証,ETF・REIT等,"3,225"
