日付,コード,市場,名称,取引値,前日比(%),前日比,高値
2021/05/27,6031,マザーズ,サイジニア(株),"1,925",+8.94%,+158,"2,167"
2021/05/27,6946,東証2部,日本アビオニクス(株),"3,525",+15.01%,+460,"3,765"
2021/05/27,9425,東証JQS,日本テレホン(株),486,+19.70%,+80,486
2021/05/28,2667,東証JQS,(株)イメージ　ワン,860,+21.13%,+150,860
2021/05/28,3189,東証JQS,(株)ＡＮＡＰ,422,+23.39%,+80,422
2021/05/28,3267,東証1部,(株)フィル・カンパニー,"3,180",+18.79%,+503,"3,180"
2021/05/28,3326,東証JQS,(株)ランシステム,710,-8.74%,-68,928
2021/05/28,3996,東証1部,サインポスト(株),884,+4.62%,+39,995
2021/05/28,4282,東証1部,ＥＰＳホールディングス(株),"1,628",+22.59%,+300,"1,628"
2021/05/28,4657,東証JQS,(株)環境管理センター,673,+9.25%,+57,716
2021/05/28,5017,東証1部,富士石油(株),272,+24.20%,+53,299
2021/05/28,6031,マザーズ,サイジニア(株),"2,260",+17.40%,+335,"2,325"
2021/05/28,7213,名証1部,レシップホールディングス(株),657,+16.08%,+91,657
2021/05/28,7213,東証1部,レシップホールディングス(株),613,+10.05%,+56,657
2021/05/31,3189,東証JQS,(株)ＡＮＡＰ,502,+18.96%,+80,502
2021/05/31,3326,東証JQS,(株)ランシステム,803,+13.10%,+93,860
2021/05/31,3787,東証2部,(株)テクノマセマティカル,"1,100",+15.79%,+150,"1,100"
2021/05/31,4342,東証2部,セコム上信越(株),"4,520",+18.32%,+700,"4,520"
2021/05/31,4361,東証2部,川口化学工業(株),"1,419",+26.81%,+300,"1,419"
2021/05/31,4493,マザーズ,(株)サイバーセキュリティクラウド,"3,400",+17.32%,+502,"3,400"
2021/05/31,4664,東証JQS,ＲＳＣ,591,+4.60%,+26,665
2021/05/31,7031,マザーズ,(株)インバウンドテック,"4,550",+9.64%,+400,"4,850"
2021/05/31,7212,東証1部,(株)エフテック,795,+14.06%,+98,797
2021/05/31,7578,東証JQS,(株)ニチリョク,231,+27.62%,+50,231
2021/05/31,7815,東証2部,東京ボード工業(株),601,+19.96%,+100,601
2021/05/31,8209,東証2部,(株)フレンドリー,449,+8.98%,+37,492
2021/06/01,2468,東証2部,(株)フュートレック,438,+22.35%,+80,438
2021/06/01,4342,東証2部,セコム上信越(株),"5,220",+15.49%,+700,"5,220"
2021/06/01,6083,東証1部,ＥＲＩホールディングス(株),625,+6.47%,+38,687
2021/06/01,7042,東証JQS,(株)アクセスグループ・ホールディングス,982,+18.03%,+150,982
2021/06/01,7357,東証JQS,(株)ジオコード,"1,380",+5.34%,+70,"1,610"
2021/06/01,7578,東証JQS,(株)ニチリョク,271,+17.32%,+40,311
2021/06/01,7625,東証2部,(株)グローバルダイニング,505,+18.82%,+80,505
2021/06/02,2173,東証JQG,(株)博展,536,+17.54%,+80,536
2021/06/02,3658,東証1部,(株)イーブックイニシアティブジャパン,"3,135",+18.98%,+500,"3,135"
2021/06/02,4336,東証JQS,(株)クリエアナブキ,709,+16.42%,+100,709
2021/06/02,4356,東証JQS,応用技術(株),"2,895",+4.93%,+136,"3,260"
2021/06/02,6597,マザーズ,ＨＰＣシステムズ(株),"4,720",+17.41%,+700,"4,720"
2021/06/02,7042,東証JQS,(株)アクセスグループ・ホールディングス,"1,132",+15.27%,+150,"1,132"
2021/06/02,7078,マザーズ,ＩＮＣＬＵＳＩＶＥ(株),"1,654",+22.16%,+300,"1,654"
2021/06/02,7601,東証1部,(株)ポプラ,346,+30.08%,+80,346
2021/06/02,8040,東証2部,(株)東京ソワール,"1,028",+17.08%,+150,"1,028"
2021/06/03,2404,東証2部,(株)鉄人化計画,327,+12.76%,+37,370
2021/06/03,4052,マザーズ,フィーチャ(株),"1,255",+15.67%,+170,"1,385"
2021/06/03,4059,東証JQS,(株)まぐまぐ,"1,451",+26.06%,+300,"1,451"
2021/06/03,7601,東証1部,(株)ポプラ,358,+3.47%,+12,426
2021/06/03,7625,東証2部,(株)グローバルダイニング,578,+16.06%,+80,578
2021/06/03,8040,東証2部,(株)東京ソワール,"1,275",+24.03%,+247,"1,328"
2021/06/03,9733,東証JQS,(株)ナガセ,"5,870",+9.11%,+490,"6,380"
2021/06/04,6343,東証2部,フリージア・マクロス(株),177,+39.37%,+50,177
2021/06/04,6461,東証1部,日本ピストンリング(株),"1,517",+24.65%,+300,"1,517"
2021/06/04,7426,東証JQS,(株)山大,"1,053",+16.61%,+150,"1,053"
2021/06/04,8040,東証2部,(株)東京ソワール,"1,445",+13.33%,+170,"1,575"
2021/06/04,9812,東証JQS,(株)テーオーホールディングス,358,+7.19%,+24,414
2021/06/07,2762,東証2部,(株)三光マーケティングフーズ,344,+30.30%,+80,344
2021/06/07,6769,東証JQS,ザインエレクトロニクス(株),905,+4.14%,+36,"1,019"
2021/06/07,7426,東証JQS,(株)山大,"1,353",+28.49%,+300,"1,353"
2021/06/07,7815,東証2部,東京ボード工業(株),625,+19.05%,+100,625
2021/06/07,7896,東証2部,セブン工業(株),602,+19.92%,+100,602
2021/06/07,9812,東証JQS,(株)テーオーホールディングス,438,+22.35%,+80,438
2021/06/08,3053,東証1部,(株)ペッパーフードサービス,551,+16.99%,+80,551
2021/06/08,4523,東証1部,エーザイ(株),"9,251",+19.35%,"+1,500","9,251"
2021/06/08,6391,東証2部,(株)加地テック,"6,320",+18.80%,"+1,000","6,320"
2021/06/08,6573,マザーズ,アジャイルメディア・ネットワーク(株),607,+19.72%,+100,607
2021/06/08,7426,東証JQS,(株)山大,"1,358",+0.37%,+5,"1,653"
2021/06/08,8040,東証2部,(株)東京ソワール,"1,497",+25.06%,+300,"1,497"
2021/06/08,8143,東証2部,(株)ラピーヌ,432,+10.77%,+42,470
2021/06/08,9812,東証JQS,(株)テーオーホールディングス,424,-3.20%,-14,518
2021/06/09,4523,東証1部,エーザイ(株),"10,755",+16.26%,"+1,504","10,755"
2021/06/09,4539,東証1部,日本ケミファ(株),"2,771",+22.02%,+500,"2,771"
2021/06/09,5216,東証JQS,(株)倉元製作所,195,+34.48%,+50,195
2021/06/09,6663,東証JQS,太洋工業(株),554,+16.88%,+80,554
2021/06/09,7360,マザーズ,(株)オンデック,"3,365",+17.29%,+496,"3,370"
2021/06/09,7426,東証JQS,(株)山大,"1,512",+11.34%,+154,"1,658"
2021/06/09,8143,東証2部,(株)ラピーヌ,475,+9.95%,+43,512
2021/06/10,3849,札幌ア,日本テクノ・ラボ(株),"1,693",+21.54%,+300,"1,693"
2021/06/10,3906,マザーズ,(株)ＡＬＢＥＲＴ,"6,270",+18.98%,"+1,000","6,270"
2021/06/10,6069,マザーズ,トレンダーズ(株),725,+11.03%,+72,753
2021/06/10,6255,マザーズ,(株)エヌ・ピー・シー,791,+14.47%,+100,791
2021/06/10,7076,名証2部,名南Ｍ＆Ａ(株),"1,573",+23.57%,+300,"1,573"
2021/06/10,7516,東証1部,コーナン商事(株),"3,810",+20.00%,+635,"3,875"
2021/06/10,9377,東証JQS,(株)エージーピー,629,+10.74%,+61,668
2021/06/11,3940,東証1部,(株)ノムラシステムコーポレーション,315,+6.78%,+20,375
2021/06/11,5964,東証2部,東洋刃物(株),"1,220",+18.33%,+189,"1,331"
2021/06/11,6535,東証1部,(株)アイモバイル,"1,666",+21.96%,+300,"1,666"
2021/06/11,7774,東証JQG,(株)ジャパン・ティッシュ・エンジニアリング,803,+13.26%,+94,859
2021/06/11,9171,東証2部,栗林商船(株),400,+7.24%,+27,453
2021/06/14,3180,東証1部,(株)ビューティガレージ,"4,380",+19.02%,+700,"4,380"
2021/06/14,3261,マザーズ,(株)グランディーズ,435,+7.67%,+31,484
2021/06/14,4124,東証JQS,大阪油化工業(株),"2,506",+24.93%,+500,"2,506"
2021/06/14,5964,東証2部,東洋刃物(株),"1,465",+20.08%,+245,"1,520"
2021/06/14,6049,マザーズ,(株)イトクロ,"1,362",+22.37%,+249,"1,413"
2021/06/14,6966,東証1部,(株)三井ハイテック,"5,020",+16.34%,+705,"5,020"
2021/06/14,7095,マザーズ,(株)Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,"6,510",+18.15%,"+1,000","6,510"
2021/06/14,7805,東証JQS,プリントネット(株),753,+12.22%,+82,771
2021/06/15,2370,マザーズ,(株)メディネット,88,+51.72%,+30,88
2021/06/15,3461,マザーズ,(株)パルマ,762,+7.63%,+54,858
2021/06/15,3647,東証2部,(株)ジー・スリーホールディングス,555,+16.84%,+80,555
