日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2022/02/24,1,1570,日経レバ,東Ｅ,"12,645",,-445,-3.40%,"69,488",－,－,－
2022/02/24,2,9984,ＳＢＧ,東１,"4,802",,-352,-6.83%,"58,711",－,0.73,0.92
2022/02/24,3,6920,レーザーテク,東１,"19,495",,-960,-4.69%,"36,371",83.7,29.61,0.42
2022/02/24,4,8306,三菱ＵＦＪ,東１,722.7,,-7.3,-1.00%,"35,147",8.7,0.52,3.87
2022/02/24,5,1552,ＶＩＸ短先物,東Ｅ,"2,475",,+210,+9.27%,"29,439",－,－,－
2022/02/24,6,7203,トヨタ,東１,"2,091.0",,-32.5,-1.53%,"29,072",11.6,1.16,－
2022/02/24,7,6098,リクルート,東１,"4,824",,+124,+2.64%,"26,302",29.4,5.83,0.44
2022/02/24,8,4689,ＺＨＤ,東１,539.3,,-11.2,-2.03%,"25,282",－,1.48,1.03
2022/02/24,9,7201,日産自,東１,564.2,,+2.1,+0.37%,"22,986",10.8,0.52,－
2022/02/24,10,9215,ＣａＳｙ,東Ｍ,"1,430",,-71,-4.73%,"22,418",40.4,52.04,－
2022/02/24,11,1458,楽天Ｗブル,東Ｅ,"14,810",,-550,-3.58%,"20,798",－,－,－
2022/02/24,12,2158,フロンテオ,東Ｍ,"1,358",,-44,-3.14%,"20,530",48.5,9.47,0.52
2022/02/24,13,8031,三井物,東１,"2,916.0",,-113.0,-3.73%,"17,671",5.6,0.94,3.60
2022/02/24,14,3436,ＳＵＭＣＯ,東１,"1,805",,-63,-3.37%,"17,434",－,1.33,－
2022/02/24,15,2413,エムスリー,東１,"4,043",,-16,-0.39%,"17,429",－,11.13,0.40
2022/02/24,16,8058,三菱商,東１,"3,784",,-169,-4.28%,"17,131",6.8,0.91,3.75
2022/02/24,17,1579,日経ブル２,東Ｅ,"13,520",,-505,-3.60%,"16,792",－,－,－
2022/02/24,18,6501,日立,東１,"5,543",,-252,-4.35%,"15,701",9.7,1.36,－
2022/02/24,19,8308,りそなＨＤ,東１,538.7,,+4.1,+0.77%,"15,001",8.9,0.51,3.90
2022/02/24,20,5401,日本製鉄,東１,"2,020.0",,-5.0,-0.25%,"14,959",3.6,0.57,6.93
2022/02/24,21,6723,ルネサス,東１,"1,283",,-32,-2.43%,"14,264",－,2.15,－
