日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/09/28,1,9101,郵船,東１,"9,430",,-840,-8.18%,"37,198",3.2,2.08,7.42
2021/09/28,2,9107,川崎汽,東１,"6,690",,"-1,130",-14.45%,"31,735",2.4,1.94,－
2021/09/28,3,9984,ＳＢＧ,東１,"6,782",,+158,+2.39%,"31,186",－,1.08,0.65
2021/09/28,4,8306,三菱ＵＦＪ,東１,688.7,,+12.2,+1.80%,"26,178",10.4,0.51,3.92
2021/09/28,5,9244,デジタリフト,東Ｍ,"2,207",,－,－%,"24,855",29.6,9.49,－
2021/09/28,6,9104,商船三井,東１,"8,580",,-650,-7.04%,"20,190",3.1,1.46,6.41
2021/09/28,7,6920,レーザーテク,東１,"26,760",,-870,-3.15%,"13,995",114,43.74,0.31
2021/09/28,8,9202,ＡＮＡＨＤ,東１,"2,840.0",,-35.5,-1.23%,"12,890",381,1.58,－
2021/09/28,9,4406,日理化,東１,384,,-14,-3.52%,"12,727",23.9,0.93,0.78
2021/09/28,10,9021,ＪＲ西日本,東１,"5,399",,+14,+0.26%,"12,201",－,1.60,1.85
2021/09/28,11,7868,広済堂,東１,"1,649",,-118,-6.68%,"12,169",21.7,1.17,－
2021/09/28,12,9201,ＪＡＬ,東１,"2,601",,-35,-1.33%,"12,091",－,1.28,－
2021/09/28,13,6981,村田製,東１,"9,870",,-100,-1.00%,"11,265",23.3,3.21,1.22
2021/09/28,14,3936,ＧＷ,東Ｍ,"2,180",,-245,-10.10%,"11,055",103,49.31,－
2021/09/28,15,4374,ロボペイ,東Ｍ,"3,380",,－,－%,"10,893",123,39.02,－
2021/09/28,16,4889,レナ,東Ｍ,763,,+23,+3.11%,"10,634",－,12.19,－
2021/09/28,17,3402,東レ,東１,747.7,,+21.8,+3.00%,"10,498",13.3,0.94,2.14
2021/09/28,18,8316,三井住友ＦＧ,東１,"4,185",,+69,+1.68%,"10,382",9.6,0.48,4.78
