日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/09/02,1,9021,ＪＲ西日本,東１,"5,208",,-803,-13.36%,"30,289",－,1.23,1.92
2021/09/02,2,9020,ＪＲ東日本,東１,"6,908",,-512,-6.90%,"29,034",72.4,1.07,1.45
2021/09/02,3,4370,モビルス,東Ｍ,"1,780",,－,－%,"22,482",66.1,7.13,－
2021/09/02,4,9984,ＳＢＧ,東１,"6,159",,-45,-0.73%,"21,828",－,0.98,0.71
2021/09/02,5,3807,フィスコ,ＪＧ,242,,+6,+2.54%,"17,430",1.9,5.63,1.24
2021/09/02,6,5401,日本製鉄,東１,"2,159.5",,-43.5,-1.97%,"16,597",5.4,0.67,－
2021/09/02,7,6920,レーザーテク,東１,"24,700",,+900,+3.78%,"15,315",106,40.38,0.33
2021/09/02,8,9202,ＡＮＡＨＤ,東１,"2,594.5",,-68.5,-2.57%,"14,576",348,1.45,－
2021/09/02,9,2158,フロンテオ,東Ｍ,"1,612",,-217,-11.86%,"14,424",87.2,12.86,0.31
2021/09/02,10,6723,ルネサス,東１,"1,272",,+47,+3.84%,"13,464",－,2.53,－
2021/09/02,11,5411,ＪＦＥ,東１,"1,727",,-37,-2.10%,"13,151",4.1,0.56,－
2021/09/02,12,3998,すららネット,東Ｍ,"2,431",,-54,-2.17%,"12,752",50.4,10.75,－
2021/09/02,13,9201,ＪＡＬ,東１,"2,354",,-33,-1.38%,"12,342",－,1.15,－
2021/09/02,14,8306,三菱ＵＦＪ,東１,601.0,,-6.5,-1.07%,"12,273",9.1,0.44,4.49
2021/09/02,15,4689,ＺＨＤ,東１,724.0,,+5.9,+0.82%,"12,266",－,2.06,0.77
2021/09/02,16,7201,日産自,東１,559.1,,-16.3,-2.83%,"11,859",36.5,0.53,－
2021/09/02,17,9603,ＨＩＳ,東１,"2,433",,-212,-8.02%,"10,514",－,2.79,－
2021/09/02,18,1570,日経レバ,東Ｅ,"15,380",,+60,+0.39%,"10,158",－,－,－
2021/09/02,19,9022,ＪＲ東海,東１,"15,450",,-700,-4.33%,"9,964",202,0.85,0.84
2021/09/02,20,9104,商船三井,東１,"8,450",,+20,+0.24%,"9,212",3.0,1.44,6.51
2021/09/02,21,6981,村田製,東１,"9,530",,+93,+0.99%,"9,130",22.5,3.10,1.26
