日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/11/19,1,3936,ＧＷ,東Ｍ,"2,860",,-320,-10.06%,"50,755",170,114,－
2021/11/19,2,9984,ＳＢＧ,東１,"6,856",,-130,-1.86%,"38,387",－,1.11,0.64
2021/11/19,3,6920,レーザーテク,東１,"31,960",,-110,-0.34%,"25,992",137,56.19,0.26
2021/11/19,4,4689,ＺＨＤ,東１,825.5,,+15.1,+1.86%,"20,689",－,2.32,0.67
2021/11/19,5,6554,エスユーエス,東Ｍ,"1,530",,+184,+13.67%,"18,479",31.9,4.86,0.65
2021/11/19,6,8306,三菱ＵＦＪ,東１,637.2,,+2.5,+0.39%,"16,385",7.8,0.46,4.39
2021/11/19,7,7201,日産自,東１,636.2,,+1.6,+0.25%,"15,545",13.8,0.60,－
2021/11/19,8,7203,トヨタ,東１,"2,132.5",,+8.0,+0.38%,"15,513",11.9,1.20,－
2021/11/19,9,8031,三井物,東１,"2,698.5",,+125.0,+4.86%,"13,835",6.1,0.92,3.52
2021/11/19,10,4582,シンバイオ,ＪＧ,"1,774",,-26,-1.44%,"12,832",59.2,15.09,－
2021/11/19,11,6098,リクルート,東１,"7,593",,+43,+0.57%,"12,250",46.2,9.86,0.28
2021/11/19,12,6779,日電波,東１,"1,820",,+189,+11.59%,"11,651",8.9,2.18,0.27
2021/11/19,13,6723,ルネサス,東１,"1,561",,+51,+3.38%,"10,900",－,2.90,－
2021/11/19,14,6378,木村化,東１,"1,022",,+83,+8.84%,"10,749",14.8,1.46,1.47
2021/11/19,15,9603,ＨＩＳ,東１,"2,294",,-112,-4.66%,"10,493",－,2.80,－
2021/11/19,16,7267,ホンダ,東１,"3,324.0",,+97.0,+3.01%,"10,365",10.3,0.60,3.31
2021/11/19,17,3436,ＳＵＭＣＯ,東１,"2,525",,+70,+2.85%,"9,782",24.6,2.62,1.43
2021/11/19,18,1570,日経レバ,東Ｅ,"16,800",,+200,+1.20%,"9,721",－,－,－
2021/11/19,19,8411,みずほＦＧ,東１,"1,458.5",,-27.5,-1.85%,"9,506",7.0,0.39,5.49
2021/11/19,20,6981,村田製,東１,"8,951",,+149,+1.69%,"9,308",21.1,2.78,1.34
2021/11/19,21,8308,りそなＨＤ,東１,426.9,,-8.2,-1.88%,"9,264",7.1,0.40,4.92
2021/11/19,22,4751,サイバー,東１,"2,160",,-92,-4.09%,"9,250",－,8.47,－
2021/11/19,23,8035,東エレク,東１,"62,820",,"+2,210",+3.65%,"9,105",24.5,8.34,2.04
2021/11/19,24,5214,日電硝,東１,"3,015",,+61,+2.06%,"9,081",10.4,0.57,3.65
2021/11/19,25,4523,エーザイ,東１,"7,238",,-135,-1.83%,"8,983",34.3,2.84,2.21
2021/11/19,26,2158,フロンテオ,東Ｍ,"4,205",,-110,-2.55%,"8,778",150,31.00,0.17
2021/11/19,27,6501,日立,東１,"7,289",,+86,+1.19%,"8,695",12.8,1.84,－
2021/11/19,28,6178,日本郵政,東１,868.6,,+0.9,+0.10%,"8,683",6.8,0.24,5.76
2021/11/19,29,3680,ホットリンク,東Ｍ,927,,+6,+0.65%,"8,475",25.5,4.01,－
2021/11/19,30,9251,ＡＢ＆Ｃ,東Ｍ,"1,477",,－,－%,"8,447",24.2,3.26,－
2021/11/19,31,8316,三井住友ＦＧ,東１,"3,887",,-13,-0.33%,"8,254",8.0,0.43,5.40
2021/11/19,32,6301,コマツ,東１,"2,918.0",,-70.0,-2.34%,"8,138",14.8,1.38,2.74
2021/11/19,33,3185,夢展望,東Ｍ,497,S,+80,+19.18%,"7,921",51.6,38.26,－
2021/11/19,34,6326,クボタ,東１,"2,484.5",,+145.0,+6.20%,"7,903",16.4,1.84,1.69
2021/11/19,35,9202,ＡＮＡＨＤ,東１,"2,671.5",,-58.0,-2.12%,"7,881",－,1.57,－
2021/11/19,36,5020,ＥＮＥＯＳ,東１,434.6,,+1.9,+0.44%,"7,864",5.0,0.55,5.06
2021/11/19,37,4188,三菱ケミＨＤ,東１,949.8,,+8.1,+0.86%,"7,722",7.0,1.02,3.16
2021/11/19,38,4507,塩野義,東１,"7,868",,+257,+3.38%,"7,669",23.7,2.69,1.40
2021/11/19,39,8630,ＳＯＭＰＯ,東１,"4,860",,+40,+0.83%,"7,435",9.5,0.79,4.32
2021/11/19,40,9201,ＪＡＬ,東１,"2,388",,-54,-2.21%,"7,318",－,1.23,－
2021/11/19,41,9107,川崎汽,東１,"4,670",,+95,+2.08%,"7,107",1.2,0.93,6.42
2021/11/19,42,8750,第一生命ＨＤ,東１,"2,316.5",,-7.5,-0.32%,"6,900",7.1,0.50,3.45
2021/11/19,43,8766,東京海上,東１,"5,910",,-21,-0.35%,"6,896",11.7,0.99,4.15
2021/11/19,44,8604,野村,東１,489.6,,-3.5,-0.71%,"6,796",－,0.55,－
2021/11/19,45,8795,Ｔ＆Ｄ,東１,"1,414",,-11,-0.77%,"6,710",22.9,0.51,3.96
2021/11/19,46,4901,富士フイルム,東１,"9,375",,+311,+3.43%,"6,578",21.4,1.64,1.17
2021/11/19,47,3397,トリドール,東１,"2,438",,-65,-2.60%,"6,545",78.3,4.65,－
2021/11/19,48,6962,大真空,東１,"1,694",,+78,+4.83%,"6,535",22.8,1.84,0.74
2021/11/19,49,4004,昭電工,東１,"2,636",,-35,-1.31%,"6,421",－,0.97,2.47
2021/11/19,50,8591,オリックス,東１,"2,343.0",,+10.5,+0.45%,"6,259",11.3,0.90,3.33
2021/11/19,51,5401,日本製鉄,東１,"1,842.5",,+10.5,+0.57%,"6,202",3.3,0.54,－
2021/11/19,52,3659,ネクソン,東１,"2,545",,-6,-0.24%,"6,136",24.1,2.82,0.20
2021/11/19,53,9246,プロカン,東Ｍ,"6,150",,+210,+3.54%,"6,095",107,21.90,－
2021/11/19,54,8601,大和,東１,637.9,,-3.8,-0.59%,"6,079",－,0.71,－
2021/11/19,55,6758,ソニーＧ,東１,"14,345",,-5,-0.03%,"5,963",24.4,2.51,－
2021/11/19,56,3997,Ｔワークス,ＪＱ,"1,330",,-7,-0.52%,"5,889",28.0,2.80,1.13
2021/11/19,57,4587,ペプドリ,東１,"2,705",,-174,-6.04%,"5,871",97.5,14.23,－
2021/11/19,58,6613,ＱＤレーザ,東Ｍ,"1,005",,-82,-7.54%,"5,850",－,9.62,－
2021/11/19,59,2914,ＪＴ,東１,"2,298.0",,-11.0,-0.48%,"5,797",12.4,1.46,6.09
2021/11/19,60,9101,郵船,東１,"7,280",,+20,+0.28%,"5,775",1.7,1.19,10.99
2021/11/19,61,8698,マネックスＧ,東１,809,,-53,-6.15%,"5,711",－,2.09,－
2021/11/19,62,7733,オリンパス,東１,"2,631.5",,+1.5,+0.06%,"5,688",31.0,7.58,0.53
2021/11/19,63,8725,ＭＳ＆ＡＤ,東１,"3,547.0",,-118.0,-3.22%,"5,672",8.5,0.59,4.65
2021/11/19,64,1605,ＩＮＰＥＸ,東１,963,,+30,+3.22%,"5,635",7.3,0.45,4.15
2021/11/19,65,7751,キヤノン,東１,"2,612.5",,+36.0,+1.40%,"5,538",13.6,1.00,3.44
2021/11/19,66,8058,三菱商,東１,"3,492.0",,+31.0,+0.90%,"5,523",7.0,0.88,4.07
2021/11/19,67,6481,ＴＨＫ,東１,"2,735",,+37,+1.37%,"5,512",17.3,1.19,－
2021/11/19,68,8697,日本取引所,東１,"2,423.5",,-33.0,-1.34%,"5,468",27.8,4.21,2.19
2021/11/19,69,6890,フェローテク,ＪＱ,"4,435",,-10,-0.22%,"5,426",7.3,1.76,1.04
2021/11/19,70,3962,チェンジ,東１,"2,370",,-57,-2.35%,"5,412",37.8,5.61,－
2021/11/19,71,2413,エムスリー,東１,"6,408",,-7,-0.11%,"5,358",－,18.80,－
2021/11/19,72,6752,パナソニック,東１,"1,383.5",,-6.0,-0.43%,"5,346",13.5,1.17,－
2021/11/19,73,6658,シライ電子,ＪＱ,491,S,+80,+19.46%,"5,336",7.6,2.17,1.02
2021/11/19,74,2479,ジェイテック,ＪＧ,228,,-10,-4.20%,"5,255",95.0,2.08,0.44
2021/11/19,75,6976,太陽誘電,東１,"6,870",,+440,+6.84%,"5,252",18.0,3.20,1.16
2021/11/19,76,3402,東レ,東１,715.1,,+6.4,+0.90%,"5,220",12.3,0.88,2.24
2021/11/19,77,8001,伊藤忠,東１,"3,386.0",,+70.0,+2.11%,"5,120",6.7,1.34,3.25
2021/11/19,78,6902,デンソー,東１,"9,031",,+151,+1.70%,"5,083",20.7,1.72,1.77
2021/11/19,79,8802,菱地所,東１,"1,654.5",,-4.5,-0.27%,"5,011",15.5,1.15,1.99
2021/11/19,80,3993,パークシャ,東Ｍ,"2,682",,+173,+6.90%,"4,989",314,2.88,－
2021/11/19,81,9434,ＳＢ,東１,"1,589.5",,+19.5,+1.24%,"4,951",14.9,4.54,5.41
2021/11/19,82,3121,マーチャント,東２,880,,+12,+1.38%,"4,892",106,6.81,0.23
2021/11/19,83,3662,エイチーム,東１,"1,324",,-157,-10.60%,"4,824",－,2.16,1.21
2021/11/19,84,4425,Ｋｕｄａｎ,東Ｍ,"3,925",,+195,+5.23%,"4,734",－,26.47,－
2021/11/19,85,6503,三菱電,東１,"1,523.0",,+16.5,+1.10%,"4,722",14.8,1.16,－
2021/11/19,86,5802,住友電,東１,"1,620.5",,+26.5,+1.66%,"4,713",13.3,0.75,3.09
2021/11/19,87,7816,スノーピーク,東１,"8,880",,+430,+5.09%,"4,710",71.5,13.27,0.23
2021/11/19,88,5411,ＪＦＥ,東１,"1,411",,+3,+0.21%,"4,691",3.2,0.44,－
2021/11/19,89,4568,第一三共,東１,"2,995.0",,+28.0,+0.94%,"4,683",89.7,4.37,0.90
2021/11/19,90,4502,武田,東１,"3,227.0",,-12.0,-0.37%,"4,593",27.5,0.95,5.58
2021/11/19,91,4080,田中化研,ＪＱ,"1,841",,+32,+1.77%,"4,585",92.1,4.56,－
2021/11/19,92,7974,任天堂,東１,"51,940",,+440,+0.85%,"4,521",17.4,3.41,2.87
2021/11/19,93,2395,新日本科学,東１,"1,780",,+37,+2.12%,"4,389",15.1,4.13,1.12
2021/11/19,94,4755,楽天グループ,東１,"1,247",,-4,-0.32%,"4,370",－,1.76,－
2021/11/19,95,4578,大塚ＨＤ,東１,"4,116",,-19,-0.46%,"4,316",13.9,1.13,2.43
2021/11/19,96,8801,三井不,東１,"2,540.5",,-35.0,-1.36%,"4,306",15.3,0.93,1.73
