日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/09/23,1,9984,ＳＢＧ,東１,"6,449",,+120,+1.90%,"61,255",－,1.03,0.68
2021/09/23,2,4373,シンプレクス,東１,"2,060",S,－,－%,"35,456",26.5,3.06,1.12
2021/09/23,3,4372,ユミルリンク,東Ｍ,"1,500",,－,－%,"24,892",26.3,4.79,－
2021/09/23,4,8306,三菱ＵＦＪ,東１,641.5,,+9.0,+1.42%,"22,652",9.7,0.47,4.21
2021/09/23,5,1570,日経レバ,東Ｅ,"16,600",,-240,-1.43%,"15,533",－,－,－
2021/09/23,6,5401,日本製鉄,東１,"2,031.0",,-25.5,-1.24%,"14,355",5.1,0.63,－
2021/09/23,7,1552,ＶＩＸ短先物,東Ｅ,"2,509",,-63,-2.45%,"14,036",－,－,－
2021/09/23,8,3996,サインポスト,東１,"1,384",,+4,+0.29%,"12,704",－,10.54,－
2021/09/23,9,4689,ＺＨＤ,東１,732.0,,-2.5,-0.34%,"11,958",－,2.09,0.76
2021/09/23,10,8002,丸紅,東１,885.0,,-39.4,-4.26%,"11,603",6.7,0.80,3.84
2021/09/23,11,5411,ＪＦＥ,東１,"1,746",,-16,-0.91%,"11,446",4.2,0.57,－
2021/09/23,12,7187,ジェイリース,東１,"2,019",,-29,-1.42%,"10,720",16.9,12.23,1.49
2021/09/23,13,4568,第一三共,東１,"3,084.0",,+64.0,+2.12%,"10,593",118,4.62,0.88
2021/09/23,14,6920,レーザーテク,東１,"28,150",,-360,-1.26%,"10,562",120,46.02,0.29
2021/09/23,15,7201,日産自,東１,546.2,,-10.1,-1.82%,"10,147",35.6,0.52,－
2021/09/23,16,7203,トヨタ,東１,"9,820",,-109,-1.10%,"10,062",11.8,1.13,－
2021/09/23,17,8031,三井物,東１,"2,375.0",,-70.0,-2.86%,"9,995",6.0,0.80,3.79
2021/09/23,18,9021,ＪＲ西日本,東１,"5,200",,+8,+0.15%,"9,527",－,1.54,1.92
2021/09/23,19,9107,川崎汽,東１,"7,550",,+240,+3.28%,"9,453",2.7,2.19,－
2021/09/23,20,3436,ＳＵＭＣＯ,東１,"2,310",,-75,-3.14%,"9,373",－,2.02,－
2021/09/23,21,9202,ＡＮＡＨＤ,東１,"2,685.0",,-25.0,-0.92%,"8,941",360,1.50,－
2021/09/23,22,9201,ＪＡＬ,東１,"2,472",,-27,-1.08%,"8,682",－,1.21,－
2021/09/23,23,8001,伊藤忠,東１,"3,314.0",,-141.0,-4.08%,"8,240",8.9,1.39,2.84
2021/09/23,24,9101,郵船,東１,"10,170",,+110,+1.09%,"8,240",3.4,2.24,6.88
2021/09/23,25,9307,杉村倉,東２,830,,-65,-7.26%,"8,025",18.3,0.97,0.90
2021/09/23,26,2413,エムスリー,東１,"8,582",,-6,-0.07%,"7,706",－,28.25,－
2021/09/23,27,8260,井筒屋,東１,347,S,+80,+29.96%,"7,586",19.9,0.47,－
2021/09/23,28,8316,三井住友ＦＧ,東１,"3,890",,-39,-0.99%,"7,438",8.9,0.45,5.14
2021/09/23,29,9434,ＳＢ,東１,"1,531.0",,-25.0,-1.61%,"7,432",14.4,4.93,5.62
2021/09/23,30,4371,ＣＣＴ,東Ｍ,"6,590",,－,－%,"7,431",102,28.95,－
2021/09/23,31,5020,ＥＮＥＯＳ,東１,456.8,,-3.3,-0.72%,"7,261",10.5,0.61,4.82
2021/09/23,32,4582,シンバイオ,ＪＧ,967,,-79,-7.55%,"7,260",32.3,9.33,－
2021/09/23,33,7063,バードマン,東Ｍ,"2,198",,-188,-7.88%,"7,113",34.1,17.33,－
2021/09/23,34,2158,フロンテオ,東Ｍ,"1,937",,-64,-3.20%,"7,104",104,15.46,0.26
2021/09/23,35,9127,玉井船,東２,"2,884",,-1,-0.03%,"7,057",7.7,1.16,－
2021/09/23,36,6098,リクルート,東１,"6,946",,-37,-0.53%,"7,037",50.5,9.74,0.30
2021/09/23,37,7072,インテＭ,東Ｍ,"2,846",S,+500,+21.31%,"6,998","1,107",6.85,－
2021/09/23,38,6503,三菱電,東１,"1,548.5",,-28.0,-1.78%,"6,989",15.8,1.20,－
2021/09/23,39,9603,ＨＩＳ,東１,"2,477",,+13,+0.53%,"6,989",－,3.02,－
2021/09/23,40,4934,Ｐアンチエイ,東Ｍ,"15,180",,-220,-1.43%,"6,931",38.3,19.21,－
2021/09/23,41,6981,村田製,東１,"9,931",,-84,-0.84%,"6,629",23.4,3.23,1.21
2021/09/23,42,8801,三井不,東１,"2,584.0",,+61.5,+2.44%,"6,615",15.5,0.97,1.70
2021/09/23,43,9363,大運,東２,593,,-6,-1.00%,"6,471",36.1,1.24,1.01
